objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,BGG_ID,rank_M,RA_BGG,Dec_BGG,M_BGG
326648719380342784,3126,189.693647067,0.32253107,-20.310265,0.023938204,3,0.02280918,10.27747,-1.398573,-11.676043,2,,10.406,189.754670505,0.365546508,-22.087241,4.69100000006597
326663287909410816,3126,189.773386327,0.282918732,-18.39427,0.02468125,6,0.023552766,9.499022,-1.727121,-11.226143,3,,9.587,189.754670505,0.365546508,-22.087241,5.323167130189849
1029195430929393664,689,208.778806052,-1.412025361,-18.458247,0.025400504,15,0.024481064,9.116272,-1.000181,-10.116453,4,,9.284,208.559373098,-1.436476708,-22.900609,13.86847769841163
1029193781661952000,689,208.555995595,-1.468286798,-19.408441,0.025329632,9,0.024406934,9.789658,-1.449814,-11.239472,2,,9.919,208.559373098,-1.436476708,-22.900609,2.0099143019186645
1029194606295672832,689,208.559373098,-1.436476708,-22.900609,0.025118206,1,0.024195626,11.20953,0.3215819,-10.8879481,1,,11.33,208.559373098,-1.436476708,-22.900609,0.0
1029197629952649216,689,208.573054666,-1.281602073,-19.212886,0.024874792,10,0.023952747,9.350307,-0.4442225,-9.7945295,3,,9.51,208.559373098,-1.436476708,-22.900609,9.76893528429066
526975064550172672,5210,133.434065141,0.803639907,-19.089536,0.040724045,4,0.039712783,9.202526,-0.5691356,-9.7716616,3,,9.356,133.518347475,0.85323147,-22.036853,6.143833900623357
526973965038544896,5210,133.413657876,0.758170118,-21.501024,0.042140596,2,0.041129448,10.75498,-1.203961,-11.958941,4,,10.785,133.518347475,0.85323147,-22.036853,8.884522483519223
528134774456346624,5210,133.509422876,0.842195679,-18.888492,0.040827391,6,0.039815344,9.671423,-1.208064,-10.879487,2,,9.667,133.518347475,0.85323147,-22.036853,0.8917248265364781
526970391625754624,5210,133.518347475,0.85323147,-22.036853,0.041820464,1,0.040808342,10.96947,-1.132013,-12.101483,1,,11.039,133.518347475,0.85323147,-22.036853,0.0
