Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,dom,Misfit_Bary,Vmisfit,lMass_200,r_200_kpc,Class
117,59915556854.52222,87958563130.61821,0.6811793499348981,0.03700237075,1.855278000000002,4,164.810996573,5.292032395,164.81500156889223,5.2603062690915925,4.301894014365048,0.4459774354545165,-138.9029672181546,0.0,364.7625356723772,0.3808038206613264,210.48904476017395,-22.680695315548036,41360629729317.71,470.22857419688967,0.5118502160813141,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BCentered,VCentered,13.134806937099691,497.66041141802594,Embedded
121,46846591754.08911,90346388359.00742,0.5185220195846221,0.02637006775,0.810808999999999,4,166.17462696,4.297345904,166.2042376443304,4.290969825541893,2.4061392537075093,0.7532763862964154,-15.712033563073152,-3.552713678800501e-15,73.46766637566752,0.2138632454001148,83.25006251810714,-22.709776990274907,756963718162.0397,8.378461296694118,1.0051061793085314,Q,True,0.6666666666666666,0.5,0.3333333333333333,0.25,0.0,0.25,False,BMisfit,VCentered,12.882454078183256,411.4194565974626,Embedded
128,40138616580.98091,122528236297.14688,0.3275866673183768,0.0305476997499999,0.284870999999999,4,167.481121312,36.94649092,167.51380704594024,36.96994037528506,3.6391777946883175,0.5787101046138088,164.6563315087462,1.0125233984581428e-12,187.3350918577178,0.8789401381018497,146.30924029188694,-23.04059045552606,3060935853639.6147,24.98147321909089,0.6927495262738582,G,False,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.25,False,BMisfit,VMisfit,12.806418860713324,387.5825827966521,Embedded
131,106030790683.01562,151909250845.1165,0.6979877136720424,0.0358346275,1.829623999999999,4,168.013928628,27.589778419,168.024672805755,27.575893608535907,1.1985884908308888,0.8428284543570667,50.49140235377568,-4.849454171562684e-13,418.0133653258581,0.1207889664351188,56.74711049756566,-23.273960554944235,13685282045601.16,90.08853621136208,0.1204140613353423,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,True,BMisfit,VCentered,13.857143695571017,866.710667178127,Predom
142,48279326163.27386,74340006977.12505,0.649439354749183,0.03649317775,1.4794819999999973,4,171.069765723,38.015436737,171.04998692898644,37.98408246815031,3.502699068740386,0.5997852789238215,-11.336582522137284,0.0,83.267087994249,0.1361472196904528,168.96381780024132,-22.49805649380022,1767971312236.7815,23.78223226130177,1.799881681933745,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BMisfit,VCentered,12.93754898705778,427.81022717856433,Embedded
147,61130000592.61811,117755732038.35728,0.5191254772439091,0.03541012625,0.5606189999999991,4,171.890929976,36.060982228,171.92041730292334,36.08234757122615,3.260832827818942,0.5889618238622059,31.33334748157202,3.552713678800501e-15,65.7534465679738,0.4765278341596985,152.5078826169351,-22.99745514156261,674439708716.8683,5.727446953471267,2.0572988784911677,X,False,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.5,False,BMisfit,VCentered,13.205836637572428,525.812226934927,Isolated
154,66289997097.19535,100115295691.8797,0.662136556048469,0.0269135034999999,1.4621929999999992,4,173.750076931,51.217992014,173.78960652932005,51.20599074199045,2.560071961225249,0.644932362291813,205.1002737072328,4.973799150320701e-13,316.2831303017852,0.6484704812157813,90.43767990520573,-22.821251085983658,20238217251485.35,202.14910330756643,0.2536278871382622,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BMisfit,VMisfit,13.358770264798062,592.9009704060144,Embedded
158,49218502962.45381,75352720553.75392,0.6531748635053342,0.036779541,1.5338829999999994,4,174.533366492,11.196374987,174.50535949254603,11.23038452645636,4.496390996096747,0.5833920317253769,30.03246403065061,5.018208071305709e-13,32.42121263589201,0.9263214293657408,218.64530610362485,-22.512747342029872,359150986723.61237,4.766264364236285,5.981836296253,M,True,0.6666666666666666,0.75,0.0,0.0,0.3333333333333333,0.25,True,BMisfit,VMisfit,12.828027320936844,393.28209418868823,Isolated
165,111114720968.04568,162461413860.08884,0.6839453032443585,0.032470518,1.803910000000002,4,176.058210937,33.514508725,176.032247724283,33.5186521058278,2.580994744865856,0.5123417593107297,58.24676466194333,-1.0089706847793425e-12,108.01374748964204,0.5392532526244393,110.45340467538225,-23.346875571171136,1630087505112.8247,10.033690255315948,0.907034263915888,Q,False,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,True,BCentered,VCentered,14.041282098256174,999.3546743279068,Predom
167,69142901461.38618,122430069141.35928,0.5647542466185568,0.03263194475,1.0003899999999994,4,176.1074037,33.35507716,176.12484125976445,33.34876677492636,3.5709429101183052,0.2667186350532427,-186.50129955317905,-4.973799150320701e-13,231.0623728544869,0.8071469934684217,153.59603403805036,-23.03972023689296,13088198834454.293,106.9034668218842,0.589622968502745,Q,True,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,False,BCentered,VMisfit,14.041279864235898,999.3015835796336,Predom
