objID,petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r
1237663786885906495,14.60053,16.79635,14.57132,14.57132,0.1159214
1237663786885906494,13.81903,16.25394,13.85067,13.85063,0.1159092
1237663786885775559,15.33748,18.41404,15.29773,15.29772,0.101466
1237663786883416329,14.9258,17.50587,14.68501,14.76913,0.1007437
1237663547981103226,12.94552,16.35028,12.81001,12.8557,0.1088733
1237663547981103123,15.72,17.05319,15.58858,15.61643,0.10751
1237663547434991794,15.7273,18.06811,15.81471,15.63491,0.09699903
1237663546903363801,16.4643,18.75927,16.47329,16.40737,0.09202743
1237663546903363741,16.03739,18.03124,16.16542,15.95367,0.09515291
1237663546903363732,15.53867,17.1341,15.38731,15.40131,0.09263594
1237663531337973846,14.78139,17.25647,14.78453,14.7231,0.09230702
