task,model_id,contrast,scope,proxy,outcome,definition,threshold,model_type,effect_type,status,estimate,ci_low,ci_high,p,p_holm,n,n_cg4,n_control,n_clusters,formula,notes
B,B_Control4C_all_sersic_ge_2,CG4_vs_Control4C,all,simard_sersic_n,early_sersic_t2p0,early type if valid Simard pure-Sersic n_g >= 2,2.0,logistic,OR,ok,1.1772279932576974,0.8519048073883341,1.626784748824418,0.3228030449709103,1.0,2291,194,2097,753,early_sersic_t2p0 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_sersic_ge_3,CG4_vs_Control4C,all,simard_sersic_n,early_sersic_t3p0,early type if valid Simard pure-Sersic n_g >= 3,3.0,logistic,OR,ok,1.2077020168756722,0.9330763007642663,1.5631563682100795,0.15165096867461725,1.0,2291,194,2097,753,early_sersic_t3p0 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_sersic_continuous,CG4_vs_Control4C,all,simard_sersic_n,sersic_n_valid,continuous valid Simard pure-Sersic n_g; pegged fits excluded,,OLS,beta,ok,0.18071770356050576,-0.03148416608974819,0.3929195732107597,0.09508444478868376,1.0,2291,194,2097,753,sersic_n_valid ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_Control4C_satellites_concentration_ge_2.6,CG4_vs_Control4C,satellites,concentration_r90_r50,early_concentration_t2p6,early type if C = petroR90_r / petroR50_r >= 2.6,2.6,logistic,OR,ok,0.8802237963249802,0.629180851135129,1.231432791094842,0.4564317647721452,1.0,2175,177,1998,760,early_concentration_t2p6 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_concentration_ge_2.5,CG4_vs_Control4C,satellites,concentration_r90_r50,early_concentration_t2p5,early type if C = petroR90_r / petroR50_r >= 2.5,2.5,logistic,OR,ok,0.8727425347311452,0.6351214810849437,1.1992658957587268,0.4012481244128818,1.0,2175,177,1998,760,early_concentration_t2p5 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_concentration_ge_2.86,CG4_vs_Control4C,satellites,concentration_r90_r50,early_concentration_t2p86,early type if C = petroR90_r / petroR50_r >= 2.86,2.86,logistic,OR,ok,1.2077412436279515,0.8617488226396909,1.6926497295255005,0.2730795480483855,1.0,2175,177,1998,760,early_concentration_t2p86 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_concentration_continuous,CG4_vs_Control4C,satellites,concentration_r90_r50,concentration_r90_r50,continuous C = petroR90_r / petroR50_r,,OLS,beta,ok,0.014252673637533936,-0.07400240086538959,0.10250774814045746,0.7516058621929362,1.0,2175,177,1998,760,concentration_r90_r50 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_Control4C_satellites_sersic_ge_2.5,CG4_vs_Control4C,satellites,simard_sersic_n,early_sersic_t2p5,early type if valid Simard pure-Sersic n_g >= 2.5,2.5,logistic,OR,ok,1.358718844719759,1.0009592714661906,1.8443476689040816,0.04928548378817816,1.0,2043,170,1873,753,early_sersic_t2p5 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_sersic_ge_2,CG4_vs_Control4C,satellites,simard_sersic_n,early_sersic_t2p0,early type if valid Simard pure-Sersic n_g >= 2,2.0,logistic,OR,ok,1.2586033851858185,0.9068070276994585,1.7468793611138749,0.1691001719921159,1.0,2043,170,1873,753,early_sersic_t2p0 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_sersic_ge_3,CG4_vs_Control4C,satellites,simard_sersic_n,early_sersic_t3p0,early type if valid Simard pure-Sersic n_g >= 3,3.0,logistic,OR,ok,1.246379024926894,0.9499538238476155,1.6353012481024654,0.1119608566289152,1.0,2043,170,1873,753,early_sersic_t3p0 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_sersic_continuous,CG4_vs_Control4C,satellites,simard_sersic_n,sersic_n_valid,continuous valid Simard pure-Sersic n_g; pegged fits excluded,,OLS,beta,ok,0.19899090089791527,-0.030207372511840636,0.42818917430767117,0.08882119739258502,1.0,2043,170,1873,753,sersic_n_valid ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,covariance=cluster
C,C_CG4_vs_RG4_satellites_cells_early_passive,CG4_vs_RG4,satellites,fiducial_morphology_x_sfr,early_passive,early_passive relative to late_SF reference,,multinomial_logit,RRR,ok,3.426240870774602,1.624476780193447,7.226404616979739,0.001219768720646109,0.052450054987782685,296,154,142,112,cell ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,reference=late_SF; covariance=cluster
C,C_CG4_vs_RG4_satellites_cells_early_SF,CG4_vs_RG4,satellites,fiducial_morphology_x_sfr,early_SF,early_SF relative to late_SF reference,,multinomial_logit,RRR,ok,2.1991840798267126,0.7744872864485671,6.2446610829995155,0.13886477598209293,1.0,296,154,142,112,cell ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,reference=late_SF; covariance=cluster
C,C_CG4_vs_RG4_satellites_cells_late_passive,CG4_vs_RG4,satellites,fiducial_morphology_x_sfr,late_passive,late_passive relative to late_SF reference,,multinomial_logit,RRR,ok,1.3494103926912813,0.5409057801712176,3.3664058966551447,0.5205637253364241,1.0,296,154,142,112,cell ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,reference=late_SF; covariance=cluster
D,D_CG4_vs_RG4_all_quenched,CG4_vs_RG4,all,fiducial_sfr_class,quenched,quenched versus star-forming; NosSFR excluded,,logistic,OR,ok,1.4040766683135368,0.7989632956580507,2.4674866808226907,0.23809575079256584,1.0,449,230,219,115,quenched ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
D,D_CG4_vs_RG4_satellites_quenched,CG4_vs_RG4,satellites,fiducial_sfr_class,quenched,quenched versus star-forming; NosSFR excluded,,logistic,OR,ok,1.85379947515056,0.9943159995810626,3.4562176365626516,0.052133559149246965,1.0,340,174,166,115,quenched ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
D,D_pooled_all_quenched,CG4_vs_pooled_controls,all,fiducial_sfr_class,quenched,quenched versus star-forming; NosSFR excluded; controls deduplicated by objid,,logistic,OR,ok,1.0750565721558478,0.8004976430600033,1.4437851795759127,0.6305055344985344,1.0,3969,230,3739,758,quenched ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
D,D_pooled_satellites_quenched,CG4_vs_pooled_controls,satellites,fiducial_sfr_class,quenched,quenched versus star-forming; NosSFR excluded; controls deduplicated by objid,,logistic,OR,ok,1.1660988599354167,0.8587058932461242,1.5835300093287392,0.32498880462433055,1.0,3268,174,3094,758,quenched ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
