cg4_group,zheng_shen_class,objid,cg4_rank_M,lim_group,lim_rank_M,quartet_satellite,host_halo_satellite,host_status_differs_from_quartet_rank
303,Isolated,1237667912217919745,4,10811,4,True,True,False
309,Embedded,1237648704057573661,1,3859,1,False,False,False
309,Embedded,1237648704057573499,2,3859,2,True,True,False
309,Embedded,1237648704057573747,3,3859,3,True,True,False
309,Embedded,1237648704057573731,4,3859,5,True,True,False
315,Embedded,1237651735776460868,1,5240,1,False,False,False
315,Embedded,1237655468597182863,2,5240,2,True,True,False
315,Embedded,1237655468597182871,3,5240,3,True,True,False
315,Embedded,1237651735776461018,4,5240,4,True,True,False
316,Embedded,1237667733988573256,1,1877,1,False,False,False
316,Embedded,1237667733988573355,2,1877,2,True,True,False
316,Embedded,1237667733988573424,3,1877,5,True,True,False
316,Embedded,1237667733988638844,4,1877,6,True,True,False
322,Embedded,1237659131675213861,1,7404,1,False,False,False
322,Embedded,1237659131675148382,2,7404,2,True,True,False
322,Embedded,1237659131675148445,3,7404,4,True,True,False
322,Embedded,1237659131675148384,4,7404,5,True,True,False
323,Embedded,1237661950272471286,1,1685,1,False,False,False
323,Embedded,1237661950272471191,2,1685,3,True,True,False
323,Embedded,1237661950272471287,3,1685,4,True,True,False
323,Embedded,1237661950272471275,4,1685,6,True,True,False
330,Predom,1237662198284157184,1,1289,2,False,True,True
330,Predom,1237662198284157251,2,1289,5,True,True,False
330,Predom,1237662198284157166,3,1289,6,True,True,False
330,Predom,1237662264859689260,4,1289,8,True,True,False
333,Predom,1237665549969588378,1,30,1,False,False,False
333,Predom,1237665549969588377,2,30,3,True,True,False
333,Predom,1237665549969588379,3,30,8,True,True,False
333,Predom,1237665549969653903,4,30,15,True,True,False
337,Predom,1237659163880849535,1,348,2,False,True,True
337,Predom,1237659163880914976,2,348,5,True,True,False
337,Predom,1237659163880915172,3,348,13,True,True,False
337,Predom,1237659163880915192,4,348,20,True,True,False
341,Predom,1237662238560682244,1,76,1,False,False,False
341,Predom,1237662238560682037,2,76,4,True,True,False
341,Predom,1237662238560682220,3,76,18,True,True,False
341,Predom,1237662238560682390,4,76,22,True,True,False
