sample,group,n_members,objids_rank_order,dropped,drop_reason,z_group_mean,D_A_kpc,R_pair_rank1_rank2_kpc,R_pair_rank1_rank3_kpc,R_pair_rank1_rank4_kpc,R_pair_rank2_rank3_kpc,R_pair_rank2_rank4_kpc,R_pair_rank3_rank4_kpc,R_pair_med_kpc,R_pair_min_kpc,R_pair_max_kpc,compactness_score_neg_log10_Rmed
Control4B,10843,4,1237664668436398093;1237664668436398224;1237664668436398267;1237664668436398189,False,,0.045448881249999996,190189.0604602635,182.68192858281444,373.99382557676734,49.95387232370944,194.81575589982504,229.17474441152712,417.1035897212032,211.99525015567608,49.95387232370944,417.1035897212032,-2.3263261304839924
Control4B,10883,4,1237674368067829775;1237674290756583782;1237674290756583895;1237674290756583884,False,,0.0344562115,146100.25671791527,602.2215132351679,568.3031520676759,549.0068231222149,189.61751572059882,152.6856290702853,43.95812241410075,369.31216942140685,43.95812241410075,602.2215132351679,-2.5673936185783752
Control4B,10900,4,1237658493891903500;1237658493891903612;1237658493891706939;1237658493891903616,False,,0.0252859295,108409.404241414,182.6305463273893,628.2779262441109,263.021262392477,775.2821648076851,101.01148386316079,802.0684325313767,445.6495943182939,101.01148386316079,802.0684325313767,-2.648993515514553
Control4B,10908,4,1237651539793215634;1237674479735013541;1237674479735013407;1237674479735013527,False,,0.04265597725,179098.4736810437,352.8922454330007,453.8687513423326,413.34206194024375,106.08840286285937,86.08267645782308,53.12504571024697,229.49032414793004,53.12504571024697,453.8687513423326,-2.3607643793820072
Control4B,10913,4,1237664887463346414;1237662697040183439;1237664887463411913;1237662697040183695,False,,0.03229960825,137311.83911932935,452.75019892350343,182.77610989437625,499.21860734016786,566.5728921719715,62.626210117377944,599.5117563181323,475.9844031318356,62.626210117377944,599.5117563181323,-2.677592722164284
Control4B,10914,4,1237661872407576591;1237661850936541214;1237661850936606846;1237661872407576592,False,,0.036533497,154522.0300620508,202.35639615601596,617.6387646628851,18.440536845988206,445.57960226188226,220.51363294294143,635.3934801355463,333.04661760241186,18.440536845988206,635.3934801355463,-2.5225050273516305
Control4B,10929,4,1237665566073749555;1237667966957519065;1237667966957584513;1237665566073749695,False,,0.043986918,184392.9740814644,482.8704008938151,474.46537671798626,71.82452667747678,38.1344148686548,554.5498822115255,546.2870243009504,478.6678888059007,38.1344148686548,554.5498822115255,-2.68003429403268
Control4B,10955,4,1237662306189770849;1237662306189770850;1237662306189836510;1237662194536874012,False,,0.02834841725,121090.2174695586,37.27407856164735,382.5719095342452,82.7798698535232,417.78752566612724,45.71693657783168,462.87100930231276,232.6758896938842,37.27407856164735,462.87100930231276,-2.366751383220571
Control4B,10964,4,1237658304886079663;1237655109442469957;1237658304886014057;1237658304886079607,False,,0.04567417025,191080.4174656159,442.51893608025745,710.6969588624399,239.54065721470204,694.4049196913944,312.6493259704358,508.5215339686679,475.52023502446264,239.54065721470204,710.6969588624399,-2.6771690023932724
Control4B,10990,4,1237674599462207503;1237674599462273168;1237671129130074248;1237674599462273202,False,,0.03560249075,150752.77727762362,147.9349477098928,136.4296978030683,391.65458007781643,206.24564603057297,246.81079619365673,441.0721409520405,226.52822111211486,136.4296978030683,441.0721409520405,-2.3551223145598157
