control,omitted_physical_host,status,beta,odds_ratio,p,direction_preserved
Control4C,Lim:2542,ok,0.6209466607127485,1.8606886492088117,0.00011572886195623597,True
Control4C,Lim:30,ok,0.6433471413775773,1.9028393042651908,8.547177777083784e-05,True
Control4C,Lim:3033,ok,0.6557503676723908,1.9265876241990625,6.932701635565936e-05,True
Control4C,Lim:3047,ok,0.6493420366491972,1.9142808878944328,8.964921673294135e-05,True
Control4C,Lim:3073,ok,0.6306721363856996,1.8788730138694303,0.00010295879398567987,True
Control4C,Lim:3080,ok,0.6814729308456069,1.976787259868184,3.613940101629587e-05,True
Control4C,Lim:3099,ok,0.6897335533700649,1.993184385222643,2.35912860794375e-05,True
Control4C,Lim:310,ok,0.653325776913217,1.9219220959326317,8.069632364909182e-05,True
Control4C,Lim:3141,ok,0.7008673139450197,2.0155000209006064,1.4075663440984358e-05,True
Control4C,Lim:3157,ok,0.6429432478221226,1.9020709149173305,9.847768006338878e-05,True
Control4C,Lim:348,ok,0.6536881784217093,1.922618729622328,7.760447919065196e-05,True
Control4C,Lim:36,ok,0.6618958365588353,1.9384638636533529,8.291430311406625e-05,True
Control4C,Lim:369,ok,0.6617129874479493,1.9381094496625282,6.565725489634735e-05,True
Control4C,Lim:3859,ok,0.6493375522473731,1.9142723035089753,8.506035465702308e-05,True
Control4C,Lim:3863,ok,0.6206555344904198,1.8601470327946332,0.00012011516412969445,True
Control4C,Lim:389,ok,0.6498828984571723,1.9153165293606431,7.150559276156092e-05,True
Control4C,Lim:3916,ok,0.6670663206079661,1.9485126162107382,5.7592421307050316e-05,True
Control4C,Lim:3999,ok,0.6724683318314442,1.959066984975648,4.980519629905334e-05,True
Control4C,Lim:4018,ok,0.6429218460098512,1.9020302075882896,8.190181212775522e-05,True
Control4C,Lim:4038,ok,0.6460217921021966,1.907935547085848,9.46221958060355e-05,True
Control4C,Lim:406,ok,0.630380737377256,1.8783255918991806,0.00010179092093039389,True
Control4C,Lim:442,ok,0.6793801772595969,1.9726546570093102,3.950019542287785e-05,True
Control4C,Lim:5093,ok,0.6474458000039301,1.910654397753874,8.86657772767309e-05,True
Control4C,Lim:51,ok,0.6595187341321649,1.933861408919433,6.35475978489056e-05,True
Control4C,Lim:5219,ok,0.6377873896763534,1.8922893449589075,9.37682996110964e-05,True
Control4C,Lim:5240,ok,0.7127803206879084,2.039654275475601,6.38038767357828e-06,True
Control4C,Lim:5316,ok,0.6638900572797732,1.9423334455748476,6.154664455160753e-05,True
Control4C,Lim:5335,ok,0.6759715845199353,1.9659421273067017,3.5644292898402356e-05,True
Control4C,Lim:5360,ok,0.6416740850904501,1.899658408654472,0.00010162030618565263,True
Control4C,Lim:6739,ok,0.6252571529757726,1.8687264442163065,0.00011316763713335006,True
Control4C,Lim:721,ok,0.6192487443200286,1.8575320360405494,0.00011599329627273006,True
Control4C,Lim:7404,ok,0.6417737802137586,1.8998478047745448,9.918391549675215e-05,True
Control4C,Lim:757,ok,0.6773806111446512,1.9687141445711722,3.33038856383054e-05,True
Control4C,Lim:76,ok,0.6654423584339701,1.9453508733966847,5.4040775303139354e-05,True
Control4C,Lim:800,ok,0.6453618231206261,1.9066767842238463,9.702203764784084e-05,True
Control4C,Lim:879,ok,0.6554344858277789,1.9259791462551512,7.871441405667887e-05,True
Control4C,Lim:9952,ok,0.6769860632328287,1.9679375457292563,4.23953262874023e-05,True
RG4,Lim:10811,ok,1.1611158789143905,3.1934948421659763,8.389427583313892e-05,True
RG4,Lim:10818,ok,1.1440134786577307,3.13934280002133,0.00010661221169538456,True
RG4,Lim:10996,ok,1.1434688748682784,3.1376335675055467,0.0001311354690556888,True
RG4,Lim:11010,ok,1.1570331393837736,3.1804832141510437,6.68495999385161e-05,True
RG4,Lim:1117,ok,1.0864658702867924,2.9637811547757025,0.00017254092626169004,True
RG4,Lim:11175,ok,1.1088866010466463,3.0309818230595447,0.00012709680487124202,True
RG4,Lim:1248,ok,1.1243081819257439,3.078086636174123,0.00011139192241989477,True
RG4,Lim:126,ok,1.124775928111953,3.0795267362334133,0.00011088314400444845,True
RG4,Lim:1284,ok,1.1088866010466463,3.0309818230595447,0.00012709680487124202,True
RG4,Lim:1288,ok,1.1052673859055875,3.020031874815015,0.0001189577443688433,True
RG4,Lim:1289,ok,1.0816357886498296,2.9495003662949966,0.00024143362278732688,True
RG4,Lim:1493,ok,1.1661073176832648,3.209474824503339,5.223965065835383e-05,True
RG4,Lim:1632,ok,1.102191521881119,3.010756938951765,0.00016076961871866566,True
RG4,Lim:1675,ok,1.140281314827299,3.127648095223562,0.00011023201282708133,True
RG4,Lim:1685,ok,1.1128599414335292,3.0430489029813366,0.00013308376263125354,True
RG4,Lim:1741,ok,1.0917375370926115,2.9794464764082,0.00015430502840104866,True
RG4,Lim:1824,ok,1.1122978031356885,3.041338769361603,0.00012560284755764242,True
RG4,Lim:1877,ok,1.1053635545110005,3.0203223210343992,0.0001366860162726648,True
RG4,Lim:2044,ok,1.1123609673944197,3.0415308793376985,0.00012187652204462688,True
RG4,Lim:2045,ok,1.10147828657095,3.008610326403501,0.00013826230326147705,True
RG4,Lim:225,ok,1.1132936143131489,3.0443688769596866,0.00012349286498906923,True
RG4,Lim:2304,ok,1.107524226421338,3.0268553019061506,0.00012344630206751964,True
RG4,Lim:240,ok,1.1049371823054877,3.0190348140431227,0.00013696111274497558,True
RG4,Lim:2542,ok,1.0677020766380583,2.9086878726829855,0.0002283529317156422,True
RG4,Lim:30,ok,1.1048716606101805,3.0188370082442715,0.00012815647120026252,True
RG4,Lim:3033,ok,1.0900963116327231,2.974560543550183,0.0001721219522562692,True
RG4,Lim:3047,ok,1.1044005144427578,3.017415029763923,0.0001454410035588184,True
RG4,Lim:3073,ok,1.0843561054474329,2.957534864922064,0.00017902482975933897,True
RG4,Lim:3080,ok,1.1109068176546468,3.0371112521796335,0.00011904641567680897,True
RG4,Lim:3099,ok,1.1517573630130253,3.1637478807179376,6.678134347565541e-05,True
RG4,Lim:310,ok,1.1015603403025018,3.008857204236053,0.0001449906412170578,True
RG4,Lim:3141,ok,1.1623817763928423,3.197540039096219,5.5303921632813065e-05,True
RG4,Lim:3157,ok,1.0926020503261649,2.982023361030654,0.00018825311853075993,True
RG4,Lim:348,ok,1.0952916910392072,2.990054728374333,0.00014592802454026034,True
RG4,Lim:36,ok,1.1108141518908201,3.0368298289849727,0.00013104851305498902,True
RG4,Lim:369,ok,1.1144122226981485,3.047776238909011,0.00012948913444279405,True
RG4,Lim:3859,ok,1.0881249489127829,2.968702381964302,0.00017286656234207528,True
RG4,Lim:3863,ok,1.0842182152741524,2.9571270780426047,0.00018104877349727614,True
RG4,Lim:389,ok,1.1028012202972346,3.012593152400087,0.0001371850252045916,True
RG4,Lim:3916,ok,1.1045213979277035,3.0177798074556037,0.00013536440309977815,True
RG4,Lim:3999,ok,1.1362640449447243,3.1151086926733136,0.00012227758331539247,True
RG4,Lim:4018,ok,1.0948019367131998,2.9885906946737952,0.0001600682532529664,True
RG4,Lim:4038,ok,1.0644312972946057,2.8991897380912586,0.0003160853811187842,True
RG4,Lim:406,ok,1.0691376077940127,2.912866383220628,0.00020365173249972394,True
RG4,Lim:442,ok,1.151288545258547,3.1622650071666483,0.00010154853216487883,True
RG4,Lim:5093,ok,1.0879185330580987,2.9680896579649754,0.00016711959796356565,True
RG4,Lim:51,ok,1.0963864970606831,2.993330050889756,0.00017606043314531626,True
RG4,Lim:5219,ok,1.0931383209505967,2.9836229614315624,0.00015845502412040186,True
RG4,Lim:5240,ok,1.1711015813414705,3.2255438811336408,4.610396937561101e-05,True
RG4,Lim:5316,ok,1.1006439355881252,3.0061011363388905,0.00016676954667278483,True
RG4,Lim:5335,ok,1.1214192595653563,3.0692071151626803,0.00011186640709360773,True
RG4,Lim:5360,ok,1.0796182466978013,2.943555624467982,0.0002645735259140379,True
RG4,Lim:6739,ok,1.0533901332420246,2.867355376182384,0.00024304660887806696,True
RG4,Lim:721,ok,1.0538331045152574,2.86862581360705,0.00023253177667949328,True
RG4,Lim:7404,ok,1.0645820020351182,2.899626692653169,0.0002734575341633617,True
RG4,Lim:757,ok,1.1450716594712742,3.1426665505938445,8.587250915706049e-05,True
RG4,Lim:76,ok,1.1129399107505344,3.043292263254269,0.00012298760904115583,True
RG4,Lim:800,ok,1.1028097425469072,3.0126188265804945,0.00015423890251821764,True
RG4,Lim:879,ok,1.1065467353415235,3.0238980234407786,0.00012441239434930518,True
RG4,Lim:9952,ok,1.154081782041759,3.1711103098643103,8.48746846667779e-05,True
