idcg,ra_deg,dec_deg,r_obs,zcmb,iline,g_obs,objid,specObjID,z,SFR,sSFR,lgm,h_alpha_eqw,h_beta_eqw,oiii_5007_eqw,nii_6584_eqw,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,p_E,p_S,log_NII_Ha,log_OIII_Hb,is_AGN,morphology,sSFR_status,sSFR_raw
7,138.99774934,10.16486734,15.9603459,0.03136179,394205,16.48657,1237661069243515028,368200644105889792,0.04402941,-0.6070054,-10.07302,9.417731,-18.48396,-4.269008,-3.270229,-3.064902,92.64172,24.13061,17.68419,19.25036,0.0670000016689301,0.771000027656555,-0.6823677539949751,-0.13498312827441838,False,Spiral,Passive,-10.07302
7,138.94129679,10.14717606,14.2718325,0.03206215,564297,15.1213968,1237661069243449676,368210814588446720,0.04218053,0.04121685,-10.28983,10.27808,-4.392002,-0.8644058,-0.06339019,-2.074189,28.95895,6.798969,2.14971,13.40855,0.148000001907349,0.851999998092651,-0.33440099526055495,-0.5000631842976361,False,Spiral,Passive,-10.28983
9,158.58209347,56.73991944,14.7661853,0.04518307,13629,15.6287775,1237655107834937433,375095681842440192,0.02204075,-0.8600219,-9.403695,8.482176,-43.14138,-8.810012,-20.8385,-4.26557,264.8387,74.95109,176.2915,24.79384,0.416999995708466,0.505999982357025,-1.0286376531343546,0.37145341994071757,False,Spiral,Passive,-9.403695
9,158.60045613,56.70182923,16.25489,0.04470692,218114,16.9961522,1237658302741610622,376156155438721024,0.03333035,-0.1891539,-10.01975,9.772541,-16.21941,-3.873654,-1.332247,-6.118619,406.9661,99.91075,34.10106,151.8919,0.611000001430511,0.388999998569489,-0.4280236196111577,-0.46684434025617244,False,Elliptical,Passive,-10.01975
9,158.5622327,56.68809121,16.5511415,0.04390722,218113,17.2822618,1237658302741610609,377295249602537472,0.0235806,-1.011749,-9.692073,8.61026,-34.33421,-7.803278,-13.18883,-4.472283,109.0811,35.61959,58.86378,12.31386,0.0879999995231628,0.758000016212463,-0.9473552971633259,0.21815923113866714,False,Spiral,Passive,-9.692073
9,158.543607,56.68631033,16.1009184,0.04619362,15573,16.9193782,1237658302741610602,383943716336855040,0.04387608,-0.5674714,-9.893389,9.277588,-25.8123,-5.479612,-3.068251,-8.172585,228.5369,59.15212,28.2448,71.41113,0.352999985218048,0.647000014781952,-0.5051904267298192,-0.3210318104031712,False,Spiral,Passive,-9.893389
10,219.69832725,10.12146139,14.1062853,0.05605628,20324,14.9827123,1237661949732585791,383986597290338304,0.01044113,-1.46145,-9.063855,7.546476,-61.45808,-13.43437,-30.23727,-1.687836,221.1673,78.8101,180.9745,8.698846,0.238000005483627,0.358000010251999,-1.4052592737453735,0.36103550685400604,False,Uncertain,Passive,-9.063855
12,217.60658393,11.92799674,12.3516562,0.02626462,21366,13.2231704,1237662528993951761,399820940764014592,0.03074286,-0.9504143,-10.31442,9.310993,-13.09041,-1.352004,-1.245903,-3.222107,75.63799,17.17104,5.058719,18.9704,0.136000007390976,0.864000022411346,-0.6006634911143867,-0.5307560438757921,False,Spiral,Passive,-10.31442
12,217.65039036,11.87668652,13.9455555,0.0250731,563892,14.7214869,1237662528993951919,403170878319257600,0.02751729,-1.576736,-11.34355,9.720245,-0.3103184,0.2539159,-0.09243971,0.1372731,6.213944,-2.296484,-0.891532,-0.3451906,0.270999997854233,0.633000016212463,,,False,Spiral,Starforming,-11.34355
12,217.673414,11.98703397,14.8035105,0.02781459,482162,15.5805915,1237662528993951972,403174176854140928,0.01127869,-1.708634,-9.654303,7.880668,-28.92361,-8.796448,-18.90988,-2.152851,118.6356,45.77703,92.38181,9.181781,0.46399998664856,0.308999985456467,-1.1112881011051414,0.30493885459606584,False,Uncertain,Passive,-9.654303
