sample,group_uid,objid,specObjID,rank_M,z,M_r,lgm,morphology,sSFR_status,sigma,sigma_err,SN,usable,valid_core,valid_core_sub,spec_choice,loss_reason,Mgb,Mgb_err,Fe5270,Fe5335,MgFe,MgFe_err,D4000n,HdA_sub,Hb_sub
CG4,HMCG:259,1237661418747461776,1487480399322966016,3,0.036049126,-20.208284,9.836478,Spiral,Starforming,37.54875,9.358046,14.1746,1,1,1,csv_specobjid_with_mpa,ok,2.012647,0.6899427,3.313974,2.777511,2.523398670020439,0.4812646484883662,1.433241,3.649187,3.449407
CG4,HMCG:259,1237661418747461854,1488565617752565760,4,0.03516477,-20.176313,10.18736,Elliptical,Quenched,127.4326,5.490547,26.58713,1,1,1,csv_specobjid_with_mpa,ok,3.907068,0.3514617,2.735486,3.353526,3.3710313883038228,0.2250734169163212,1.870798,-1.511528,2.109073
CG4,HMCG:265,1237667783918092311,3117790091079084032,2,0.028654471,-21.403193,10.70653,Elliptical,Quenched,198.0351,3.848275,45.24277,1,1,1,csv_specobjid_with_mpa,ok,4.418554,0.2001026,3.066252,2.776386,3.631773566586177,0.1313066893972654,2.022888,-1.713328,1.674143
CG4,HMCG:265,1237667783918092359,3117790640834897920,3,0.028556928,-20.276399,10.07185,Elliptical,Starforming,75.29784,6.358437,33.00082,1,1,1,csv_specobjid_with_mpa,ok,1.529589,0.2914093,1.48207,1.658869,1.5305810382992076,0.1875644024372183,1.239761,4.103248,2.819978
CG4,HMCG:265,1237667783918092392,3117791740346525696,4,0.028359654,-19.615394,9.538691,Spiral,Starforming,49.97084,10.19108,19.85215,1,1,1,csv_specobjid_with_mpa,ok,1.672682,0.4818912,1.812714,0.8980225,1.613597668819325,0.3047756641116357,1.380911,6.68551,4.227937
CG4,HMCG:27,1237651271887618101,500071114043582464,2,0.046428481,-21.525527,10.82927,NoGZ,Quenched,189.7935,5.581396,34.62148,1,1,1,csv_specobjid_with_mpa,ok,4.054763,0.2656644,2.451312,2.209666,3.1088808864741924,0.1766592512317554,1.860627,-1.620667,1.675587
CG4,HMCG:27,1237651271887618204,500075512090093568,3,0.045765926,-19.524462,9.714207,NoGZ,Starforming,14.64783,17.16466,9.566511,1,1,1,csv_specobjid_with_mpa,ok,0.6721294,0.9851465,3.040296,-1.009675,1.1319377387441094,0.8618999990593599,1.282155,2.527751,3.229112
CG4,HMCG:27,1237651533872496832,500074137700558848,4,0.046666261,-19.437155,9.640424,NoGZ,Starforming,60.50066,22.01302,9.010636,1,1,1,csv_specobjid_with_mpa,ok,0.3542791,1.102567,1.345824,3.625315,0.8384024099804747,1.3166506236393838,1.332909,3.242252,3.064074
CG4,HMCG:271,1237655368756625588,886108829253658624,2,0.036427232,-20.805012,10.46189,Elliptical,Quenched,106.4642,5.119672,26.27419,1,1,1,csv_specobjid_with_mpa,ok,3.798626,0.356629,2.997519,2.819421,3.346195728697973,0.2286064955209611,1.813385,-0.976351,1.742556
CG4,HMCG:271,1237655463774126344,886110753399007232,3,0.037375284,-20.711999,10.56311,Elliptical,Quenched,165.925,5.201753,31.87657,1,1,1,csv_specobjid_with_mpa,ok,4.207484,0.2899892,3.130627,2.577067,3.538349397164842,0.1854650894480321,1.999113,-2.829343,1.958038
CG4,HMCG:271,1237655463774126308,886107454864123904,4,0.035947135,-19.490148,9.29801,Spiral,Starforming,,,7.262257,0,1,1,csv_specobjid_with_mpa,sigma_invalid,2.383754,1.175042,4.315156,-0.6785562,2.6368943048170013,0.7938898707952113,1.138339,3.850652,4.816583
CG4,HMCG:276,1237651273515794443,560823806097123328,2,0.031341658,-21.080275,10.58702,NoGZ,Quenched,138.8433,3.605126,43.29355,1,1,1,csv_specobjid_with_mpa,ok,3.703095,0.2168405,2.697423,2.806974,3.178427818447605,0.1393994540998337,1.817569,-1.191388,2.131743
CG4,HMCG:276,1237651273515794622,560822981463402496,3,0.031391579,-21.036531,10.54362,NoGZ,Starforming,95.44378,4.304646,29.29334,1,1,1,csv_specobjid_with_mpa,ok,3.485826,0.3235572,3.431978,3.08633,3.409679586699982,0.2043599253646765,1.57795,1.548495,2.970126
CG4,HMCG:276,1237651273515794447,7865569572367390720,4,0.031401763,-20.139607,,NoGZ,NosSFR,103.4812,3.994359,,0,0,0,other_no_mpa,no_MPA_result(BOSS/not-run),,,,,,,,,
CG4,HMCG:28,1237651192431902934,503370198582061056,2,0.045297238,-21.38034,10.74845,Spiral,Quenched,90.53558,6.321025,17.87079,1,1,1,csv_specobjid_with_mpa,ok,3.796291,0.5159413,3.669149,2.32164,3.5350823420969535,0.324869691113426,1.664415,-0.3544649,1.955856
CG4,HMCG:28,1237651192431902942,503368549314619392,3,0.045825495,-20.605546,10.45439,NoGZ,Quenched,141.6439,5.467769,26.80732,1,1,1,csv_specobjid_with_mpa,ok,4.823053,0.3375599,3.077177,2.737381,3.7924277987284554,0.2206212833836731,1.877107,-1.257229,1.805542
CG4,HMCG:28,1237651192431902951,503369373948340224,4,0.045729996,-20.113728,9.72223,NoGZ,Starforming,46.52884,13.26226,13.51462,1,1,1,csv_specobjid_with_mpa,ok,2.366874,0.6736944,1.844053,2.178595,2.1415766046537397,0.4322591566087356,1.201497,5.309965,4.122276
