Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
805,4,17,True,13,2.6273809999999997,0,1237651822173552811;1237651822173552809;1237651822173487316,1237651822173552809;1237651822173487316;1237651822173552811,False,False,0,0.22180474525274452
841,4,16,True,7,3.999575,2,1237667782285787299;1237667735033741365;1237667735033741333,1237667782285787299;1237667734496805239;1237667782285787289,True,True,4,0.6779076296802398
844,4,16,True,10,2.973828000000001,0,1237667550342086697;1237667550342086875;1237667550342086930,1237667550342086930;1237667550342086875;1237667550342086697,False,False,0,0.15332885864267265
847,4,16,True,5,4.562669,2,1237651737930694670;1237654880211173600;1237651737930498465,1237651737930694670;1237651737930629584;1237654880211108384,True,True,9,0.23181264200452922
859,4,16,True,5,3.8210879999999996,2,1237667735577886985;1237667735577886962;1237667735577821313,1237667735577886985;1237667735577886971;1237667735577886776,True,True,6,0.16666522308963305
864,4,16,True,9,3.907063000000001,1,1237648721225646275;1237674650460487907;1237674650460422494,1237674650460487907;1237648721225646275;1237674650460422448,True,True,1,0.18548709602852753
867,4,16,True,9,3.7188890000000008,1,1237667735062577234;1237667782314754241;1237667735062577326,1237667782314754241;1237667735062577234;1237667782314754226,True,True,1,0.32616783505782276
871,4,16,True,11,2.8617929999999987,0,1237667253472329733;1237667253472329842;1237667253472329735,1237667253472329733;1237667253472329842;1237667253472329735,False,False,0,0.1715257414210143
883,4,16,True,9,2.3343520000000026,0,1237655124465484022;1237655124465549363;1237655124465483999,1237655124465483999;1237655124465484022;1237655124465549363,False,False,0,0.10479257313526924
885,4,16,True,10,2.3533490000000015,0,1237665370118291482;1237665331457163322;1237665370118226042,1237665331457163322;1237665370118291482;1237665370118226042,False,False,0,0.17529113984031808
886,4,16,True,8,4.162834,2,1237661355926356096;1237660634386006121;1237660634386137172,1237661355926356096;1237660634386071720;1237660634386071735,True,True,3,0.3507323171908565
887,4,16,True,10,3.6652330000000006,1,1237671123767787710;1237671260669739186;1237671123767787682,1237671260669739186;1237671123767787710;1237671260669673588,True,True,1,0.4477135131054073
888,4,16,True,9,4.043188999999998,2,1237663916801785874;1237663916801786266;1237663916801720625,1237663916801785874;1237663916801785979;1237663916801720747,True,True,3,0.2297658532315605
889,4,16,True,9,1.9953720000000033,0,1237651735234478093;1237651735234478248;1237651752414085200,1237651735234478093;1237651752414085200;1237651735234478248,False,False,0,0.3696575218382794
962,4,15,True,6,4.6655750000000005,2,1237662224077226146;1237662224077422595;1237664854716514359,1237662224077226146;1237662224077226093;1237662224077160787,True,True,4,0.3960700696386166
974,4,15,True,6,3.305769999999999,1,1237667323250933967;1237667430105677981;1237667322713931949,1237667430105677981;1237667323250933967;1237667323250934008,True,True,6,0.2546120726227654
975,4,15,True,11,3.2171470000000006,1,1237662664291582248;1237662664291582317;1237662664291647718,1237662664291582317;1237662664291582248;1237662664291582314,True,True,1,0.24439399928425498
