Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
864,4,16,True,9,2.7945759999999993,0,1237648721225646275;1237674650460487907;1237674650460422494,1237674650460422494;1237674650460487907;1237648721225646275,False,False,1,0.188675710722098
867,4,16,True,9,2.9711849999999984,0,1237667735062577234;1237667782314754241;1237667735062577326,1237667782314754241;1237667735062577234;1237667735062577326,False,False,1,0.44253541994963363
871,4,16,True,11,2.8617929999999987,0,1237667253472329733;1237667253472329842;1237667253472329735,1237667253472329733;1237667253472329842;1237667253472329735,False,False,0,0.1715257414210143
883,4,16,True,9,2.3343520000000026,0,1237655124465484022;1237655124465549363;1237655124465483999,1237655124465483999;1237655124465484022;1237655124465549363,False,False,0,0.10479257313526924
885,4,16,True,10,2.3533490000000015,0,1237665370118291482;1237665331457163322;1237665370118226042,1237665331457163322;1237665370118291482;1237665370118226042,False,False,0,0.17529113984031808
886,4,16,True,8,2.9483549999999994,0,1237661355926356096;1237660634386006121;1237660634386137172,1237661355926356096;1237660634386006121;1237660634386137172,False,False,3,0.4712935803705083
887,4,16,True,10,2.8087240000000016,0,1237671123767787710;1237671260669739186;1237671123767787682,1237671123767787682;1237671260669739186;1237671123767787710,False,False,1,0.5291415301716516
888,4,16,True,9,2.6239990000000013,0,1237663916801785874;1237663916801786266;1237663916801720625,1237663916801785874;1237663916801720625;1237663916801786266,False,False,3,0.3746418343700393
889,4,16,True,9,1.9953720000000033,0,1237651735234478093;1237651735234478248;1237651752414085200,1237651735234478093;1237651752414085200;1237651735234478248,False,False,0,0.3696575218382794
962,4,15,True,6,1.2009469999999993,0,1237662224077226146;1237662224077422595;1237664854716514359,1237662224077422595;1237664854716514359;1237662224077226146,False,False,4,1.4257688183645278
974,4,15,True,6,2.035944999999998,0,1237667323250933967;1237667430105677981;1237667322713931949,1237667430105677981;1237667322713931949;1237667323250933967,False,False,6,1.0094393777619857
975,4,15,True,11,2.9605929999999994,0,1237662664291582248;1237662664291582317;1237662664291647718,1237662664291582317;1237662664291647718;1237662664291582248,False,False,1,0.25640147948263703
984,4,15,True,5,2.877889999999997,0,1237657878614638621;1237657773924352400;1237657628432007196,1237657878614638621;1237657773924352400;1237657628432007196,False,False,4,1.2532134457878037
985,4,15,True,9,1.958715999999999,0,1237665548901286143;1237665567692292584;1237665567692226797,1237665567692292584;1237665567692226797;1237665548901286143,False,False,2,0.3347000475020403
988,4,15,True,7,2.80828,0,1237671124305051901;1237671261206937699;1237671261207003251,1237671124305051901;1237671261207003251;1237671261206937699,False,False,5,0.9060235304490618
993,4,15,True,8,2.9867539999999977,0,1237651274035363852;1237663529186623648;1237663546366558454,1237651274035363852;1237663529186623648;1237663546366558454,False,False,4,0.5933724834173173
996,4,15,True,8,2.987635000000001,0,1237667430096371778;1237667430096371947;1237667292655910960,1237667430096371778;1237667292655910960;1237667430096371947,False,False,3,0.6131401793710793
998,4,15,True,11,1.980789999999999,0,1237664291548823599;1237664291548823571;1237662530600370324,1237664291548823599;1237664291548823571;1237662530600370324,False,False,2,0.32768108502499604
1001,4,15,True,6,2.168451000000001,0,1237664291011952667;1237662530063564997;1237662530063499615,1237664291011952667;1237662530063499615;1237662530063564997,False,False,3,0.31152376227872036
1004,4,15,True,10,2.8915229999999994,0,1237659330848751703;1237659330848751818;1237659330848751807,1237659330848751703;1237659330848751807;1237659330848751818,False,False,0,0.11115965547638584
1005,4,15,True,13,2.7211700000000008,0,1237665127991279710;1237665127991279712;1237665127991279874,1237665127991279712;1237665127991279874;1237665127991279710,False,False,0,0.10929317060642818
1006,4,15,True,10,2.8245520000000006,0,1237661137419108491;1237661382771474612;1237661382771409253,1237661137419108491;1237661382771474612;1237661382771409253,False,False,1,0.28400501316261906
1007,4,15,True,8,2.4908150000000013,0,1237664092898918570;1237664668424536083;1237664092898918748,1237664668424536083;1237664092898918748;1237664092898918570,False,False,3,0.35435666569171875
1088,4,14,True,4,2.9764449999999982,0,1237658919069548563;1237658803114475756;1237658803114475562,1237658803114475562;1237658919069548563;1237658803114475756,False,False,7,1.0559309731698434
1090,4,14,True,4,2.410191000000001,0,1237665532785066003;1237665532785066002;1237665532785066181,1237665532785066002;1237665532785066003;1237665532785066181,False,False,6,0.6094499214192659
1093,4,14,True,5,2.895494000000003,0,1237667254552690986;1237667254552690963;1237667254552625190,1237667254552625190;1237667254552690963;1237667254552690986,False,False,4,0.29867111507462063
1104,4,14,True,7,2.8539250000000003,0,1237663547981103123;1237663531337973846;1237663530801168520,1237663531337973846;1237663547981103123;1237663530801168520,False,False,1,0.7939412312549656
1109,4,14,True,5,2.7406219999999983,0,1237667536938139658;1237667549269721194;1237667537475010658,1237667537475010658;1237667549269721194;1237667536938139658,False,False,1,1.005682285940459
1110,4,14,True,8,2.6532620000000016,0,1237662619189575826;1237662640121577756;1237662307274653752,1237662307274653752;1237662619189575826;1237662640121577756,False,False,2,0.8077463725348046
1118,4,14,True,9,2.2718339999999984,0,1237651272431829138;1237651538169823387;1237651272431829116,1237651272431829116;1237651538169823387;1237651272431829138,False,False,0,0.1834137603433348
1122,4,14,True,8,2.9083310000000004,0,1237651736314773622;1237651736314839047;1237651736314773859,1237651736314839047;1237651736314773859;1237651736314773622,False,False,2,0.20109137163371926
1124,4,14,True,8,2.7450009999999985,0,1237651823249522870;1237651823249457410;1237654880740638942,1237651823249522870;1237651823249457410;1237654880740638942,False,False,1,0.9290085020344421
1131,4,14,True,8,1.6387539999999987,0,1237671931209318579;1237671931209318493;1237671931209318606,1237671931209318493;1237671931209318579;1237671931209318606,False,False,0,0.22738659054826904
1132,4,14,True,13,2.8679050000000004,0,1237654028714967128;1237654028714967239;1237654028715032625,1237654028715032625;1237654028714967239;1237654028714967128,False,False,0,0.17359127295803356
1133,4,14,True,10,2.904135,0,1237665429171798248;1237665429171863665;1237665429171798182,1237665429171798182;1237665429171798248;1237665429171863665,False,False,1,0.19988579959752784
1134,4,14,True,6,2.4508769999999984,0,1237663916268257468;1237663916268257450;1237663786883940513,1237663786883940513;1237663916268257450;1237663916268257468,False,False,6,0.7031465905960168
1142,4,14,True,10,2.8623510000000003,0,1237665548363956318;1237665548363956244;1237665548363956543,1237665548363956318;1237665548363956244;1237665548363956543,False,False,1,0.14570684569531345
1143,4,14,True,6,2.5871119999999976,0,1237657595152433227;1237657595152433341;1237657595689304281,1237657595152433227;1237657595152433341;1237657595689304281,False,False,2,0.4569610333167322
1145,4,14,True,12,2.5436249999999987,0,1237651274036871310;1237651274036871311;1237651274036871362,1237651274036871311;1237651274036871310;1237651274036871362,False,False,1,0.1317435134732836
1259,4,13,True,4,2.907578000000001,0,1237658917459918989;1237658802041716895;1237658802041651318,1237658917459918989;1237658802041651318;1237658802041716895,False,False,2,0.7920087391743387
1264,4,13,True,7,2.6686900000000016,0,1237661068181766366;1237661951320588310;1237661068181766380,1237661068181766380;1237661068181766366;1237661951320588310,False,False,1,0.2713587103972701
1265,4,13,True,6,1.3819920000000003,0,1237665441523630105;1237665441523499143;1237665428634402842,1237665441523499143;1237665428634402842;1237665441523630105,False,False,5,0.871253007116092
1266,4,13,True,5,2.738123999999999,0,1237661068714442879;1237661068714508360;1237661068714508526,1237661068714508526;1237661068714508360;1237661068714442879,False,False,4,0.47477256673667334
1270,4,13,True,7,2.984124999999999,0,1237661137421271216;1237661382236766371;1237661137421271240,1237661382236766371;1237661137421271216;1237661137421271240,False,False,2,0.2754227729061993
1272,4,13,True,4,2.6799660000000003,0,1237667914345611509;1237667914345742360;1237668297129328675,1237667914345742360;1237668297129328675;1237667914345611509,False,False,5,0.5544384497468968
1274,4,13,True,6,2.5080070000000028,0,1237668496310665432;1237668496310665312;1237668496310730776,1237668496310730776;1237668496310665312;1237668496310665432,False,False,3,0.30856755510849165
1275,4,13,True,7,2.333717,0,1237662224066347142;1237664667907588102;1237664667370651768,1237664667370651768;1237662224066347142;1237664667907588102,False,False,2,0.6675677970231391
1278,4,13,True,5,2.401916,0,1237665024372572310;1237665128011464838;1237665128011399283,1237665128011399283;1237665128011464838;1237665024372572310,False,False,3,0.3207295071726275
1282,4,13,True,7,2.3623389999999986,0,1237660636533031076;1237661358610186319;1237660635996160210,1237661358610186319;1237660635996160210;1237660636533031076,False,False,1,0.70548869755123
1283,4,13,True,4,1.7446020000000004,0,1237667209987883063;1237667431717732380;1237667209987948561,1237667209987948561;1237667431717732380;1237667209987883063,False,False,7,0.5925876630474161
1286,4,13,True,10,2.6215979999999988,0,1237664289399439485;1237664289399439496;1237664289399374060,1237664289399439496;1237664289399374060;1237664289399439485,False,False,0,0.21130489194612068
1289,4,13,True,8,2.7010669999999983,0,1237662264859557988;1237662264859623727;1237662198284157109,1237662264859557988;1237662264859623727;1237662198284157109,False,False,2,0.5421590903051978
1295,4,13,True,4,2.8153940000000013,0,1237661356464865319;1237661356464799823;1237661356464799824,1237661356464799823;1237661356464865319;1237661356464799824,False,False,3,0.5388138736778938
1296,4,13,True,6,2.7898870000000002,0,1237661139030900756;1237661139030900758;1237661139030835274,1237661139030835274;1237661139030900758;1237661139030900756,False,False,2,0.25697781212293336
1297,4,13,True,7,2.5147119999999994,0,1237659325492560003;1237659325492560241;1237659329778483267,1237659329778483267;1237659325492560003;1237659325492560241,False,False,1,0.48928391759292467
1298,4,13,True,10,1.9527269999999994,0,1237662698108878900;1237662698108879110;1237662698108813692,1237662698108878900;1237662698108813692;1237662698108879110,False,False,1,0.40246932268482283
1300,4,13,True,4,2.8754109999999997,0,1237648705115848766;1237648705115848927;1237648722307842148,1237648705115848766;1237648722307842148;1237648705115848927,False,False,1,0.25403050122346293
1301,4,13,True,12,1.4290780000000005,0,1237661849862340734;1237661849862340742;1237661849862340735,1237661849862340734;1237661849862340735;1237661849862340742,False,False,0,0.07020673800172705
1302,4,13,True,5,2.839105,0,1237659132751642639;1237659132751577202;1237659132751577262,1237659132751577262;1237659132751577202;1237659132751642639,False,False,3,0.7326682107779234
1404,4,12,True,4,2.7030689999999993,0,1237665566618616105;1237665566618681710;1237665566618616242,1237665566618616242;1237665566618616105;1237665566618681710,False,False,2,0.47191382237409485
