petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r,objid
15.0336,17.07445,14.86724,14.92728,0.1050255,1237648722284052878
15.68979,17.47222,15.47616,15.62895,0.1048115,1237648722284052865
17.47623,18.93005,17.44428,17.44428,0.1097406,1237648722284052811
16.48701,17.29726,16.41473,16.42577,0.1711141,1237648721792729473
16.64483,17.83578,16.55247,16.5525,0.1715353,1237648721792729305
15.3665,16.74961,15.27453,15.29559,0.1411008,1237648721790894241
17.52551,19.58519,17.11708,17.40092,0.1391528,1237648721250615590
16.47271,18.31904,16.4453,16.4453,0.1123936,1237648721249763542
16.00775,17.8039,15.79067,15.83627,0.1070817,1237648721249501332
17.05743,18.46395,17.02978,17.00833,0.1052833,1237648721249435833
14.12199,16.34386,14.17584,14.17762,0.1054469,1237648721249435820
14.72388,16.52997,14.64059,14.64061,0.1002426,1237648720686153850
14.23045,17.29326,14.2742,14.20847,0.101158,1237648720171696336
14.24877,16.27772,14.12893,14.12894,0.08563328,1237648720153149538
15.67211,17.90382,15.67576,15.64019,0.1271504,1237648720149479679
15.94427,17.50288,15.95352,15.95352,0.1019803,1237648720149217569
16.33836,18.53893,16.34147,16.29959,0.144961,1237648705135837483
15.38128,17.00215,15.23039,15.23038,0.1377749,1237648705135772257
13.59978,16.14684,13.5704,13.57046,0.1387717,1237648705135771804
17.33098,19.56542,17.34649,17.34649,0.1028037,1237648705131118799
15.50666,17.90725,15.50727,15.43799,0.103147,1237648705131118796
16.6073,18.71366,16.62746,16.55749,0.1017716,1237648705131118779
15.10909,16.52448,15.07053,15.07055,0.1034603,1237648705131053204
14.42877,16.23569,14.37363,14.37363,0.1023786,1237648705131053137
15.16077,16.84365,15.041,15.11327,0.09261981,1237648705129480247
15.72335,17.68018,15.44654,15.59727,0.08527566,1237648705129349141
13.31211,15.77332,13.25364,13.25364,0.08602913,1237648705129349140
14.75142,17.27907,14.77175,14.66609,0.0378844,1237648705116766267
16.2208,17.95621,16.00312,16.11822,0.05133405,1237648705115848927
14.58819,16.62858,14.74244,14.74242,0.05215022,1237648705115848766
13.34185,16.37246,13.22363,13.2236,0.05236578,1237648705115848765
16.58514,17.83268,16.38099,16.51383,0.1214454,1237648704057573747
16.7597,19.18303,16.72549,16.69944,0.1197181,1237648704057573731
14.38449,16.86854,14.32625,14.36358,0.1189382,1237648704057573661
14.68249,16.5792,14.56262,14.56261,0.1216945,1237648704057573499
14.37005,17.9539,14.38147,14.38147,0.1090787,1237648702977409215
14.79007,17.33548,14.83148,14.74896,0.1065407,1237648702977409073
17.46742,19.28562,17.40579,17.40579,0.1432156,1237648673987232019
15.82568,18.03517,15.83185,15.73427,0.1156799,1237654391103553879
14.87694,16.99192,14.83584,14.84742,0.1194359,1237654391103553687
14.22886,18.08561,14.25502,14.22076,0.1183877,1237654390566748171
15.16593,16.64142,15.05203,15.06855,0.1100664,1237654390566617171
16.07559,17.81724,15.82473,15.96175,0.02874102,1237654381977796849
14.62297,17.03267,14.516,14.516,0.02960692,1237654381977796751
14.05585,16.58677,13.90194,13.91399,0.03166148,1237654381977731176
16.66678,18.39718,16.71387,16.58447,0.03248776,1237654381977731138
15.4292,18.05707,15.4088,15.36035,0.1063294,1237654031401812159
14.86284,16.28139,14.80137,14.80137,0.09076175,1237654030863892655
14.93082,16.47108,14.8267,14.8267,0.08346723,1237654030863892624
14.45019,16.41054,14.44206,14.44208,0.09752652,1237654030863826964
13.25901,15.84151,13.17263,13.17264,0.05885173,1237653665796390983
15.84959,18.39147,15.85145,15.84243,0.0716433,1237653665796325491
16.24557,17.42644,16.11617,16.12809,0.03038544,1237653613184286930
14.23781,16.38178,14.06363,14.08618,0.0308658,1237653613184286875
15.55485,17.04869,15.42737,15.49618,0.113588,1237653588481540142
16.05289,17.50555,15.94027,15.94027,0.1157527,1237653586333794636
13.93961,16.08809,13.88573,13.88571,0.09500551,1237651823249391627
14.3625,16.34583,14.50922,14.50922,0.09689617,1237651823249326170
15.90264,19.35239,15.92916,15.75525,0.1484107,1237651801774358588
16.29728,18.53578,16.2371,16.23711,0.07237138,1237651801234210980
14.83826,16.2318,14.78818,14.78816,0.09478798,1237651755078778904
14.69359,17.28251,14.68944,14.63225,0.09687222,1237651755078582359
16.09288,17.6506,15.86907,15.98021,0.2538107,1237651737930498465
