split_variable,split_value,colour,comparison,n_CG4,n_ordinary,median_CG4,median_ordinary,median_diff,ci68_low,ci68_high,ci95_low,ci95_high,mannwhitney_p,permutation_p,cliffs_delta,permutation_p_holm,permutation_p_holm_significant
sSFR_class,Starforming,u_minus_r,Ordinary pooled,55,1517,-0.320334105822226,-0.34812840185325644,0.027794296031030452,-0.08851874461513319,0.09071980606693077,-0.1254844622768767,0.13384242063681043,0.7636307784109038,0.6353646353646354,-0.02385090189968242,1.0,False
sSFR_class,Starforming,u_minus_r,Control4B,55,593,-0.320334105822226,-0.3870721118585376,0.06673800603631164,-0.05055311576345467,0.12325232271437173,-0.09191910080591098,0.17758141980525682,0.4305056032753751,0.2137862137862138,0.06423424804537792,0.4275724275724276,False
sSFR_class,Starforming,u_minus_r,Control4C,55,849,-0.320334105822226,-0.28968452488621077,-0.03064958093601522,-0.14880673331402017,0.03890917352532832,-0.18902854792292387,0.08870966309029746,0.2428829388214917,0.6203796203796204,-0.09388585501659708,1.0,False
sSFR_class,Starforming,u_minus_r,RG4,55,75,-0.320334105822226,-0.4043244753676194,0.0839903695453934,-0.03999174911929259,0.1592563777202165,-0.1094105504908156,0.21531173808868267,0.4825862616171507,0.2977022977022977,0.07248484848484837,1.0,False
sSFR_class,Starforming,u_minus_g,Ordinary pooled,55,1517,-0.2782494844759771,-0.27374765727349715,-0.0045018272024799355,-0.05664024618921356,0.03619613773466014,-0.0871702397427691,0.08432479859959754,0.7610954725410168,0.948051948051948,-0.02411458021214119,1.0,False
sSFR_class,Starforming,u_minus_g,Control4B,55,593,-0.2782494844759771,-0.28723252669369925,0.00898304221772217,-0.05059834218827358,0.03889493077539848,-0.08016188493927077,0.09449349049175539,0.8856494956648439,0.8061938061938062,0.011743063007818577,0.8061938061938062,False
sSFR_class,Starforming,u_minus_g,Control4C,55,849,-0.2782494844759771,-0.2571220915266115,-0.02112739294936561,-0.07973951443977723,0.021937557492562935,-0.11170073338733272,0.07291273875364811,0.49165155716403064,0.6893106893106893,-0.055294999464610806,1.0,False
sSFR_class,Starforming,u_minus_g,RG4,55,75,-0.2782494844759771,-0.3208312605812771,0.04258177610530001,-0.020152867004431165,0.09322924998412829,-0.05902778284021763,0.15002932654443946,0.6612021246532995,0.3866133866133866,0.045333333333333226,1.0,False
sSFR_class,Starforming,g_minus_r,Ordinary pooled,55,1517,-0.07979090594010474,-0.076668999208649,-0.003121906731455737,-0.01589517753181313,0.01855681815105059,-0.050589748493121124,0.039286615758885035,0.6381040814248988,0.8661338661338661,-0.03729849583508116,1.0,False
sSFR_class,Starforming,g_minus_r,Control4B,55,593,-0.07979090594010474,-0.10747129445818748,0.027680388518082744,0.014889174032274157,0.047670553716389126,-0.015445916002087794,0.07156704588779647,0.13036764082855348,0.12987012987012986,0.12322550973478452,0.3896103896103896,False
sSFR_class,Starforming,g_minus_r,Control4C,55,849,-0.07979090594010474,-0.042061823397169795,-0.037729082542934944,-0.05126873343749827,-0.01331450130752887,-0.08395959746036474,0.007633144302101991,0.04224685774159656,0.15384615384615385,-0.16327229896134487,0.6153846153846154,False
sSFR_class,Starforming,g_minus_r,RG4,55,75,-0.07979090594010474,-0.10623802960176276,0.026447123661658023,0.00666611293457674,0.054828917109328176,-0.02377582088258401,0.08125713073954423,0.24635320690392715,0.3006993006993007,0.11951515151515157,1.0,False
sSFR_class,Starforming,r_minus_i,Ordinary pooled,55,1517,-0.002178643242636058,-0.009171829900445072,0.006993186657809014,-0.003035200511377123,0.013610289390737468,-0.013451587261362086,0.018495898152065156,0.8171834334794907,0.5054945054945055,0.018337628093725744,1.0,False
sSFR_class,Starforming,r_minus_i,Control4B,55,593,-0.002178643242636058,-0.02191891267879409,0.01974026943615803,0.008306530937504093,0.026622602069547505,-0.0008906489726628738,0.031836009645157225,0.04267153487366759,0.030969030969030968,0.16510807910470637,0.12387612387612387,False
sSFR_class,Starforming,r_minus_i,Control4C,55,849,-0.002178643242636058,0.00609235934892513,-0.008271002591561188,-0.017675053085278863,-0.0006959611703246105,-0.0284947003622922,0.00545221181587522,0.2968942195827873,0.4805194805194805,-0.08386336866902233,1.0,False
sSFR_class,Starforming,r_minus_i,RG4,55,75,-0.002178643242636058,-0.005316048817606167,0.003137405574970109,-0.0070088972703772345,0.011536760182153858,-0.018596862838084056,0.019891887266753568,0.8875758539111606,0.7542457542457542,0.014787878787878794,1.0,False
