check,comparison,colour,n,coefficient,ci_low,ci_high,p_value
leave one CG4 group out,CG4_373,g_minus_r,2373,-0.0034388849450585346,-0.032562244269338556,0.02568447437922149,0.8169788515292522
leave one CG4 group out,CG4_374,g_minus_r,2373,-0.0041632076246484115,-0.03307290940894014,0.024746494159643317,0.7777525198320275
leave one CG4 group out,CG4_386,g_minus_r,2372,0.0007483150651625275,-0.02763652613522048,0.029133156265545534,0.9587909166719251
leave one CG4 group out,CG4_394,g_minus_r,2372,-0.005992002363385113,-0.03464084054618323,0.022656835819413003,0.6818549780294072
leave one CG4 group out,CG4_405,g_minus_r,2373,4.5460496579656506e-05,-0.028515360588387488,0.0286062815815468,0.9975108507675171
leave one CG4 group out,CG4_25,r_minus_i,2373,0.00873358839533668,-0.006100058176006893,0.023567234966680256,0.24851424913492104
leave one CG4 group out,CG4_33,r_minus_i,2373,0.008185247894921924,-0.006655627043537242,0.02302612283338109,0.27970295032129544
leave one CG4 group out,CG4_52,r_minus_i,2372,0.008197767025744627,-0.0068854739940606025,0.023281008045549854,0.2867656432322495
leave one CG4 group out,CG4_61,r_minus_i,2373,0.006927971294528561,-0.00788426015225206,0.02174020274130918,0.3592927301758544
leave one CG4 group out,CG4_73,r_minus_i,2373,0.00892060737459903,-0.005942994873237614,0.023784209622435673,0.23947464354918557
leave one CG4 group out,CG4_80,r_minus_i,2374,0.007532088175577156,-0.007293570215591724,0.022357746566746037,0.31937254060221887
leave one CG4 group out,CG4_82,r_minus_i,2373,0.007984290931971783,-0.006894019234914882,0.022862601098858445,0.2928939088122544
leave one CG4 group out,CG4_84,r_minus_i,2372,0.006899672803327156,-0.008096002953408043,0.021895348560062353,0.3671627724966995
leave one CG4 group out,CG4_99,r_minus_i,2373,0.007568982807789424,-0.007325869220445581,0.02246383483602443,0.31926120094862864
leave one CG4 group out,CG4_101,r_minus_i,2374,0.007308211342657096,-0.00751137892091281,0.022127801606227,0.3337705232359516
leave one CG4 group out,CG4_106,r_minus_i,2373,0.010203259338153699,-0.004081764596298968,0.024488283272606368,0.16153454819937907
leave one CG4 group out,CG4_112,r_minus_i,2374,0.007552569434518545,-0.007248978228048892,0.02235411709708598,0.3172707382524754
leave one CG4 group out,CG4_117,r_minus_i,2373,0.007064096304096459,-0.007794522549521239,0.021922715157714157,0.3514359535325239
leave one CG4 group out,CG4_128,r_minus_i,2374,0.007711212718416256,-0.007119395996310653,0.022541821433143164,0.3081610679704708
