group_uid,sample,Group,Delta_m12,Delta_m12_source,f_L_BGG_raw,f_L_BGG_source,class_label,n_members,f_L_BGG
CG4:84,CG4,84,0.992955000000002,rank_1_2_M_r,0.6215463710835392,Lum_BGG/Lum_group,Embedded,4,0.6215463710835392
CG4:99,CG4,99,1.7266499999999994,rank_1_2_M_r,0.730563586793325,Lum_BGG/Lum_group,Embedded,4,0.730563586793325
RG4:10027,RG4,10027,2.1395470000000003,rank_1_2_M_r,0.7621653148973629,Lum_BGG/Lum_group,,4,0.7621653148973629
RG4:10074,RG4,10074,0.08924599999999927,rank_1_2_M_r,0.3781860196677433,Lum_BGG/Lum_group,,4,0.3781860196677433
RG4:10120,RG4,10120,1.2815849999999998,rank_1_2_M_r,0.5948883529241475,Lum_BGG/Lum_group,,4,0.5948883529241475
RG4:10121,RG4,10121,0.9674350000000018,rank_1_2_M_r,0.5800276855956408,Lum_BGG/Lum_group,,4,0.5800276855956408
RG4:10163,RG4,10163,1.8664650000000016,rank_1_2_M_r,0.682951468065076,Lum_BGG/Lum_group,,4,0.682951468065076
RG4:10218,RG4,10218,1.0988900000000008,rank_1_2_M_r,0.5757617636103008,Lum_BGG/Lum_group,,4,0.5757617636103008
RG4:10236,RG4,10236,0.0019470000000012533,rank_1_2_M_r,0.4570941632438418,Lum_BGG/Lum_group,,4,0.4570941632438418
RG4:10247,RG4,10247,0.916134999999997,rank_1_2_M_r,0.5650871552440119,Lum_BGG/Lum_group,,4,0.5650871552440119
RG4:10324,RG4,10324,0.7402920000000002,rank_1_2_M_r,0.5220375265812004,Lum_BGG/Lum_group,,4,0.5220375265812004
RG4:10423,RG4,10423,1.1451659999999997,rank_1_2_M_r,0.616709825054984,Lum_BGG/Lum_group,,4,0.616709825054984
RG4:10427,RG4,10427,1.764054999999999,rank_1_2_M_r,0.7031618114803989,Lum_BGG/Lum_group,,4,0.7031618114803989
RG4:10458,RG4,10458,1.2639780000000016,rank_1_2_M_r,0.6027219012308079,Lum_BGG/Lum_group,,4,0.6027219012308079
RG4:10485,RG4,10485,1.4280100000000004,rank_1_2_M_r,0.6700434825852365,Lum_BGG/Lum_group,,4,0.6700434825852365
RG4:10497,RG4,10497,0.02970099999999931,rank_1_2_M_r,0.43149646639911177,Lum_BGG/Lum_group,,4,0.43149646639911177
RG4:10506,RG4,10506,0.9668330000000012,rank_1_2_M_r,0.4776139346051488,Lum_BGG/Lum_group,,4,0.4776139346051488
RG4:10574,RG4,10574,0.19104799999999855,rank_1_2_M_r,0.4540856602925487,Lum_BGG/Lum_group,,4,0.4540856602925487
RG4:10581,RG4,10581,2.370723999999999,rank_1_2_M_r,0.7981700637378379,Lum_BGG/Lum_group,,4,0.7981700637378379
RG4:10610,RG4,10610,0.01917100000000005,rank_1_2_M_r,0.418192705163295,Lum_BGG/Lum_group,,4,0.418192705163295
