split_variable,split_value,colour,comparison,n_CG4,n_ordinary,median_CG4,median_ordinary,median_diff,ci68_low,ci68_high,ci95_low,ci95_high,mannwhitney_p,permutation_p,cliffs_delta,permutation_p_holm,permutation_p_holm_significant
morphology_harmonized,Elliptical,g_minus_r,Control4C,46,316,0.0667075606512601,0.09541917854318871,-0.02871161789192861,-0.0462395198947879,-0.01564970390308263,-0.05915336523083798,0.0022534575584404657,0.07778909278766075,0.055944055944055944,-0.16097963676389648,0.22377622377622378,False
morphology_harmonized,Elliptical,g_minus_r,RG4,46,13,0.0667075606512601,0.0606076322754211,0.006099928375839003,-0.03985234171834018,0.038829241686015536,-0.0908679986602896,0.06622327637738668,0.9344116074858504,0.9000999000999002,-0.01672240802675584,1.0,False
morphology_harmonized,Elliptical,r_minus_i,Ordinary pooled,46,547,0.02439885521643481,0.02019192446412682,0.004206930752307991,-0.006639985078277316,0.015130658660114746,-0.011484396891619909,0.02026770158219705,0.6577003983981946,0.5644355644355644,0.039345044114140304,1.0,False
morphology_harmonized,Elliptical,r_minus_i,Control4B,46,218,0.02439885521643481,0.007458928304742651,0.01693992691169216,0.005892723077869737,0.027941133779586038,0.00044547993974670285,0.03388840631968631,0.021430045521185888,0.011988011988011988,0.21599521340247319,0.04795204795204795,True
morphology_harmonized,Elliptical,r_minus_i,Control4C,46,316,0.02439885521643481,0.029813771352129592,-0.005414916135694781,-0.016311256227502163,0.005885759522456359,-0.021336939771762663,0.011396381745127268,0.3525207764863473,0.4645354645354645,-0.08489268024215735,0.929070929070929,False
morphology_harmonized,Elliptical,r_minus_i,RG4,46,13,0.02439885521643481,0.012879241499478222,0.01151961371695659,-0.0036301011722241223,0.02462407029356714,-0.019847065157726846,0.03436683233585965,0.6022233925011445,0.5234765234765235,0.09698996655518388,1.0,False
morphology_harmonized,Spiral,u_minus_r,Ordinary pooled,51,1285,-0.15937298095275776,-0.2671925622421423,0.10781958128938451,0.03412889936014052,0.1345994755642375,-0.09265093627889771,0.15850736832085233,0.30653745767310425,0.1038961038961039,0.08433661402304105,0.4155844155844156,False
morphology_harmonized,Spiral,u_minus_r,Control4B,51,557,-0.15937298095275776,-0.3060714083652165,0.14669842741245875,0.06965779767451079,0.17250152549128023,-0.031588028834776266,0.19767965583468827,0.08247506686601118,0.026973026973026972,0.14683000668849222,0.08091908091908091,False
morphology_harmonized,Spiral,u_minus_r,Control4C,51,659,-0.15937298095275776,-0.2164481296520102,0.057075148699252454,-0.014131227093510557,0.0902126968276272,-0.11950711908530462,0.12789069250782964,0.7193838124209251,0.47352647352647353,0.030200243982266617,1.0,False
morphology_harmonized,Spiral,u_minus_r,RG4,51,69,-0.15937298095275776,-0.2667757591691273,0.10740277821636957,-0.007695999772912465,0.1799496841258412,-0.11757743885773024,0.2384168590091815,0.3668023386421104,0.33666333666333664,0.09690252912759312,1.0,False
morphology_harmonized,Spiral,u_minus_g,Ordinary pooled,51,1285,-0.1704083017884943,-0.2113185081322413,0.04091020634374698,-0.010291954700335856,0.086862828038336,-0.07969857310385003,0.12442440078238004,0.6410056073668027,0.3226773226773227,0.038467994201571765,0.4345654345654346,False
morphology_harmonized,Spiral,u_minus_g,Control4B,51,557,-0.1704083017884943,-0.22581438684833222,0.055406085059837906,0.0004755761747962509,0.09934082267856592,-0.062431046241825605,0.13914277916866583,0.387311480133847,0.1958041958041958,0.07311578132150531,0.1958041958041958,False
