panel,sample,scope,value_column,statistic,bin_left,bin_right,bin_centre,mass_location,n_galaxies,n_groups,estimate,ci16,ci84,displayed,interval_method
agn_like,Control4C,all,agn_like,fraction,11.0,12.5,11.75,11.15274,497,449,0.607645875251509,0.5863232239302035,0.6289784946236558,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4C,all,Dn4000,median,7.0,9.5,8.25,9.3587015,156,135,1.2135755000000001,1.207022,1.223678,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4C,all,Dn4000,median,9.5,10.0,9.75,9.802809,530,399,1.3908545,1.3830185,1.39685226,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4C,all,Dn4000,median,10.0,10.5,10.25,10.24072,769,524,1.683482,1.67126942,1.700264,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4C,all,Dn4000,median,10.5,11.0,10.75,10.74474,658,465,1.86041,1.852223,1.868102,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4C,all,Dn4000,median,11.0,12.5,11.75,11.151695,534,484,1.93574,1.932044,1.93918,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4C,all,log_Rchl_r_kpc,median,7.0,9.5,8.25,9.36334,139,123,0.48271543615055496,0.47052638799015606,0.5120234610450273,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4C,all,log_Rchl_r_kpc,median,9.5,10.0,9.75,9.80212,501,381,0.40875181134299265,0.38966012343187156,0.4176267182062166,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4C,all,log_Rchl_r_kpc,median,10.0,10.5,10.25,10.24305,727,504,0.42045666359821066,0.40936748587453686,0.4301322125095802,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4C,all,log_Rchl_r_kpc,median,10.5,11.0,10.75,10.715005000000001,492,354,0.5951139156479213,0.5863349862695225,0.6034509173998164,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4C,all,log_Rchl_r_kpc,median,11.0,12.5,11.75,11.09604,171,162,0.7523206230897114,0.7395908287692524,0.7570197689095535,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
