sample,outcome,group_quantity,n_groups,spearman_rho,ci95_low,ci95_high,p_value,p_holm,p_holm_significant
CG4,colour_scatter,Voffset,39,-0.23522267206477734,-0.5486650740432488,0.11199797160243406,0.14944717538489669,1.0,False
Control4B,mean_delta_u_minus_r,t_cr,524,-0.14329434872631053,-0.2201084904551868,-0.05297115574855969,0.0010043183381458006,0.007030228367020604,True
Control4B,mean_delta_u_minus_r,Vdisp,524,0.09578303179167247,0.005836930767834228,0.1787489177407508,0.0283520469292535,0.170112281575521,False
Control4B,mean_delta_u_minus_r,Lum_group,524,0.016836429374195928,-0.07047971979737003,0.1001227387527419,0.7006002261389881,1.0,False
Control4B,mean_delta_u_minus_r,M_virial,524,0.025583799529182157,-0.06211838385441531,0.113011534731613,0.5589935958060914,1.0,False
Control4B,mean_delta_u_minus_r,M_virial_over_L,524,0.02491356176408648,-0.06345501819026934,0.10722393399354874,0.5693399318859675,1.0,False
Control4B,mean_delta_u_minus_r,Offset_Bary,524,-0.0512650153985375,-0.13895032745848082,0.037968366050703244,0.2414067907331295,0.965627162932518,False
Control4B,mean_delta_u_minus_r,Voffset,524,0.06876350890654744,-0.01272020832741316,0.1562041012580399,0.11591091299251405,0.5795545649625702,False
Control4B,median_delta_u_minus_r,t_cr,524,-0.13069886632568167,-0.2091299685121301,-0.038783753231364355,0.0027215333673018378,0.019050733571112866,True
Control4B,median_delta_u_minus_r,Vdisp,524,0.09554491222729367,0.007681463438962427,0.18263067108425915,0.0287494581947096,0.1724967491682576,False
Control4B,median_delta_u_minus_r,Lum_group,524,0.030030088137600573,-0.06006364253222632,0.11113252758012217,0.4927552291094558,1.0,False
Control4B,median_delta_u_minus_r,M_virial,524,0.03047429997643825,-0.05909995713581065,0.11702491434618299,0.486375996344396,1.0,False
Control4B,median_delta_u_minus_r,M_virial_over_L,524,0.02491981709414897,-0.06495579393473107,0.10731707785312537,0.5692429495820034,1.0,False
Control4B,median_delta_u_minus_r,Offset_Bary,524,-0.061768298404265294,-0.1483156804370512,0.02733961495164158,0.15797564979911735,0.6319025991964694,False
Control4B,median_delta_u_minus_r,Voffset,524,0.07435402248999667,-0.008134997969367093,0.15850358818102667,0.08906869225102322,0.4453434612551161,False
Control4B,satellite_blue_fraction,t_cr,524,0.14479523021621843,0.05789084199965144,0.22824745998330145,0.0008869402167177866,0.006208581517024506,True
Control4B,satellite_blue_fraction,Vdisp,524,-0.10235177254409093,-0.18863145161500441,-0.018990340186744517,0.019103693093741037,0.11462215856244623,False
Control4B,satellite_blue_fraction,Lum_group,524,-0.050096010641357866,-0.13193196494407508,0.03821030903271958,0.2523208665753774,0.8770376152471784,False
Control4B,satellite_blue_fraction,M_virial,524,-0.05375682992185373,-0.14336972293637346,0.030769338558491146,0.2192594038117946,0.8770376152471784,False
Control4B,satellite_blue_fraction,M_virial_over_L,524,-0.04713822719965805,-0.13321969833562836,0.04258308019026435,0.28145111463936096,0.8770376152471784,False
Control4B,satellite_blue_fraction,Offset_Bary,524,0.042787044250806594,-0.04506923074813008,0.129527049324821,0.3282974770364553,0.8770376152471784,False
Control4B,satellite_blue_fraction,Voffset,524,-0.07121651939260934,-0.1509949208409427,0.011830948788143014,0.10344103109421385,0.5172051554710693,False
Control4B,colour_scatter,t_cr,250,-0.04130254884078145,-0.17059213051448208,0.0791497972829731,0.5156564970027188,1.0,False
Control4B,colour_scatter,Vdisp,250,0.005079249267988288,-0.11308145246824347,0.1257110936881891,0.9363104106325566,1.0,False
Control4B,colour_scatter,Lum_group,250,0.0022314597033552533,-0.1164395221293667,0.1209915760762508,0.9719954564700606,1.0,False
Control4B,colour_scatter,M_virial,250,-0.10387558200931216,-0.22514122196485525,0.020496612023249358,0.10129204247335351,0.7090442973134745,False
Control4B,colour_scatter,M_virial_over_L,250,-0.10074823597177554,-0.21689360288108975,0.021415595380763267,0.11205320188882714,0.7090442973134745,False
Control4B,colour_scatter,Offset_Bary,250,-0.023837181394902315,-0.14355477816227769,0.09731881996374114,0.7076133236964538,1.0,False
