control,subset,environment,adjusted,n,groups,slope_per_dex,se
Control4C,Spiral,log_core_size,mass only,1028,572,-0.06006583441136602,0.017609072943982704
Control4C,Spiral,log_core_size,+z,1028,572,-0.05883057365733869,0.017373822168925846
Control4C,Spiral,log_core_size,+SF,1026,572,-0.053860883262067824,0.017424009882227857
Control4C,Spiral,log_core_size,+z+SF,1026,572,-0.05307321871008957,0.017200262828403295
Control4C,Spiral,log_group_Vdisp,mass only,1028,572,0.006619712829495358,0.016971992511920754
Control4C,Spiral,log_group_Vdisp,+z,1028,572,0.004901926929575034,0.016411199388851633
Control4C,Spiral,log_group_Vdisp,+SF,1026,572,0.002917308308715012,0.016798408103194936
Control4C,Spiral,log_group_Vdisp,+z+SF,1026,572,0.0015710519369074116,0.01629555588458054
Control4B,all,log_parent_N,mass only,1976,695,0.043198769048187126,0.013201175351899994
Control4B,all,log_parent_N,+z,1976,695,0.02024224015675567,0.013810100428008294
Control4B,all,log_parent_N,+SF,1957,693,0.03667380899342095,0.011782898843613769
Control4B,all,log_parent_N,+z+SF,1957,693,0.0166020155137623,0.012533753616297312
Control4B,all,log_core_size,mass only,1976,695,-0.02262980581693068,0.014916118338705733
Control4B,all,log_core_size,+z,1976,695,-0.02230469811135509,0.014203281472797518
Control4B,all,log_core_size,+SF,1957,693,-0.00011177499940978104,0.013992278017803459
Control4B,all,log_core_size,+z+SF,1957,693,-0.00017307183118280285,0.013373139312966565
Control4B,all,log_group_Vdisp,mass only,1976,695,0.010275219912166553,0.013516338376395886
Control4B,all,log_group_Vdisp,+z,1976,695,0.006373842691431571,0.013112089238221878
Control4B,all,log_group_Vdisp,+SF,1957,693,0.002989660579443375,0.012813152277177085
Control4B,all,log_group_Vdisp,+z+SF,1957,693,-9.399484692665902e-05,0.01247525906630844
Control4B,Quenched,log_parent_N,mass only,1050,575,0.030527691803926508,0.013957166141671548
Control4B,Quenched,log_parent_N,+z,1050,575,0.016386475869571555,0.015205516073161672
Control4B,Quenched,log_core_size,mass only,1050,575,-0.02499293953908089,0.01596880030549548
Control4B,Quenched,log_core_size,+z,1050,575,-0.023590237478757024,0.015371825145229716
Control4B,Quenched,log_group_Vdisp,mass only,1050,575,0.0033848032470157725,0.013127150926706932
Control4B,Quenched,log_group_Vdisp,+z,1050,575,0.0005783100460637633,0.012673310758842572
Control4B,Starforming,log_parent_N,mass only,907,526,0.057185766062461556,0.02206101699386411
Control4B,Starforming,log_parent_N,+z,907,526,0.024273094287051267,0.023519233839807894
Control4B,Starforming,log_core_size,mass only,907,526,0.040325036322830736,0.02558031151307409
Control4B,Starforming,log_core_size,+z,907,526,0.036792964906535774,0.024697841969177223
Control4B,Starforming,log_group_Vdisp,mass only,907,526,0.0031488572822592122,0.02365800615954679
Control4B,Starforming,log_group_Vdisp,+z,907,526,-2.309793055161686e-05,0.02313077090466254
Control4B,Elliptical,log_parent_N,mass only,698,465,0.020099554877625856,0.023532965990130363
Control4B,Elliptical,log_parent_N,+z,698,465,0.00045397726322740433,0.025745643670650846
