product,role,control,covariate,n_CG4,n_control,additive_CG4,additive_cov,interaction_CG4_at_reference,interaction_cov,interaction_CG4_x_cov,add_CG4_beta,add_CG4_ci95_lo,add_CG4_ci95_hi,int_CG4_ref_beta,int_CG4_ref_ci95_lo,int_CG4_ref_ci95_hi,int_CG4xcov_beta,int_CG4xcov_se,int_CG4xcov_ci95_lo,int_CG4xcov_ci95_hi
FIREFLY ELODIE mass-weighted,Satellite,Control4C,Spiral,156,1732,"+0.026 [+0.000, +0.052]","-0.114 [-0.131, -0.098]","-0.012 [-0.042, +0.019]","-0.121 [-0.139, -0.104]","+0.085 [+0.034, +0.134]",0.02621793963077888,8.157492796888274e-05,0.05216703236700787,-0.0119917142601969,-0.0420335498263605,0.018728288434430827,0.08511258573844266,0.025886073549553978,0.03447330485496874,0.13392815100686786
FIREFLY ELODIE mass-weighted,BGG,RG4,SF,56,53,"+0.015 [-0.029, +0.050]","-0.170 [-0.216, -0.119]","+0.032 [-0.015, +0.067]","-0.133 [-0.183, -0.079]","-0.076 [-0.166, +0.016]",0.015097593127202718,-0.028766581496088406,0.04973118331702552,0.031658629890461906,-0.014763352416372935,0.06653347966534867,-0.07631322101965304,0.04600294687843272,-0.16561738840141382,0.01557030578965894
FIREFLY ELODIE mass-weighted,BGG,RG4,Spiral,53,47,"-0.011 [-0.050, +0.029]","-0.074 [-0.120, -0.031]","-0.007 [-0.052, +0.037]","-0.070 [-0.119, -0.025]","-0.008 [-0.092, +0.079]",-0.010771476704640027,-0.05006682030637324,0.029489297552295547,-0.006970839709752816,-0.052228579638335076,0.03674099931987192,-0.008329029696734899,0.04386658271971162,-0.09234204665713572,0.07945954071308829
FIREFLY ELODIE mass-weighted,BGG,Control4C,SF,56,638,"-0.017 [-0.042, +0.008]","-0.143 [-0.168, -0.116]","-0.004 [-0.028, +0.019]","-0.137 [-0.165, -0.110]","-0.068 [-0.146, +0.010]",-0.01708556506710759,-0.042078329548751243,0.007671040894110417,-0.00397773565277703,-0.0284646694105972,0.019314784886978104,-0.06779073700549049,0.03893969441437165,-0.1459277780442851,0.009592571718863026
FIREFLY ELODIE mass-weighted,BGG,Control4C,Spiral,53,598,"-0.015 [-0.044, +0.013]","-0.091 [-0.108, -0.075]","-0.016 [-0.045, +0.010]","-0.091 [-0.107, -0.074]","+0.004 [-0.072, +0.077]",-0.0152090914555832,-0.043788188551598425,0.01335128117165279,-0.016372740482053578,-0.04491770573199479,0.010094999700798614,0.0036236364558209443,0.03752866974585388,-0.07238260903619603,0.07715854501852243
Gallazzi optical light-weighted,Satellite,RG4,SF,63,43,"+0.009 [-0.072, +0.083]","-0.173 [-0.271, -0.077]","-0.028 [-0.080, +0.029]","-0.235 [-0.377, -0.086]","+0.111 [-0.091, +0.306]",0.009280344156893798,-0.0719043175772095,0.08348626498160122,-0.028486730859691556,-0.08034200496148723,0.02868773387291145,0.11098219184695958,0.10081255143735449,-0.09119783855700085,0.30573285786909954
Gallazzi optical light-weighted,Satellite,RG4,Spiral,52,38,"+0.017 [-0.060, +0.094]","-0.103 [-0.196, -0.032]","-0.014 [-0.098, +0.072]","-0.143 [-0.288, -0.038]","+0.082 [-0.068, +0.260]",0.016687536827431695,-0.059880956158654096,0.09377933015334278,-0.014017533054232503,-0.09760795255793653,0.07213909639322867,0.08180765347226748,0.08503725992139724,-0.06834326384429969,0.2604001377004427
Gallazzi optical light-weighted,Satellite,Control4C,SF,63,549,"-0.000 [-0.063, +0.056]","-0.252 [-0.305, -0.202]","-0.029 [-0.078, +0.020]","-0.262 [-0.317, -0.212]","+0.103 [-0.052, +0.245]",-0.00034077751010769025,-0.06320035311572583,0.05614537323883523,-0.02868938031846613,-0.0777143436725496,0.020107229520270848,0.10327823191299684,0.07216630088218343,-0.05244438011060412,0.24530888876846513
Gallazzi optical light-weighted,Satellite,Control4C,Spiral,52,483,"+0.009 [-0.043, +0.058]","-0.108 [-0.148, -0.066]","-0.001 [-0.065, +0.060]","-0.110 [-0.156, -0.066]","+0.039 [-0.063, +0.165]",0.008775591668252161,-0.04323046987047348,0.05790167829547558,-0.0008421130228541761,-0.0654646486931585,0.05953886776641424,0.039000153364061096,0.054265047041279796,-0.06291881020795312,0.16498825209187196
Gallazzi optical light-weighted,BGG,RG4,SF,27,30,"-0.052 [-0.132, +0.034]","-0.116 [-0.276, +0.036]","+0.022 [-0.046, +0.096]","+0.038 [-0.096, +0.164]","-0.329 [-0.643, -0.049]",-0.0523191807184484,-0.132059140265218,0.0344761444104888,0.02198978517835382,-0.04601862094325115,0.09639479302928813,-0.3286016195391335,0.13740763706378706,-0.6427041019601384,-0.04914343019590487
Gallazzi optical light-weighted,BGG,RG4,Spiral,24,26,"-0.068 [-0.180, +0.035]","-0.069 [-0.179, +0.042]","+0.011 [-0.065, +0.089]","+0.008 [-0.097, +0.105]","-0.178 [-0.459, +0.061]",-0.06827673563578475,-0.17959824822620826,0.03487078281927217,0.011298000826208344,-0.0645623340241922,0.08865984832854314,-0.17837847743177718,0.12959732394624723,-0.4589944111950489,0.06086435421531782
Gallazzi optical light-weighted,BGG,Control4C,SF,27,280,"-0.066 [-0.138, -0.002]","-0.065 [-0.127, -0.006]","-0.009 [-0.050, +0.035]","-0.039 [-0.096, +0.017]","-0.258 [-0.532, -0.010]",-0.0659503463263065,-0.13807974300094383,-0.0017833188459992274,-0.009344102777627506,-0.04964431023688814,0.034735452841899474,-0.2581664314167973,0.12077267106849796,-0.5318317169332303,-0.010294218273659719
Gallazzi optical light-weighted,BGG,Control4C,Spiral,24,253,"-0.065 [-0.151, +0.006]","-0.035 [-0.075, +0.002]","-0.017 [-0.064, +0.032]","-0.023 [-0.059, +0.011]","-0.145 [-0.376, +0.062]",-0.06524982552092286,-0.15128036033388836,0.006291986639572943,-0.01693955783706513,-0.06388274228638677,0.031643254599060845,-0.1452092891351013,0.10990646280811243,-0.37578913429997135,0.061750819036150977
