role,comparison,n_CG4,n_control,groups_control,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi,beta_fixed_SF,beta_fixed_SF_ci95_lo,beta_fixed_SF_ci95_hi,control_median_core_size_kpc,control_median_group_Vdisp,control_median_parent_N,control_median_z,control_median_lgm,control_frac_quenched,control_frac_elliptical
Satellite,C4C parent N=13-24,176,402,144,-0.0038554152995571174,0.012817099958626767,-0.015525384180615835,0.009595531677138464,-0.027438451456573986,0.02173364019065562,-0.0038785369341986856,-0.026586973909866352,0.021499850358421013,273.2143304237489,190.8630495289839,17.0,0.0330973155,10.258945,0.6169154228855721,0.42039800995024873
Satellite,C4C parent N>=25,176,192,71,-0.027438046994924043,0.014211146006805897,-0.04124347839194714,-0.01277190434077848,-0.055928326088219245,0.0004539584913208453,-0.023271582789376827,-0.051109666965519045,0.004651136232434869,173.04225243685002,339.3524413567161,40.0,0.0327674145,10.448995,0.8020833333333334,0.5260416666666666
BGG,RG4,57,53,53,0.016469141966033118,0.0239090657880674,-0.008724269990441555,0.03799009047081353,-0.033324096274267474,0.061311613639066745,0.028068936378884683,-0.013036462893822792,0.06374655829041641,458.8814823011243,96.07832369023582,4.0,0.040260102,10.97582,0.7169811320754716,0.39622641509433965
BGG,Control4B,57,644,644,-0.01497780927376691,0.014734244490026817,-0.02898444233557843,-0.0004932788820592504,-0.045077451831474664,0.013117376189812267,-0.008669224679651885,-0.031147087224434985,0.012215908302856125,480.30882585362065,138.13139501690245,9.0,0.035086073499999995,11.099635,0.8198757763975155,0.6226708074534162
BGG,Control4B\RG4,57,591,591,-0.017781113374554958,0.014753265004334753,-0.03241857938372381,-0.0027059607823048423,-0.047223286122983814,0.00977397211926362,-0.01142348185734954,-0.03454557805850585,0.011866186476175822,486.08214532714993,142.4736930876091,9.0,0.034754744,11.10931,0.8291032148900169,0.6429780033840947
BGG,Control4C,57,648,648,-0.01510206759214127,0.014727742217763124,-0.028958078889946882,8.436432918171334e-05,-0.044402703206994215,0.01424132637811523,-0.00873585028869851,-0.03203180285514477,0.012480686026301238,323.52371483776136,148.6288219054687,9.0,0.035086073499999995,11.100169999999999,0.8209876543209876,0.6234567901234568
BGG,Control4C\RG4,57,595,595,-0.017896353418757522,0.014748028395928096,-0.03233539920128595,-0.0032666516634897065,-0.046140956140441,0.00939251954243625,-0.011474862023296757,-0.03509402767171761,0.011219552058820933,312.12041963775073,153.62852103041874,9.0,0.034754744,11.10951,0.8302521008403362,0.6436974789915967
BGG,C4C loose cores (size>CG4 p90),57,472,472,-0.012868654264607572,0.014771638954152896,-0.0268270196226079,0.0022099826306473573,-0.04260577592503058,0.01648632891044317,-0.0073593460731938365,-0.029833791142827193,0.015019943775791678,397.35969725989673,134.55908183311232,8.0,0.035386786,11.09243,0.8114406779661016,0.5889830508474576
BGG,C4C compact cores (size<=CG4 p90),57,176,176,-0.02370077685211402,0.016161638147873372,-0.038501677976356646,-0.007097812763126474,-0.05578326480580838,0.007698339007437227,-0.012763513870366155,-0.03725823022314819,0.011231699282185438,155.69084441851385,195.23409811605416,14.0,0.0347215695,11.1188,0.8465909090909091,0.7159090909090909
BGG,C4C parent N=4 (=RG4),57,53,53,0.016469141966033118,0.023909065788067403,-0.008486751642643977,0.03821819920501406,-0.03146557648481745,0.06243053173463968,0.028068936378884638,-0.012503755238956091,0.0657333872924445,458.8814823011243,96.07832369023582,4.0,0.040260102,10.97582,0.7169811320754716,0.39622641509433965
BGG,C4C parent N=5-7,57,216,216,-0.0036648715538277424,0.0158464180544366,-0.01965909077909376,0.012390070428388024,-0.03560851599120343,0.02616080641020623,0.0010386990763813445,-0.02221921878187322,0.025281584622697407,368.7410683826132,123.89844141256796,6.0,0.036973052,11.05232,0.7638888888888888,0.5694444444444444
BGG,C4C parent N=8-12,57,182,182,-0.030678307177743332,0.015724405587850876,-0.045639384403891176,-0.015286748464419875,-0.06201965371915727,-0.0001515614445393374,-0.024000728312214996,-0.05024336141066753,0.0015043647195643543,311.27971615950844,147.87160648446584,10.0,0.033866752,11.083075000000001,0.8186813186813187,0.6043956043956044
BGG,C4C parent N=13-24,57,133,133,-0.020560186642601726,0.01613152810398417,-0.036340754887621174,-0.00521561983357675,-0.05097816840397438,0.010219195249844982,-0.010721022212021555,-0.03439356738598088,0.013687009267118574,274.9341836822705,187.7736447288231,17.0,0.032767929,11.20775,0.8796992481203008,0.706766917293233
BGG,C4C parent N>=25,57,64,64,-0.06381144966315638,0.017248399622003138,-0.07663587045944652,-0.036082670857561186,-0.09567468481717854,-0.013907784431659204,-0.03261510680961374,-0.05666082376071648,0.002101321289056937,176.83173493001664,333.5586457183974,40.0,0.0331972505,11.336885,0.984375,0.875
