product,role,control,subset,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi
FIREFLY ELODIE light-weighted,Satellite,RG4,SF=Starforming,72,103,47.0,52.0,1.0,10.2,0.018109154991301075,0.017624257320792064,0.0007167673942939106,0.03530085618877687,-0.014158608822087169,0.05208921292495538,2000.0,0.018109154991301075,0.017624257320792064,0.0007167673942939106,0.03530085618877687,-0.014158608822087169,0.05208921292495538
FIREFLY ELODIE light-weighted,Satellite,RG4,morph=Elliptical,88,39,52.0,31.0,1.0,10.2,0.014413763253811272,0.020237195761363982,-0.005016162980547613,0.034704361367867614,-0.023685658637969623,0.056290001529429756,2000.0,0.014413763253811272,0.020237195761363982,-0.005016162980547613,0.034704361367867614,-0.023685658637969623,0.056290001529429756
FIREFLY ELODIE light-weighted,Satellite,RG4,morph=Spiral,68,103,46.0,53.0,1.0,10.2,0.006521321791429713,0.017350842660583222,-0.011020582533210217,0.023042336627190057,-0.027332566829328327,0.04140472464130842,2000.0,0.006521321791429713,0.017350842660583222,-0.011020582533210217,0.023042336627190057,-0.027332566829328327,0.04140472464130842
FIREFLY ELODIE light-weighted,Satellite,RG4,morph=Uncertain,6,13,6.0,13.0,1.0,10.2,0.009595945703269772,0.09233899733731497,-0.08969244091428268,0.09045897630567855,-0.16605859195703718,0.18152333440438084,2000.0,0.009595945703269772,0.09233899733731497,-0.08969244091428268,0.09045897630567855,-0.16605859195703718,0.18152333440438084
FIREFLY ELODIE light-weighted,Satellite,RG4,Quenched&Elliptical,74,31,48.0,25.0,1.0,10.2,0.01706186687561797,0.020935500368158656,-0.0033575478718664334,0.03585881313103626,-0.022361105406081435,0.057076403456760134,2000.0,0.01706186687561797,0.020935500368158656,-0.0033575478718664334,0.03585881313103626,-0.022361105406081435,0.057076403456760134
FIREFLY ELODIE light-weighted,Satellite,RG4,Quenched&Spiral,20,24,16.0,22.0,1.0,10.2,-0.042950244565401925,0.024967920666160496,-0.06665870118013188,-0.019392843134653736,-0.09136542916554084,0.001941038780794694,2000.0,-0.042950244565401925,0.024967920666160496,-0.06665870118013188,-0.019392843134653736,-0.09136542916554084,0.001941038780794694
FIREFLY ELODIE light-weighted,Satellite,RG4,Starforming&Elliptical,11,8,11.0,8.0,1.0,10.2,-0.022710169450046967,0.03682871147285631,-0.060291613778552654,0.011923071432499785,-0.09324968988247713,0.051049092487093314,2000.0,-0.022710169450046967,0.03682871147285631,-0.060291613778552654,0.011923071432499785,-0.09324968988247713,0.051049092487093314
FIREFLY ELODIE light-weighted,Satellite,RG4,Starforming&Spiral,48,79,37.0,49.0,1.0,10.2,0.02293487028410221,0.021139699349771824,0.0008857613814473098,0.042035059549910186,-0.01850071289492562,0.06183147851389003,2000.0,0.02293487028410221,0.021139699349771824,0.0008857613814473098,0.042035059549910186,-0.01850071289492562,0.06183147851389003
FIREFLY ELODIE light-weighted,Satellite,Control4C,all,176,1978,62.0,699.0,1.0,10.2,0.002717752028432786,0.009205469137326693,-0.006461342701669677,0.01212216170694873,-0.015247521254821664,0.020572021178040644,2000.0,0.002717752028432786,0.009205469137326693,-0.006461342701669677,0.01212216170694873,-0.015247521254821664,0.020572021178040644
FIREFLY ELODIE light-weighted,Satellite,Control4C,SF=Quenched,101,1013,57.0,576.0,1.0,10.2,-0.01708825345730346,0.0097489235504101,-0.02638126439627851,-0.007795798276407018,-0.03618045125366857,0.0013688667190405015,2000.0,-0.01708825345730346,0.0097489235504101,-0.02638126439627851,-0.007795798276407018,-0.03618045125366857,0.0013688667190405015
FIREFLY ELODIE light-weighted,Satellite,Control4C,SF=Starforming,72,948,47.0,539.0,1.0,10.2,0.012869094431932527,0.013768699992653373,-0.001650345285606455,0.026270922263247027,-0.015253590412869123,0.03965362026693445,2000.0,0.012869094431932527,0.013768699992653373,-0.001650345285606455,0.026270922263247027,-0.015253590412869123,0.03965362026693445
FIREFLY ELODIE light-weighted,Satellite,Control4C,morph=Elliptical,88,704,52.0,467.0,1.0,10.2,-0.007560530929785232,0.012769413528275887,-0.019938741701869534,0.004747337553361469,-0.03390798864855048,0.015788254789653153,2000.0,-0.007560530929785232,0.012769413528275887,-0.019938741701869534,0.004747337553361469,-0.03390798864855048,0.015788254789653153
FIREFLY ELODIE light-weighted,Satellite,Control4C,morph=Spiral,68,1028,46.0,572.0,1.0,10.2,0.009552256000703271,0.014129567748681373,-0.005848696032209316,0.023140594635889793,-0.01909002288779688,0.03591979108449644,2000.0,0.009552256000703271,0.014129567748681373,-0.005848696032209316,0.023140594635889793,-0.01909002288779688,0.03591979108449644
FIREFLY ELODIE light-weighted,Satellite,Control4C,morph=Uncertain,6,125,6.0,114.0,1.0,10.2,-0.02251496747405166,0.059419054890624955,-0.08289394957388325,0.03942833253331709,-0.14462504958226433,0.08756334152009129,2000.0,-0.02251496747405166,0.059419054890624955,-0.08289394957388325,0.03942833253331709,-0.14462504958226433,0.08756334152009129
FIREFLY ELODIE light-weighted,Satellite,Control4C,Quenched&Elliptical,74,589,48.0,415.0,1.0,10.2,-0.014679431108691667,0.01205707578477261,-0.026843678726783705,-0.002490845555574668,-0.039601652230376795,0.008201322628958318,2000.0,-0.014679431108691667,0.01205707578477261,-0.026843678726783705,-0.002490845555574668,-0.039601652230376795,0.008201322628958318
FIREFLY ELODIE light-weighted,Satellite,Control4C,Quenched&Spiral,20,287,16.0,244.0,1.0,10.2,-0.036408641218439376,0.01656606862758799,-0.05300174904075965,-0.01915958882022545,-0.07089941418021616,-0.003637896180440048,2000.0,-0.036408641218439376,0.01656606862758799,-0.05300174904075965,-0.01915958882022545,-0.07089941418021616,-0.003637896180440048
FIREFLY ELODIE light-weighted,Satellite,Control4C,Starforming&Elliptical,11,109,11.0,102.0,1.0,10.2,-0.018675783303690296,0.03010770816376886,-0.04862840868859938,0.010156283397498718,-0.0762370744518016,0.03914849056636971,2000.0,-0.018675783303690296,0.03010770816376886,-0.04862840868859938,0.010156283397498718,-0.0762370744518016,0.03914849056636971
FIREFLY ELODIE light-weighted,Satellite,Control4C,Starforming&Spiral,48,739,37.0,469.0,1.0,10.2,0.02572996695399402,0.018091005225075407,0.007746985580958838,0.044728919277247356,-0.0077550470874861175,0.06183172875845016,2000.0,0.02572996695399402,0.018091005225075407,0.007746985580958838,0.044728919277247356,-0.0077550470874861175,0.06183172875845016
FIREFLY ELODIE light-weighted,BGG,RG4,all,57,53,57.0,53.0,1.0,11.1,0.01417740773996883,0.019689697382478718,-0.009298342781980424,0.031223981165474087,-0.028917437636485518,0.05065357806801298,2000.0,0.01417740773996883,0.019689697382478718,-0.009298342781980424,0.031223981165474087,-0.028917437636485518,0.05065357806801298
FIREFLY ELODIE light-weighted,BGG,RG4,SF=Quenched,45,38,45.0,38.0,1.0,11.1,0.019707540978976822,0.01647502771715926,0.003707886082951502,0.035395090611958044,-0.0109514171138231,0.051493472112246155,2000.0,0.019707540978976822,0.01647502771715926,0.003707886082951502,0.035395090611958044,-0.0109514171138231,0.051493472112246155
FIREFLY ELODIE light-weighted,BGG,RG4,SF=Starforming,11,15,11.0,15.0,1.0,11.1,-0.016361670036694677,0.04044566092999483,-0.06551259883303587,0.014474947326279401,-0.10413998184910572,0.05524062672514063,2000.0,-0.016361670036694677,0.04044566092999483,-0.06551259883303587,0.014474947326279401,-0.10413998184910572,0.05524062672514063
FIREFLY ELODIE light-weighted,BGG,RG4,morph=Elliptical,36,21,36.0,21.0,1.0,11.1,0.015109349888917151,0.01871207548090358,-0.003427714019823684,0.034428347382597715,-0.019870404383777827,0.051751993949350567,2000.0,0.015109349888917151,0.01871207548090358,-0.003427714019823684,0.034428347382597715,-0.019870404383777827,0.051751993949350567
FIREFLY ELODIE light-weighted,BGG,RG4,morph=Spiral,17,26,17.0,26.0,1.0,11.1,-0.01638100321432593,0.02652866623447349,-0.042014276088969155,0.010621722635193983,-0.06770625318164372,0.036626012963004634,2000.0,-0.01638100321432593,0.02652866623447349,-0.042014276088969155,0.010621722635193983,-0.06770625318164372,0.036626012963004634
FIREFLY ELODIE light-weighted,BGG,RG4,morph=Uncertain,1,2,,,,,,,,,,,,,,,,,
