age_product,role,control,subset,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi,estimate,x_SF_beta,x_SF_se,x_SF_ci68_lo,x_SF_ci68_hi,x_SF_ci95_lo,x_SF_ci95_hi,D4000n_beta,D4000n_se,D4000n_ci68_lo,D4000n_ci68_hi,D4000n_ci95_lo,D4000n_ci95_hi,sSFR_beta,sSFR_se,sSFR_ci68_lo,sSFR_ci68_hi,sSFR_ci95_lo,sSFR_ci95_hi
FIREFLY MILES mass-weighted age,Satellite,Control4C,all +sSFR,173,1961,61,698,1,10.2,0.033015907986055804,0.01511883304857615,0.017543305289798326,0.04920019992122703,0.002221430763748648,0.06262980894736522,2000,0.033015907986055804,0.01511883304857615,0.017543305289798326,0.04920019992122703,0.002221430763748648,0.06262980894736522,"+0.033 [+0.002, +0.063]",,,,,,,,,,,,,-0.030420238583996298,0.005664515358736748,-0.035927400646581405,-0.024810720625393703,-0.042331048760435946,-0.01960471299008672
FIREFLY MILES mass-weighted age,Satellite,RG4,all,176,166,62,56,1,10.2,0.03755585948489363,0.020737900241813805,0.017500746829203332,0.05746157221372219,-0.004273261391917332,0.07730121396793761,2000,0.03755585948489363,0.020737900241813805,0.017500746829203332,0.05746157221372219,-0.004273261391917332,0.07730121396793761,"+0.038 [-0.004, +0.077]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,RG4,SF=Quenched,101,63,57,37,1,10.2,0.0591642738410864,0.02625399131611028,0.032962509717960026,0.08614523530805891,0.007336888387638085,0.11025139601901747,2000,0.0591642738410864,0.02625399131611028,0.032962509717960026,0.08614523530805891,0.007336888387638085,0.11025139601901747,"+0.059 [+0.007, +0.110]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,RG4,SF=Starforming,72,103,47,52,1,10.2,0.013355477804253746,0.033185757929903394,-0.020537891283225983,0.047346738086371846,-0.05512913912849043,0.08100281632285002,2000,0.013355477804253746,0.033185757929903394,-0.020537891283225983,0.047346738086371846,-0.05512913912849043,0.08100281632285002,"+0.013 [-0.055, +0.081]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,RG4,morph=Elliptical,88,39,52,31,1,10.2,0.08133139659686515,0.031067981469918484,0.050037171079253824,0.11007277258990139,0.022808340032787706,0.13874362309703234,2000,0.08133139659686515,0.031067981469918484,0.050037171079253824,0.11007277258990139,0.022808340032787706,0.13874362309703234,"+0.081 [+0.023, +0.139]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,RG4,morph=Spiral,68,103,46,53,1,10.2,0.0007052193259851795,0.029744362250272372,-0.02966202902710506,0.03005846175612018,-0.05896467615565043,0.05882041418507819,2000,0.0007052193259851795,0.029744362250272372,-0.02966202902710506,0.03005846175612018,-0.05896467615565043,0.05882041418507819,"+0.001 [-0.059, +0.059]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,RG4,all +SF state,173,166,61,56,1,10.2,0.03503744080798429,0.02135856974012952,0.013194707775806268,0.05630475278500613,-0.008416273133800532,0.07754350437494802,2000,0.03503744080798429,0.02135856974012952,0.013194707775806268,0.05630475278500613,-0.008416273133800532,0.07754350437494802,"+0.035 [-0.008, +0.078]",-0.025876838006306715,0.02620845604514706,-0.05261140864542112,7.688537340843593e-05,-0.07981748204371074,0.026682159397552908,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,RG4,all +D4000n,176,166,62,56,1,10.2,0.03331921207417952,0.020918911919409654,0.012695189788534454,0.05426807775555407,-0.009392781184617305,0.07243024638024413,2000,0.03331921207417952,0.020918911919409654,0.012695189788534454,0.05426807775555407,-0.009392781184617305,0.07243024638024413,"+0.033 [-0.009, +0.072]",,,,,,,0.07574669657292818,0.05222475116265277,0.02389700882901736,0.12957758389712123,-0.020716703895897318,0.18948193429991628,,,,,,
FIREFLY MILES mass-weighted age,Satellite,RG4,all +sSFR,173,166,61,56,1,10.2,0.03377183558479685,0.02114748568943481,0.012431417873028837,0.054955155892543815,-0.006238320749086832,0.07266449712799017,2000,0.03377183558479685,0.02114748568943481,0.012431417873028837,0.054955155892543815,-0.006238320749086832,0.07266449712799017,"+0.034 [-0.006, +0.073]",,,,,,,,,,,,,-0.020748308413773692,0.01714940951694581,-0.0379662755375187,-0.004577057718240233,-0.05358598481086454,0.012272681067746354
FIREFLY MILES mass-weighted age,BGG,Control4C,all,57,648,57,648,1,11.1,0.010967683419726652,0.018951517223752528,-0.007915862002869757,0.029131141347985164,-0.027705183757330307,0.045216277050575286,2000,0.010967683419726652,0.018951517223752528,-0.007915862002869757,0.029131141347985164,-0.027705183757330307,0.045216277050575286,"+0.011 [-0.028, +0.045]",,,,,,,,,,,,,,,,,,
