objid,sample,group_uid,role,lgm,ff_miles_lw_logz,resid_deg1,resid_deg2,sf_state,morphology4,control
1237661970110152760,Control4C,Lim:5070,BGG,10.73777,0.005382592656735859,-0.13276337993141318,-0.11854969503206036,NosSFR,Elliptical,Control4C
1237661068724207645,Control4C,Lim:5074,BGG,11.11837,0.25779277210434204,0.07483032053341487,0.07644645143355533,Quenched,Elliptical,Control4C
1237661959373455366,Control4C,Lim:5098,BGG,11.07513,0.21243398995807833,0.03456314256795873,0.038282766673712554,Quenched,Elliptical,Control4C
1237651272424685655,Control4C,Lim:5101,BGG,10.89995,0.07385466443403327,-0.08338835639748671,-0.07291016154645585,Starforming,Spiral,Control4C
1237667446737862740,Control4C,Lim:5117,BGG,10.92722,0.05135398835050857,-0.10910013437764919,-0.09948814573870253,Starforming,Elliptical,Control4C
1237659325489152123,Control4C,Lim:5118,BGG,11.13378,0.3003078152646575,0.11553080262929372,0.1163556315611235,Quenched,Elliptical,Control4C
1237657878077702182,Control4C,Lim:5143,BGG,10.93388,0.0383308008134032,-0.12290755142086415,-0.11351752582945585,Starforming,Spiral,Control4C
1237662266461585585,Control4C,Lim:5146,BGG,11.05469,0.210659559924703,0.03519556705483548,0.039849547347773184,Quenched,NoGZ,Control4C
1237661949178740758,Control4C,Lim:5151,BGG,10.96177,0.12656094167438622,-0.03796151880693746,-0.029545414040206247,Starforming,Spiral,Control4C
1237662698115104812,Control4C,Lim:5153,BGG,11.0019,0.12003830018504674,-0.04920955520321038,-0.042320592552649555,Quenched,Elliptical,Control4C
1237659324943237142,Control4C,Lim:5161,BGG,11.07908,0.210659559924703,0.03232359143111005,0.035858212581098864,Quenched,Elliptical,Control4C
1237664289928773726,Control4C,Lim:5169,BGG,10.49437,-0.00036000557862243517,-0.10984509801856301,-0.09457475623323258,Starforming,Spiral,Control4C
1237664292076519438,Control4C,Lim:5170,BGG,11.14498,0.18878060169439917,0.0026847646643765877,0.0029207394653966434,Quenched,Elliptical,Control4C
1237661069243449478,Control4C,Lim:5174,BGG,10.84422,0.1393198083248698,-0.011360883621441997,0.0006743457644345918,Quenched,Spiral,Control4C
1237661357547388937,Control4C,Lim:5191,BGG,10.99419,0.12003830018504674,-0.048301685910101616,-0.041107800484563195,Quenched,Elliptical,Control4C
1237659133287923957,Control4C,Lim:5195,BGG,10.88784,0.09292160846959709,-0.06289543348519815,-0.052054553997750844,Starforming,Spiral,Control4C
1237648722284314869,Control4C,Lim:5200,BGG,10.95607,-0.00036000557862243517,-0.1642112786448074,-0.15559030030878326,Starforming,Spiral,Control4C
1237662195072761905,Control4C,Lim:5206,BGG,11.05218,0.0714113894018661,-0.10375704550098407,-0.09899098251934475,Starforming,Spiral,Control4C
1237663787427889321,Control4C,Lim:5208,BGG,11.14244,0.16966679416987027,-0.016129952327792213,-0.015759420085587977,Quenched,Elliptical,Control4C
1237650797288226901,Control4C,Lim:5210,BGG,10.96947,0.234865136540417,0.06943598428776543,0.07757057481989849,Quenched,Elliptical,Control4C
1237654604253233185,Control4C,Lim:5217,BGG,11.00259,0.2365435592168414,0.06721445482569899,0.07407586155040047,Quenched,Elliptical,Control4C
1237667736107679789,Control4C,Lim:5222,BGG,10.95979,0.21946008747208545,0.055170776303388874,0.06365838713293431,Quenched,Elliptical,Control4C
1237648705131053137,Control4C,Lim:5232,BGG,10.88253,0.24319337424724807,0.08800159635813495,0.09899724301252275,Quenched,Elliptical,Control4C
1237654874824245265,Control4C,Lim:5238,BGG,10.94281,0.0409668678813979,-0.12132301130325353,-0.11223701893015094,Starforming,Spiral,Control4C
1237659153685479679,Control4C,Lim:5249,BGG,11.05393,0.09986115685840526,-0.07551334435611028,-0.07082536538034796,Quenched,Elliptical,Control4C
1237660561894801791,Control4C,Lim:5253,BGG,11.04457,0.10669156061825541,-0.06758078020929542,-0.06247844607178496,Quenched,Elliptical,Control4C
1237664296366047350,Control4C,Lim:5260,BGG,10.97644,0.3003078152646575,0.13405793033068697,0.1419329833027074,Quenched,Elliptical,Control4C
1237654600497365149,Control4C,Lim:5261,BGG,10.98458,0.09986115685840526,-0.06734723080525463,-0.05978095038083596,Quenched,NoGZ,Control4C
1237662193992007793,Control4C,Lim:5265,BGG,11.15481,0.17741355266189243,-0.00983978827879925,-0.010130165351833365,Quenched,Elliptical,Control4C
1237667912199176251,Control4C,Lim:5285,BGG,10.67563,0.10442667462051756,-0.02640217762083745,-0.011399633470443538,Starforming,Spiral,Control4C
