role,control,adjusted_for,n_CG4,n_control,beta,se,ci95_lo,ci95_hi,estimate
BGG,RG4,D4000n,57,53,0.015178970103052166,0.01947183636138155,-0.022477659796550923,0.052688102006177344,"+0.015 [-0.022, +0.053]"
BGG,RG4,log_sigma,57,53,-0.011153332269904557,0.018098889749224335,-0.04584772634687903,0.025219632765195142,"-0.011 [-0.046, +0.025]"
BGG,RG4,fibre_light_fraction,57,53,0.02637023604834182,0.023546556489058953,-0.02268933281512524,0.06883671718426182,"+0.026 [-0.023, +0.069]"
BGG,RG4,ff_miles_lw_logage,57,53,0.012207741154088717,0.02310016699138579,-0.037431788937046434,0.054376915683994505,"+0.012 [-0.037, +0.054]"
BGG,RG4,sSFR+D4000n+log_sigma,56,53,0.0003865454247091255,0.015823280847856076,-0.02830985776885079,0.03341808915142714,"+0.000 [-0.028, +0.033]"
BGG,Control4C,none,57,648,-0.01510206759214127,0.014727742217763124,-0.04438402832346005,0.014155543960023505,"-0.015 [-0.044, +0.014]"
BGG,Control4C,z,57,648,-0.011248805145484252,0.014241946841800789,-0.04061519044694254,0.016717039408517518,"-0.011 [-0.041, +0.017]"
BGG,Control4C,logSN,57,648,-0.004953696006770134,0.014521042987033831,-0.03482472925244978,0.02253413776392941,"-0.005 [-0.035, +0.023]"
BGG,Control4C,z+logSN,57,648,-0.004618622501766677,0.014370026911240506,-0.03404201367067572,0.021752716285537238,"-0.005 [-0.034, +0.022]"
BGG,Control4C,sSFR,56,638,-0.013354058530351667,0.010862054143830095,-0.03363400875400444,0.008169776427905636,"-0.013 [-0.034, +0.008]"
BGG,Control4C,D4000n,57,647,-0.012041024622966672,0.010780083501065732,-0.03197137584886534,0.007728184318069188,"-0.012 [-0.032, +0.008]"
BGG,Control4C,log_sigma,57,648,-0.012510164924153952,0.011974716385888144,-0.036451104448906,0.009708309839239383,"-0.013 [-0.036, +0.010]"
BGG,Control4C,fibre_light_fraction,57,648,-0.017456600818315526,0.014372487548409234,-0.045396454211067014,0.009494886635112436,"-0.017 [-0.045, +0.009]"
BGG,Control4C,ff_miles_lw_logage,57,648,-0.014301457138430097,0.014746414434175638,-0.04404154611091538,0.013906592380773337,"-0.014 [-0.044, +0.014]"
BGG,Control4C,sSFR+D4000n+log_sigma,56,637,-0.009825931463424375,0.009844454201147861,-0.029750004486146356,0.009159735382847553,"-0.010 [-0.030, +0.009]"
