role,control,covariate,n_CG4,n_control,median_CG4,median_control,mass_adjusted_diff,diff_se,diff_ci95_lo,diff_ci95_hi,smd
BGG,Control4C,logSN,57,648,1.6135461685466344,1.6264748954155566,-0.019330816374302034,0.01057456002112982,-0.042193507260047086,-0.00033898723142067197,-0.2409592896194652
BGG,Control4C,ff_miles_lw_logz_unc,57,648,0.03279149151139646,0.03965260168356126,0.002883117259792834,0.004777816190279601,-0.006286394809011007,0.012710164527487312,0.10679129762516247
BGG,Control4C,p_E,54,617,0.841499984264374,0.861999988555908,-0.0001279138619145912,0.05189705522439374,-0.11571767043695969,0.09838108637527583,-0.00032267932789095905
BGG,Control4C,frac_Quenched,57,648,1.0,1.0,-0.04416958792727509,0.05230814683411626,-0.15633461520445927,0.039742429272628256,-0.1145015443403314
BGG,Control4C,frac_Starforming,57,648,0.0,0.0,0.04012644671295795,0.051898538171812,-0.05683767466632254,0.13700522614775135,0.1077779696145859
BGG,Control4C,frac_Elliptical,57,648,1.0,1.0,-0.004597872712098238,0.06410241609571969,-0.12477086281865256,0.12118263314984049,-0.009486118748569484
BGG,Control4C,frac_Spiral,57,648,0.0,0.0,0.007108783200791735,0.06099655952682309,-0.10195864052414823,0.12805037440939482,0.015512130708584695
BGG,Control4C,frac_Uncertain,57,648,0.0,0.0,-0.011170214258332376,0.01861982905080517,-0.03793195639724059,0.022648572115540194,-0.06723294081079104
BGG,Control4C,frac_NoGZ,57,648,0.0,0.0,0.008659303769639267,0.031137663689518015,-0.04516563332264459,0.07794624296694186,0.040389004089502425
BGG,Control4B,sSFR,56,634,-12.36762,-12.288366,0.005803430176043959,0.09257246894659023,-0.14892902409564118,0.18777198757393207,0.00849442998030348
BGG,Control4B,D4000n,57,643,1.935942,1.92452,-0.009583740071974711,0.02677621613180564,-0.06380705444860747,0.03863373266407855,-0.052889089820492334
BGG,Control4B,HdA_sub,57,642,-1.917894,-1.8784779999999999,0.1521816781330274,0.24379313850581413,-0.3080681433750707,0.5616817375835338,0.09283911026608548
BGG,Control4B,log_sigma,57,644,2.3259796753735134,2.329078291433899,-0.004170612565387613,0.010862144313161091,-0.02630462651672276,0.017229282187286865,-0.038684045429419445
BGG,Control4B,ff_miles_lw_logage,57,644,9.856028017743844,9.865005669580746,0.008145888610116952,0.01905897991566955,-0.02963338767964026,0.04286717729195217,0.050076245533480696
BGG,Control4B,ff_miles_mw_logage,57,644,9.967430775774439,9.967430775774439,0.010631127759444085,0.018969983998263374,-0.025233382403055622,0.047135721115138245,0.06646071763472113
