sample,objid,specobjid,sfr,lgm,sSFR_status,specObjID,bestObjID,instrument,survey,programname,plate,mjd,fiberID,class,zWarning,snMedian_r,snMedian,run2d,sciencePrimary,extra_specObjID,sfr_tot_p50,lgm_tot_p50,specsfr_tot_p50,info_specObjID,info_sn_median,reliable,missing_type
CG4,1237661382235652124,1794706217059248128,1.272618,11.04974,Starforming,1.794706217059248e+18,1.237661382235652e+18,SDSS,sdss,legacy,1594.0,52992.0,79.0,GALAXY,0.0,49.34256,40.95822,26,1.0,1.794706217059248e+18,1.272618,11.04974,-9.824896,1.794706217059248e+18,40.95362,1.0,valid
CG4,1237661382235652235,1795881869984688128,-1.894711,10.28243,Quenched,1.795881869984688e+18,1.2376613822356524e+18,SDSS,sdss,legacy,1595.0,52999.0,260.0,GALAXY,0.0,27.16875,21.25,26,1.0,1.795881869984688e+18,-1.894711,10.28243,-12.20421,1.795881869984688e+18,21.30324,1.0,valid
CG4,1237661382235652234,2189975706069395456,-1.842468,10.09958,Quenched,2.1899757060693955e+18,1.2376613822356524e+18,SDSS,sdss,legacy,1945.0,53387.0,365.0,GALAXY,0.0,28.35258,21.36539,26,1.0,2.1899757060693955e+18,-1.842468,10.09958,-11.98351,2.1899757060693955e+18,21.41493,1.0,valid
CG4,1237661382235652236,1794704292913899520,-1.900081,10.02217,Quenched,1.7947042929138995e+18,1.2376613822356524e+18,SDSS,sdss,legacy,1594.0,52992.0,72.0,GALAXY,0.0,33.00365,25.75221,26,1.0,1.7947042929138995e+18,-1.900081,10.02217,-11.97692,1.7947042929138995e+18,25.81571,1.0,valid
CG4,1237661381699174422,2190022710191482880,-0.9813917,11.46481,Quenched,2.190022710191483e+18,1.2376613816991744e+18,SDSS,sdss,legacy,1945.0,53387.0,536.0,GALAXY,0.0,50.00437,44.90572,26,1.0,2.190022710191483e+18,-0.9813917,11.46481,-12.52466,2.190022710191483e+18,44.87536,1.0,valid
CG4,1237661381699108952,2190019686534506496,-1.309099,10.8073,Quenched,2.1900196865345065e+18,1.2376613816991089e+18,SDSS,sdss,legacy,1945.0,53387.0,525.0,GALAXY,0.0,43.04976,35.46287,26,1.0,2.1900196865345065e+18,-1.309099,10.8073,-12.15595,2.1900196865345065e+18,35.43573,1.0,valid
CG4,1237661381699108923,6528215156123168768,,,NosSFR,6.528215156123169e+18,1.2376613816991089e+18,BOSS,boss,boss,5798.0,56326.0,900.0,GALAXY,0.0,53.79727,50.09978,v5_7_0,1.0,,,,,,,,no-galSpecExtra
CG4,1237661381699108924,2190021060924041216,-0.0159587,10.21994,Starforming,2.1900210609240412e+18,1.2376613816991089e+18,SDSS,sdss,legacy,1945.0,53387.0,530.0,GALAXY,0.0,38.63391,31.60806,26,1.0,2.1900210609240412e+18,-0.0159587,10.21994,-10.28615,2.1900210609240412e+18,31.60806,1.0,valid
CG4,1237664336632741928,2194381449933645824,-1.578316,11.06783,Quenched,2.1943814499336458e+18,1.237664336632742e+18,SDSS,sdss,legacy,1949.0,53433.0,9.0,GALAXY,0.0,51.92187,46.75454,26,1.0,2.1943814499336458e+18,-1.578316,11.06783,-12.71404,2.1943814499336458e+18,46.8638,1.0,valid
CG4,1237664336632741895,2194379800666204160,-1.76305,10.20023,Quenched,2.1943798006662042e+18,1.237664336632742e+18,SDSS,sdss,legacy,1949.0,53433.0,3.0,GALAXY,0.0,44.6512,36.23624,26,1.0,2.1943798006662042e+18,-1.76305,10.20023,-12.00323,2.1943798006662042e+18,36.26867,1.0,valid
CG4,1237665099004051581,2198971909721319424,-0.3950654,9.80046,Starforming,2.1989719097213194e+18,1.2376650990040515e+18,SDSS,sdss,legacy,1953.0,53358.0,325.0,GALAXY,0.0,24.41712,18.94137,26,1.0,2.1989719097213194e+18,-0.3950654,9.80046,-10.24903,2.1989719097213194e+18,18.99038,1.0,valid
CG4,1237664869753487485,2194379525788297216,-0.2812656,9.497967,Starforming,2.1943795257882972e+18,1.2376648697534874e+18,SDSS,sdss,legacy,1949.0,53433.0,2.0,GALAXY,0.0,14.97797,10.90299,26,1.0,2.1943795257882972e+18,-0.2812656,9.497967,-9.81846,2.1943795257882972e+18,10.95169,1.0,valid
