Group,Class,lMass_200,Lum_group,Vdisp,host,n_members_in_PC,n_distinct_hosts,N_host,L_host,f_L_cg_over_host,N_host_PCgroups,class_rederived_ZS21,class_stored
106,Embedded,13.076886053019717,82019641326.37619,36.747987982423375,3099.0,4,1,8.0,88268956811.7799,0.9292014348971017,8.0,Predominant,Embedded
112,Predom,13.88169304667518,148469269357.46234,419.9583578978288,240.0,4,1,32.0,540133809314.69495,0.2748749787498686,32.0,Embedded,Predominant
116,Split,13.325030909742,103009372911.5601,408.55503242486543,1132.0,4,2,14.0,231638364765.6006,0.4446991024815657,14.0,Split,Split
117,Embedded,13.134806937099691,87958563130.61821,364.7625356723772,3080.0,4,1,8.0,100955930578.80075,0.8712570190412192,8.0,Predominant,Embedded
121,Embedded,12.882454078183256,90346388359.00742,73.46766637566752,4018.0,4,1,7.0,100678125298.95018,0.8973785327322688,7.0,Predominant,Embedded
128,Embedded,12.806418860713324,122528236297.14688,187.3350918577178,5335.0,4,1,6.0,147353134917.24142,0.8315278556235871,6.0,Predominant,Embedded
131,Predom,13.857143695571017,151909250845.1165,418.0133653258581,126.0,4,1,45.0,469827605856.25507,0.32332976809283853,45.0,Embedded,Predominant
142,Embedded,12.93754898705778,74340006977.12505,83.267087994249,3999.0,4,1,7.0,96266528973.70111,0.7722310939187791,7.0,Predominant,Embedded
147,Isolated,13.205836637572428,117755732038.35728,65.7534465679738,9952.0,4,1,4.0,117755732038.35728,1.0,4.0,Isolated,Isolated
154,Embedded,13.358770264798062,100115295691.8797,316.2831303017852,879.0,4,1,16.0,166660184965.7337,0.6007151360864263,16.0,Predominant,Embedded
158,Isolated,12.828027320936844,75352720553.75392,32.42121263589201,10996.0,4,1,4.0,75352720553.75394,0.9999999999999998,4.0,Isolated,Isolated
165,Predom,14.041282098256174,162461413860.08884,108.01374748964204,36.0,4,1,84.0,948469474852.216,0.17128797306355323,84.0,Embedded,Predominant
167,Predom,14.041279864235898,122430069141.35928,231.0623728544869,36.0,4,1,84.0,948469474852.216,0.12908171784910158,84.0,Embedded,Predominant
173,Embedded,14.25185222416202,211266207343.07584,135.88160481824826,1824.0,4,1,10.0,298779669412.291,0.7070969981278951,10.0,Predominant,Embedded
175,Isolated,12.75987368447744,72085311810.50452,65.28324227714526,11175.0,4,1,4.0,72085311810.50452,1.0,4.0,Isolated,Isolated
188,Embedded,13.09553957485666,73869400151.22598,229.806244541614,800.0,4,1,17.0,135422055269.05194,0.5454754028394029,17.0,Predominant,Embedded
197,Embedded,12.758988367611904,67655954157.43732,96.70629629831222,5360.0,4,1,6.0,72938712159.3833,0.9275726449570116,6.0,Predominant,Embedded
204,Predom,13.439445872547372,94219098293.45493,230.8925162180898,1117.0,4,1,14.0,260078720452.01648,0.36227146200082133,14.0,Embedded,Predominant
206,Embedded,13.0725552551545,98038136058.1271,340.09815527961393,1741.0,4,1,11.0,190373783817.52924,0.5149770839880735,11.0,Predominant,Embedded
207,Predom,13.69850976457416,137533797072.98215,87.17908109078253,406.0,4,1,24.0,287721241279.2004,0.4780105787862962,24.0,Embedded,Predominant
214,Isolated,12.899004167941657,95922460386.17969,104.38035055154089,10818.0,4,1,4.0,95922460386.1797,0.9999999999999999,4.0,Isolated,Isolated
221,Split,14.508632080327,143580013678.699,438.3497368768582,1.0,3,1,538.0,4414497899807.858,0.032524653298611456,538.0,Split,Split
