specObjID,bestObjID,instrument,survey,programname,plate,mjd,fiberID,class,zWarning,snMedian_r,snMedian,run2d,sciencePrimary,extra_specObjID,sfr_tot_p50,lgm_tot_p50,specsfr_tot_p50,info_specObjID,info_sn_median,reliable
349101297397426176,1237648721250615590,SDSS,sdss,legacy,310,51990,263,GALAXY,0,8.456079,6.689394,26,1,349101297397426176,-0.3082105,9.160706,-9.531728,349101297397426176,6.834758,1
349149675909048320,1237648704595558617,SDSS,sdss,legacy,310,51990,439,GALAXY,0,13.84864,10.13129,26,1,349149675909048320,-0.3736108,10.20134,-10.62857,349149675909048320,10.18874,1
354754980701300736,1237648705135837483,SDSS,sdss,legacy,315,51663,351,GALAXY,0,18.32045,12.83193,26,1,354754980701300736,-0.36374,10.25935,-10.67848,354754980701300736,12.91379,1
354755255579207680,1237648705135771804,SDSS,sdss,legacy,315,51663,352,GALAXY,0,54.05775,45.29614,26,1,354755255579207680,-0.96501,11.19496,-12.20051,354755255579207680,45.36784,1
367192393302173696,1237650371552280661,SDSS,sdss,legacy,326,52375,542,GALAXY,0,44.88611,37.41557,26,1,367192393302173696,-1.230665,11.0334,-12.29157,367192393302173696,37.38591,1
367193217935894528,1237650371552346120,SDSS,sdss,legacy,326,52375,545,GALAXY,0,34.53682,26.46888,26,1,367193217935894528,1.125739,10.90268,-9.827151,367193217935894528,26.45372,1
367193767691708416,1237650371552215263,SDSS,sdss,legacy,326,52375,547,GALAXY,0,42.89639,34.60486,26,1,367193767691708416,-0.9398491,11.22216,-12.23884,367193767691708416,34.5682,1
367195691837057024,1237650371552280809,SDSS,sdss,legacy,326,52375,554,GALAXY,0,12.71412,9.404063,26,1,367195691837057024,-0.4517542,9.466909,-9.964117,367195691837057024,9.47266,1
367196241592870912,1237650371552346155,SDSS,sdss,legacy,326,52375,556,GALAXY,0,46.58943,39.44474,26,1,367196241592870912,-1.280555,11.15656,-12.48838,367196241592870912,39.43212,1
385088582836054016,1237648704600670569,SDSS,sdss,legacy,342,51691,112,GALAXY,0,41.98645,32.44102,26,1,385088582836054016,-1.396872,9.965176,-11.4127,385088582836054016,32.43047,1
385206505458132992,1237648704600670761,SDSS,sdss,legacy,342,51691,541,GALAXY,0,55.46399,43.44035,26,1,385206505458132992,-1.487584,11.03549,-12.55833,385206505458132992,43.37262,1
385208979359295488,1237648721792729305,SDSS,sdss,legacy,342,51691,550,GALAXY,0,37.50433,27.85271,26,1,385208979359295488,-2.168247,9.901848,-12.11146,385208979359295488,27.91112,1
385209254237202432,1237648721792729473,SDSS,sdss,legacy,342,51691,551,GALAXY,0,48.25935,37.54071,26,1,385209254237202432,-1.435753,9.848671,-11.36031,385209254237202432,37.53835,1
385222723254642688,1237648704600735996,SDSS,sdss,legacy,342,51691,600,GALAXY,0,62.23599,50.66624,26,1,385222723254642688,-1.267909,11.11632,-12.42252,385222723254642688,50.59671,1
408841887286323200,1237648705135772257,SDSS,sdss,legacy,363,51989,510,GALAXY,0,44.79855,35.74987,26,1,408841887286323200,-1.61763,10.66006,-12.35404,408841887286323200,35.7519,1
408848759233996800,1237651818952982852,SDSS,sdss,legacy,363,51989,535,GALAXY,0,52.03182,43.65525,26,1,408848759233996800,-1.477195,10.72654,-12.26716,408848759233996800,43.63001,1
486543547625924608,1237673705041691045,SDSS,sdss,legacy,432,51884,563,GALAXY,0,27.37822,20.99335,26,1,486543547625924608,0.1802246,10.6603,-10.54053,486543547625924608,21.10287,1
486547121038714880,1237673705041756411,SDSS,sdss,legacy,432,51884,576,GALAXY,0,14.42513,11.89153,26,1,486547121038714880,-0.5613416,9.715945,-10.31757,486547121038714880,11.93491,1
486547670794528768,1237651495755579693,SDSS,sdss,legacy,432,51884,578,GALAXY,0,50.1257,40.51921,26,1,486547670794528768,-0.9934924,10.79237,-11.82921,486547670794528768,40.34024,1
486553992986388480,1237673705041756259,SDSS,sdss,legacy,432,51884,601,GALAXY,0,55.26296,45.64449,26,1,486553992986388480,-1.27049,11.09286,-12.436,486553992986388480,45.36683,1
487680442464495616,1237653589017362552,SDSS,sdss,legacy,433,51873,603,GALAXY,0,49.42326,39.98485,26,1,487680442464495616,-0.9665924,10.95201,-11.95895,487680442464495616,39.94245,1
488674126299424768,1237651272418132006,SDSS,sdss,legacy,434,51885,122,GALAXY,0,67.152,55.16096,26,1,488674126299424768,-1.500952,10.62678,-12.15432,488674126299424768,55.03759,1
488675500688959488,1237673705578758181,SDSS,sdss,legacy,434,51885,127,GALAXY,0,78.71964,68.9707,26,1,488675500688959488,-1.443886,11.09334,-12.60213,488675500688959488,68.94563,1
488676325322680320,1237673705578758555,SDSS,sdss,legacy,434,51885,130,GALAXY,0,28.16409,20.55957,26,1,488676325322680320,-0.7507102,9.857841,-10.66232,488676325322680320,20.60837,1
488729101880813568,1237651496830501214,SDSS,sdss,legacy,434,51885,322,GALAXY,0,48.6361,38.47575,26,1,488729101880813568,-1.494947,10.08997,-11.62549,488729101880813568,38.58429,1
488730201392441344,1237651496830238876,SDSS,sdss,legacy,434,51885,326,GALAXY,0,76.91186,66.20902,26,1,488730201392441344,-1.432092,11.27564,-12.80221,488730201392441344,66.30166,1
488732400415696896,1237651496830239120,SDSS,sdss,legacy,434,51885,334,GALAXY,0,72.45633,60.65195,26,1,488732400415696896,-1.579959,11.09221,-12.729,488732400415696896,60.78143,1
488732950171510784,1237651496830370024,SDSS,sdss,legacy,434,51885,336,GALAXY,0,45.90929,36.17031,26,1,488732950171510784,0.09478667,10.5614,-10.50806,488732950171510784,36.22731,1
488739822119184384,1237651496830501270,SDSS,sdss,legacy,434,51885,361,GALAXY,0,58.53445,47.20623,26,1,488739822119184384,0.2900581,10.56013,-10.32478,488739822119184384,47.28717,1
488743395531974656,1237651496830631972,SDSS,sdss,legacy,434,51885,374,GALAXY,0,59.87878,48.56486,26,1,488743395531974656,-1.245462,10.52201,-11.81895,488743395531974656,48.65091,1
488746968944764928,1237651496830173526,SDSS,sdss,legacy,434,51885,387,GALAXY,0,34.775,27.40063,26,1,488746968944764928,-0.5329866,9.769549,-10.3484,488746968944764928,27.46112,1
488751641869182976,1237651496830501001,SDSS,sdss,legacy,434,51885,404,GALAXY,0,79.54578,70.18336,26,1,488751641869182976,-1.004473,11.20775,-12.28716,488751641869182976,70.29643,1
489793703964076032,1237653589017493521,SDSS,sdss,legacy,435,51882,99,GALAXY,0,50.37978,45.08031,26,1,489793703964076032,0.7006474,10.92284,-10.27867,489793703964076032,45.02441,1
492032859293378560,1237673705043198070,SDSS,sdss,legacy,437,51876,53,GALAXY,0,56.46031,49.4732,26,1,492032859293378560,-1.257363,11.30896,-12.61101,492032859293378560,49.50091,1
492041105630586880,1237651190815719555,SDSS,sdss,legacy,437,51876,83,GALAXY,0,54.44019,48.22396,26,1,492041105630586880,-1.418669,10.98494,-12.47176,492041105630586880,48.20324,1
