plate,mjd,fiberid,z_log_abs_p2p5,z_log_abs_p16,z_log_abs_median,z_log_abs_p84,z_log_abs_p97p5,z_log_abs_mode,dr4_index,age_logyr_rband_p2p5,age_logyr_rband_p16,age_logyr_rband_median,age_logyr_rband_p84,age_logyr_rband_p97p5,age_logyr_rband_mode
303,51615,132,-1.6566,-1.6347,-1.6289,-1.5728,-1.5519,-1.6263,18316,9.8523,9.916,10.0301,10.0389,10.0421,10.0425
304,51609,310,-1.6537,-1.5618,-1.4495,-1.3711,-1.3192,-1.3759,522665,9.5404,9.6584,9.7753,9.8894,9.9437,9.8022
305,51613,426,-2.6177,-2.4404,-2.2411,-2.0111,-1.7543,-2.2273,19478,9.3809,9.5164,9.652,9.7732,9.8601,9.7068
305,51613,431,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19481,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
305,51613,438,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19485,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
305,51613,509,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19543,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
305,51613,581,-1.8374,-1.7619,-1.6825,-1.6069,-1.5281,-1.6201,19604,9.7167,9.8212,9.9168,9.9863,10.0269,9.9628
305,51613,595,-2.8993,-2.6869,-2.4485,-2.1696,-1.7591,-2.4151,19614,9.1289,9.2498,9.3948,9.5279,9.6494,9.4507
306,51637,325,-2.0917,-1.9717,-1.8082,-1.6349,-1.4376,-1.7703,19901,9.2161,9.3409,9.4682,9.6241,9.6999,9.4028
306,51637,592,-1.9735,-1.8677,-1.7654,-1.6319,-1.412,-1.764,20120,9.417,9.6399,9.7623,9.865,9.9542,9.7542
306,51637,595,-1.6344,-1.6313,-1.628,-1.5914,-1.57,-1.6263,20123,9.8829,9.9687,10.031,10.0388,10.0421,10.0426
306,51637,599,-2.409,-2.2766,-2.1558,-1.9854,-1.7658,-2.1584,20127,9.115,9.1714,9.2798,9.3778,9.4618,9.3069
306,51637,608,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,20135,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
307,51663,347,-2.335,-2.2199,-1.9863,-1.8699,-1.7402,-1.908,20412,9.6789,9.7806,9.8589,9.9743,10.0425,9.8504
307,51663,608,-1.6851,-1.6364,-1.6038,-1.5585,-1.5146,-1.6013,20597,9.8096,9.8958,9.9692,10.0172,10.0594,10.01
307,51663,610,-1.8488,-1.7761,-1.6885,-1.6215,-1.5428,-1.6639,20598,9.7733,9.8494,9.9126,9.9956,10.041,9.9302
307,51663,613,-2.8382,-2.6574,-2.4654,-2.2863,-2.0502,-2.4151,20600,9.1498,9.2489,9.372,9.4876,9.5913,9.4028
308,51662,22,-1.668,-1.6303,-1.5635,-1.4895,-1.353,-1.6263,20631,9.5515,9.7897,9.8339,9.9512,9.9758,9.8343
308,51662,32,-2.1558,-1.9771,-1.7826,-1.5541,-1.3503,-1.7578,20636,9.2178,9.383,9.5333,9.6783,9.7886,9.4504
