objid,in_CG4,CG4_group,CG4_rank_M,CG4_rank_dist,in_Control4B,Control4B_group,Control4B_rank_M,Control4B_rank_dist,in_Control4C,Control4C_group,Control4C_rank_M,Control4C_rank_dist,in_RG4,RG4_group,RG4_rank_M,RG4_rank_dist,in_PC,PC_group,PC_rank_M,PC_rank_dist,CG4_class,CG4_host_lim_group,lim_group,physical_group
1237667443511787630,False,,,,False,,,,False,,,,False,,,,True,1.0,500.0,233.0,,,1.0,Lim:1
1237667443511853161,False,,,,False,,,,False,,,,False,,,,True,1.0,167.0,201.0,,,1.0,Lim:1
1237667444048265289,False,,,,False,,,,False,,,,False,,,,True,1.0,136.0,408.0,,,1.0,Lim:1
1237667444048265310,False,,,,False,,,,False,,,,False,,,,True,1.0,139.0,439.0,,,1.0,Lim:1
1237667444048330789,False,,,,False,,,,False,,,,False,,,,True,1.0,82.0,388.0,,,1.0,Lim:1
1237667444048330974,False,,,,False,,,,False,,,,False,,,,True,1.0,153.0,394.0,,,1.0,Lim:1
1237667444048461861,False,,,,False,,,,False,,,,False,,,,True,1.0,79.0,244.0,,,1.0,Lim:1
1237667444048461862,False,,,,False,,,,False,,,,False,,,,True,1.0,160.0,241.0,,,1.0,Lim:1
1237667444048527567,False,,,,False,,,,False,,,,False,,,,True,1.0,395.0,200.0,,,1.0,Lim:1
1237667444048592910,False,,,,False,,,,False,,,,False,,,,True,1.0,48.0,162.0,,,1.0,Lim:1
1237667444048658450,False,,,,False,,,,False,,,,False,,,,True,1.0,520.0,69.0,,,1.0,Lim:1
1237667444048658530,False,,,,False,,,,False,,,,False,,,,True,1.0,169.0,29.0,,,1.0,Lim:1
1237667444048658536,False,,,,False,,,,False,,,,False,,,,True,1.0,407.0,62.0,,,1.0,Lim:1
1237667444048724352,False,,,,False,,,,False,,,,False,,,,True,1.0,413.0,30.0,,,1.0,Lim:1
1237667444048724379,False,,,,False,,,,False,,,,False,,,,True,1.0,441.0,85.0,,,1.0,Lim:1
1237667444048855252,False,,,,False,,,,False,,,,False,,,,True,1.0,92.0,186.0,,,1.0,Lim:1
1237665532792471842,False,,,,False,,,,False,,,,False,,,,True,30.0,17.0,77.0,,,30.0,Lim:30
1237665532792734073,False,,,,False,,,,False,,,,False,,,,True,202.0,28.0,20.0,,,202.0,Lim:202
1237665532797059503,False,,,,False,,,,False,,,,False,,,,True,243.0,32.0,6.0,,,243.0,Lim:243
1237665533324427386,False,,,,False,,,,False,,,,False,,,,True,2857.0,8.0,7.0,,,2857.0,Lim:2857
1237665533333995922,False,,,,False,,,,False,,,,False,,,,True,61.0,20.0,54.0,,,61.0,Lim:61
1237665533334061480,False,,,,False,,,,False,,,,False,,,,True,61.0,37.0,59.0,,,61.0,Lim:61
1237665534928748681,False,,,,False,,,,False,,,,False,,,,True,6.0,124.0,100.0,,,6.0,Lim:6
1237667550878302443,False,,,,False,,,,False,,,,False,,,,True,3059.0,8.0,6.0,,,3059.0,Lim:3059
1237668624622092508,False,,,,False,,,,False,,,,False,,,,True,1659.0,10.0,6.0,,,1659.0,Lim:1659
1237667253472264431,False,,,,False,,,,False,,,,False,,,,True,27.0,79.0,77.0,,,27.0,Lim:27
1237667253472395521,False,,,,False,,,,False,,,,False,,,,True,27.0,86.0,85.0,,,27.0,Lim:27
1237667254008741902,False,,,,False,,,,False,,,,False,,,,True,788.0,7.0,11.0,,,788.0,Lim:788
1237667254009004168,False,,,,False,,,,False,,,,False,,,,True,27.0,60.0,78.0,,,27.0,Lim:27
1237667254009069741,False,,,,False,,,,False,,,,False,,,,True,27.0,74.0,49.0,,,27.0,Lim:27
1237667254009266376,False,,,,False,,,,False,,,,False,,,,True,27.0,78.0,29.0,,,27.0,Lim:27
1237667254526542429,False,,,,False,,,,False,,,,False,,,,True,4013.0,5.0,6.0,,,4013.0,Lim:4013
1237667254526607782,False,,,,False,,,,False,,,,False,,,,True,4013.0,6.0,5.0,,,4013.0,Lim:4013
1237665534931632204,False,,,,False,,,,False,,,,False,,,,True,51.0,35.0,69.0,,,51.0,Lim:51
1237665534931829126,False,,,,False,,,,False,,,,False,,,,True,51.0,43.0,27.0,,,51.0,Lim:51
1237665534931894706,False,,,,False,,,,False,,,,False,,,,True,51.0,33.0,7.0,,,51.0,Lim:51
1237665534931960293,False,,,,False,,,,False,,,,False,,,,True,51.0,70.0,41.0,,,51.0,Lim:51
1237665535465554361,False,,,,False,,,,False,,,,False,,,,True,6.0,116.0,22.0,,,6.0,Lim:6
1237665535465619926,False,,,,False,,,,False,,,,False,,,,True,6.0,89.0,15.0,,,6.0,Lim:6
1237665535465685149,False,,,,False,,,,False,,,,False,,,,True,6.0,14.0,39.0,,,6.0,Lim:6
1237665535465685173,False,,,,False,,,,False,,,,False,,,,True,6.0,101.0,36.0,,,6.0,Lim:6
1237665535468634522,False,,,,False,,,,False,,,,False,,,,True,721.0,6.0,11.0,,,721.0,Lim:721
1237665535468699895,False,,,,False,,,,False,,,,False,,,,True,721.0,8.0,10.0,,,721.0,Lim:721
1237665536002424980,False,,,,False,,,,False,,,,False,,,,True,6.0,147.0,79.0,,,6.0,Lim:6
1237667735577886962,False,,,,False,,,,False,,,,False,,,,True,859.0,5.0,9.0,,,859.0,Lim:859
1237667444585398354,False,,,,False,,,,False,,,,False,,,,True,1.0,231.0,231.0,,,1.0,Lim:1
1237667444585398452,False,,,,False,,,,False,,,,False,,,,True,1.0,475.0,249.0,,,1.0,Lim:1
1237667444585595001,False,,,,False,,,,False,,,,False,,,,True,1.0,47.0,181.0,,,1.0,Lim:1
1237667444585660575,False,,,,False,,,,False,,,,False,,,,True,1.0,99.0,167.0,,,1.0,Lim:1
1237667444585726083,False,,,,False,,,,False,,,,False,,,,True,1.0,344.0,205.0,,,1.0,Lim:1
1237667444585922609,False,,,,False,,,,False,,,,False,,,,True,1.0,6.0,371.0,,,1.0,Lim:1
1237667446192537784,False,,,,False,,,,False,,,,False,,,,True,640.0,15.0,8.0,,,640.0,Lim:640
1237665225702703306,False,,,,False,,,,False,,,,False,,,,True,482.0,9.0,20.0,,,482.0,Lim:482
1237665531186315486,False,,,,False,,,,False,,,,False,,,,True,3.0,165.0,159.0,,,3.0,Lim:3
1237665531186381005,False,,,,False,,,,False,,,,False,,,,True,3.0,136.0,143.0,,,3.0,Lim:3
1237667736133697716,False,,,,False,,,,False,,,,False,,,,True,479.0,11.0,20.0,,,479.0,Lim:479
1237667485919477982,False,,,,False,,,,False,,,,False,,,,True,71.0,8.0,32.0,,,71.0,Lim:71
1237667550342086952,False,,,,False,,,,False,,,,False,,,,True,844.0,12.0,7.0,,,844.0,Lim:844
1237667733966487662,False,,,,False,,,,False,,,,False,,,,True,3739.0,6.0,6.0,,,3739.0,Lim:3739
1237667914879926319,False,,,,False,,,,False,,,,False,,,,True,5.0,92.0,128.0,,,5.0,Lim:5
1237667914880188596,False,,,,False,,,,False,,,,False,,,,True,5.0,93.0,156.0,,,5.0,Lim:5
1237667915416535414,False,,,,False,,,,False,,,,False,,,,True,5.0,143.0,69.0,,,5.0,Lim:5
1237667915416600900,False,,,,False,,,,False,,,,False,,,,True,5.0,82.0,33.0,,,5.0,Lim:5
1237667915416666336,False,,,,False,,,,False,,,,False,,,,True,5.0,132.0,49.0,,,5.0,Lim:5
1237667915416731976,False,,,,False,,,,False,,,,False,,,,True,5.0,47.0,71.0,,,5.0,Lim:5
1237667915416797454,False,,,,False,,,,False,,,,False,,,,True,5.0,150.0,92.0,,,5.0,Lim:5
1237667915416862948,False,,,,False,,,,False,,,,False,,,,True,5.0,55.0,110.0,,,5.0,Lim:5
1237667915416993918,False,,,,False,,,,False,,,,False,,,,True,5.0,133.0,134.0,,,5.0,Lim:5
1237667915953406045,False,,,,False,,,,False,,,,False,,,,True,5.0,127.0,70.0,,,5.0,Lim:5
1237667915953471758,False,,,,False,,,,False,,,,False,,,,True,5.0,131.0,18.0,,,5.0,Lim:5
1237667915953537031,False,,,,False,,,,False,,,,False,,,,True,5.0,10.0,22.0,,,5.0,Lim:5
1237667915953537101,False,,,,False,,,,False,,,,False,,,,True,5.0,42.0,36.0,,,5.0,Lim:5
1237668331491754243,False,,,,False,,,,False,,,,False,,,,True,292.0,8.0,9.0,,,292.0,Lim:292
1237665548363497806,False,,,,False,,,,False,,,,False,,,,True,157.0,31.0,23.0,,,157.0,Lim:157
1237665548363956323,False,,,,False,,,,False,,,,False,,,,True,3.0,137.0,167.0,,,3.0,Lim:3
1237665549437632780,False,,,,False,,,,False,,,,False,,,,True,3.0,84.0,58.0,,,3.0,Lim:3
1237665549437698087,False,,,,False,,,,False,,,,False,,,,True,3.0,42.0,38.0,,,3.0,Lim:3
1237665549437698465,False,,,,False,,,,False,,,,False,,,,True,3.0,74.0,50.0,,,3.0,Lim:3
1237665549437763848,False,,,,False,,,,False,,,,False,,,,True,3.0,88.0,80.0,,,3.0,Lim:3
1237665549437763946,False,,,,False,,,,False,,,,False,,,,True,3.0,109.0,97.0,,,3.0,Lim:3
1237667781207523453,False,,,,False,,,,False,,,,False,,,,True,120.0,28.0,33.0,,,120.0,Lim:120
1237662528986742874,False,,,,False,,,,False,,,,False,,,,True,95.0,7.0,20.0,,,95.0,Lim:95
1237662529523744971,False,,,,False,,,,False,,,,False,,,,True,95.0,11.0,14.0,,,95.0,Lim:95
1237667210522722414,False,,,,False,,,,False,,,,False,,,,True,871.0,6.0,12.0,,,871.0,Lim:871
1237667210522853556,False,,,,False,,,,False,,,,False,,,,True,3623.0,5.0,7.0,,,3623.0,Lim:3623
1237667210523443238,False,,,,False,,,,False,,,,False,,,,True,3688.0,6.0,5.0,,,3688.0,Lim:3688
1237667211059527749,False,,,,False,,,,False,,,,False,,,,True,27.0,87.0,87.0,,,27.0,Lim:27
1237667211059658976,False,,,,False,,,,False,,,,False,,,,True,27.0,70.0,52.0,,,27.0,Lim:27
1237667211059659105,False,,,,False,,,,False,,,,False,,,,True,27.0,43.0,56.0,,,27.0,Lim:27
1237668270829535441,False,,,,False,,,,False,,,,False,,,,True,3939.0,7.0,6.0,,,3939.0,Lim:3939
1237665024909705477,False,,,,False,,,,False,,,,False,,,,True,442.0,23.0,12.0,,,442.0,Lim:442
1237665531723251798,False,,,,False,,,,False,,,,False,,,,True,3.0,5.0,57.0,,,3.0,Lim:3
1237665531723317673,False,,,,False,,,,False,,,,False,,,,True,3.0,68.0,28.0,,,3.0,Lim:3
1237665531723448684,False,,,,False,,,,False,,,,False,,,,True,3.0,47.0,48.0,,,3.0,Lim:3
1237665532260057372,False,,,,False,,,,False,,,,False,,,,True,481.0,9.0,18.0,,,481.0,Lim:481
1237665532260319553,False,,,,False,,,,False,,,,False,,,,True,3.0,145.0,119.0,,,3.0,Lim:3
1237665532260384943,False,,,,False,,,,False,,,,False,,,,True,3.0,38.0,161.0,,,3.0,Lim:3
1237665532792144105,False,,,,False,,,,False,,,,False,,,,True,30.0,45.0,22.0,,,30.0,Lim:30
1237665532792275177,False,,,,False,,,,False,,,,False,,,,True,30.0,20.0,32.0,,,30.0,Lim:30
1237665532792733942,False,,,,False,,,,False,,,,False,,,,True,202.0,35.0,5.0,,,202.0,Lim:202
1237662531137634392,False,,,,False,,,,False,,,,False,,,,True,1749.0,10.0,6.0,,,1749.0,Lim:1749
1237668586504847567,False,,,,False,,,,False,,,,False,,,,True,797.0,8.0,7.0,,,797.0,Lim:797
1237667915953668254,False,,,,False,,,,False,,,,False,,,,True,5.0,50.0,60.0,,,5.0,Lim:5
1237667915955372151,False,,,,False,,,,False,,,,False,,,,True,33.0,41.0,66.0,,,33.0,Lim:33
1237667915955568983,False,,,,False,,,,False,,,,False,,,,True,33.0,35.0,10.0,,,33.0,Lim:33
1237667915955634450,False,,,,False,,,,False,,,,False,,,,True,33.0,51.0,13.0,,,33.0,Lim:33
1237667915955634490,False,,,,False,,,,False,,,,False,,,,True,33.0,62.0,23.0,,,33.0,Lim:33
1237667915955699844,False,,,,False,,,,False,,,,False,,,,True,33.0,8.0,48.0,,,33.0,Lim:33
1237667915955699979,False,,,,False,,,,False,,,,False,,,,True,33.0,7.0,49.0,,,33.0,Lim:33
1237667915955765550,False,,,,False,,,,False,,,,False,,,,True,213.0,33.0,16.0,,,213.0,Lim:213
1237667916489949422,False,,,,False,,,,False,,,,False,,,,True,5.0,72.0,155.0,,,5.0,Lim:5
1237667916492243094,False,,,,False,,,,False,,,,False,,,,True,33.0,32.0,72.0,,,33.0,Lim:33
1237667916492701760,False,,,,False,,,,False,,,,False,,,,True,213.0,22.0,27.0,,,213.0,Lim:213
1237667916492701850,False,,,,False,,,,False,,,,False,,,,True,213.0,27.0,28.0,,,213.0,Lim:213
1237667916492702069,False,,,,False,,,,False,,,,False,,,,True,213.0,16.0,29.0,,,213.0,Lim:213
1237667211582636284,False,,,,False,,,,False,,,,False,,,,True,3868.0,7.0,6.0,,,3868.0,Lim:3868
1237667211596202138,False,,,,False,,,,False,,,,False,,,,True,788.0,14.0,6.0,,,788.0,Lim:788
1237667211596464333,False,,,,False,,,,False,,,,False,,,,True,27.0,69.0,58.0,,,27.0,Lim:27
1237667209974317258,False,,,,False,,,,False,,,,False,,,,True,78.0,45.0,54.0,,,78.0,Lim:78
1237667209985982558,False,,,,False,,,,False,,,,False,,,,True,126.0,25.0,14.0,,,126.0,Lim:126
1237665549437763976,False,,,,False,,,,False,,,,False,,,,True,3.0,167.0,118.0,,,3.0,Lim:3
1237665549969588461,False,,,,False,,,,False,,,,False,,,,True,30.0,48.0,7.0,,,30.0,Lim:30
1237665549969981466,False,,,,False,,,,False,,,,False,,,,True,30.0,57.0,91.0,,,30.0,Lim:30
1237665549974241374,False,,,,False,,,,False,,,,False,,,,True,481.0,13.0,5.0,,,481.0,Lim:481
1237665549974438337,False,,,,False,,,,False,,,,False,,,,True,3.0,150.0,151.0,,,3.0,Lim:3
1237664836462051537,False,,,,False,,,,False,,,,False,,,,True,106.0,19.0,39.0,,,106.0,Lim:106
1237664836462182453,False,,,,False,,,,False,,,,False,,,,True,106.0,6.0,12.0,,,106.0,Lim:106
1237664836462182532,False,,,,False,,,,False,,,,False,,,,True,106.0,20.0,22.0,,,106.0,Lim:106
1237664836462313701,False,,,,False,,,,False,,,,False,,,,True,106.0,31.0,10.0,,,106.0,Lim:106
1237664836462510497,False,,,,False,,,,False,,,,False,,,,True,106.0,38.0,41.0,,,106.0,Lim:106
1237664836999119398,False,,,,False,,,,False,,,,False,,,,True,106.0,49.0,43.0,,,106.0,Lim:106
1237665532255338798,False,,,,False,,,,False,,,,False,,,,True,30.0,35.0,46.0,,,30.0,Lim:30
1237665532255600814,False,,,,False,,,,False,,,,False,,,,True,30.0,75.0,86.0,,,30.0,Lim:30
1237671932283453449,False,,,,False,,,,False,,,,False,,,,True,2498.0,6.0,5.0,,,2498.0,Lim:2498
1237665534931763338,False,,,,False,,,,False,,,,False,,,,True,51.0,12.0,39.0,,,51.0,Lim:51
1237665535468634468,False,,,,False,,,,False,,,,False,,,,True,721.0,3.0,14.0,,,721.0,Lim:721
1237665535468831055,False,,,,False,,,,False,,,,False,,,,True,721.0,11.0,8.0,,,721.0,Lim:721
