Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,Misfit_Bary,Vmisfit,lMass_200,r_200_kpc
7220,42954552606.76589,71485261586.208,0.6008868353228958,0.0442633525,0.9806069999999991,4,157.706167701,22.350588329,157.63745474941484,22.384735193046858,6.176716740651767,0.7007302365971688,158.61495315061157,4.973799150320701e-13,133.96984209611156,1.183960141095179,363.43398864341924,-22.455541276825166,6356290139689.582,88.91749150311472,2.4062575791904246,FALSE,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.5,BMisfit,VMisfit,12.897234777132464,413.7425296951664
7224,39953901997.390305,88151238071.29904,0.45324266421617965,0.041996935,0.21659800000000118,4,135.718072642,40.325257908,135.7691406631394,40.40548372716019,8.977727097896043,0.5959002600414708,69.05633130448507,1.7763568394002505e-15,80.3091769832889,0.8598809488342113,500.37712342354854,-22.683071040702288,2479071075118.0366,28.122929743912373,5.5265727423535,TRUE,0.3333333333333333,0.25,0.3333333333333333,0.5,0.3333333333333333,0.25,BMisfit,VMisfit,12.89430429072815,413.11412073965306
7233,44336193105.075195,72718586439.10353,0.6096954750654222,0.0354430105,1.2675920000000005,4,214.628184942,29.170092861,214.63169689927025,29.286641177106944,12.613320259640744,0.5545975384995996,29.737255802833957,1.0018652574217413e-12,42.67559324345552,0.696821146297557,590.4820880780854,-22.474113570348315,2038104449188.209,28.02728365594636,12.273001318044527,TRUE,0.6666666666666666,0.5,0.3333333333333333,0.25,0.0,0.25,BMisfit,VMisfit,12.885544569469834,411.20851280838406
7240,48191184384.98999,71048277642.83282,0.6782878626171932,0.04157564725,1.7891339999999971,4,192.368619392,37.230286573,192.32924242331453,37.1805349470137,7.367333355965906,0.4789677797918528,-49.820434286512516,4.973799150320701e-13,125.80265952159908,0.39602051718119147,406.3783245475157,-22.448883885487007,12394783351190.738,174.4557892522127,2.865261952683595,TRUE,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,BMisfit,VCentered,12.880515772264822,408.820496545279
7241,46227712112.18103,108290350238.58997,0.4268867171482052,0.0346039345,0.24000699999999853,4,236.12157339,11.549507913,236.15674511485568,11.45259039986338,12.502771725187419,0.493634783211128,30.309029738289812,-5.027089855502709e-13,47.8437654643427,0.6335000902234422,571.1003799401747,-22.90647439583732,1958597808000.467,18.086540524480714,10.587921583732193,TRUE,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,BMisfit,VMisfit,12.879637252769628,409.4579705450783
7256,41602209817.202065,91101240452.98837,0.45665909278886657,0.04366600475,0.565728,4,206.168841495,31.211478661,206.17611820868942,31.22539418601162,4.704081485657034,0.19443054257653855,-67.3909408932013,-5.009326287108706e-13,100.75600400459837,0.6688528545666139,272.93228775433215,-22.71881072613777,5433532039627.751,59.64278875468941,2.4027445473824462,TRUE,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,BCentered,VMisfit,12.869617456450388,405.1426178874205
7264,39999779751.161804,55241176649.74384,0.7240935508086663,0.02582687275,1.933453,4,140.219666057,35.368292357,140.25964578153062,35.352131017809455,12.419001955228726,0.1758125957206597,-23.17200853101292,0.0,123.35397728724857,0.18784970732685305,420.6651958924034,-22.17565730144319,4645542288324.04,84.09564332380276,3.0248722980992464,TRUE,1.0,0.75,0.0,0.0,0.0,0.25,BCentered,VCentered,12.86103252074408,404.7799204655346
7269,43888546689.25765,93481595399.94243,0.46948863572010324,0.04242242625,0.5257190000000023,4,130.739133081,37.54711776,130.805260153767,37.597450488576676,6.996994338690154,0.6231178272889303,-4.970238625725828,-3.552713678800501e-15,175.1027061560864,0.028384704810303488,394.0523919923386,-22.746815289132492,17407105009258.064,186.20889956771944,1.9961111930825244,TRUE,0.6666666666666666,0.5,0.0,0.25,0.3333333333333333,0.25,BMisfit,VCentered,12.859779483091382,402.2558472803627
7271,42211034899.33881,69885303620.9602,0.6040044574790794,0.0325293495,1.2882780000000018,4,162.291916276,29.815895111,162.2759963788749,29.831979248768295,2.627252084116974,0.48416417910916465,-55.58894259312944,5.044853423896711e-13,45.19538440940591,1.229969460809829,112.64154956629719,-22.43096464081711,188634463259.07962,2.6992007401468,2.210691551160079,FALSE,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,BMisfit,VMisfit,12.858956518020497,403.2765643089711
7274,43849273265.87601,82553130603.63176,0.5311642689410854,0.02937510475,0.9441370000000013,4,166.995899254,35.463252583,166.9454957557552,35.50368465818589,9.81364346452597,0.3522422142062163,75.57179161734001,0.0,59.284693525571655,1.2747268666362108,379.07497064518026,-22.611833868379296,2135471594781.2627,25.86784509765541,5.671607272748108,FALSE,0.3333333333333333,0.25,0.3333333333333333,0.25,0.0,0.25,BCentered,VMisfit,12.856043979830968,402.7798481194182
7297,39662601819.02828,68419782160.98567,0.579694944449044,0.0421673095,0.7103800000000007,4,218.193175114,14.588226736,218.21786404304677,14.601564576391253,7.066345624305473,0.23233856169227432,5.829624477967244,-4.938272013532696e-13,71.50803924655723,0.0815240431620198,395.49197906112727,-22.407954217795933,1510070657104.727,22.07067326744281,4.905761493720572,TRUE,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,BCentered,VCentered,12.831172775822733,393.5522663570485
7300,44820551906.42448,65809445686.8199,0.6810656348591763,0.03531182525,1.5889019999999974,4,231.622742335,8.590604033,231.67439030706535,8.653735388780468,12.275213435112837,0.3968879683721629,-82.25340358417952,5.044853423896711e-13,171.7442049502775,0.47892971764604003,572.4721304113698,-22.365720581878836,29482659560623.777,448.0004238438445,2.95662249460991,TRUE,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,12.83029641628123,394.1524595271285
7327,47833570537.58385,66148070030.97002,0.7231287400401635,0.0374249435,2.0156899999999993,4,146.020908347,0.733551682,146.00492071917662,0.761727532646507,3.810257661763021,0.5101237725822176,-32.3474179772069,-5.115907697472721e-13,300.28467458082986,0.10772250705887822,188.6206725579446,-22.371292943790756,23620754163955.023,357.0890904737805,0.557159757794638,TRUE,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,BMisfit,VCentered,12.809550620900188,387.6641203980287
7336,40403482509.6273,78787961350.4186,0.5128128944716328,0.0427113345,0.7229220000000005,4,161.376791111,17.619643567,161.38669120612656,17.693082247910084,6.060601881001492,0.7330174631632207,124.64137754949799,-9.876544027065393e-13,129.04995198913738,0.965838232624763,343.7133756899625,-22.561149657984643,5550962485370.514,70.45445002291612,2.362447715305304,FALSE,0.6666666666666666,0.5,0.0,0.0,0.0,0.25,BMisfit,VMisfit,12.80058466672025,384.35311991222534
7339,41118759113.7228,91509165356.01485,0.44934033606088497,0.024635934249999998,0.49545300000000125,4,199.256677735,6.357083184,199.33424620137714,6.413919526334218,14.547369925071974,0.3950190197172363,-2.990870563243308,5.115907697472721e-13,119.04480513602466,0.025123906581445102,469.62207697779183,-22.723661485554047,10617707802228.344,116.02890006613363,3.4991428798873807,FALSE,0.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.5,BCentered,VCentered,12.797909480875871,385.78157451269095
7340,40647589875.83077,57844469604.71576,0.7027048593166975,0.030322006500000002,1.6909390000000002,4,169.05643026,29.385244198,169.1605269158635,29.446884139650326,7.8225134714051645,0.8409820972340114,-10.974357696744004,-5.080380560684716e-13,79.76328084719351,0.13758658846753832,312.1204196377508,-22.225654608091176,3755754865185.746,64.92850381118473,3.470905525426691,TRUE,0.3333333333333333,0.25,0.6666666666666666,0.5,0.0,0.25,BMisfit,VCentered,12.797821731492505,385.0611421424947
7359,50208217123.42441,63412827580.44161,0.7917675183263726,0.033373077749999994,2.517121999999997,4,228.794975106,5.577597737,228.8150173489338,5.653850633294252,7.64776524753548,0.6183646135694455,-4.2897925480913015,1.5099033134902129e-12,168.49979062288688,0.025458741119112942,336.6050503486086,-22.325442797066295,14110327484734.309,222.51534938786344,1.7719231493137657,TRUE,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,BMisfit,VCentered,12.782979583614775,380.33000845723626
7367,42478346189.033066,58893529331.00209,0.7212735706547659,0.038089649,1.769249000000002,4,235.49283264,7.77663389,235.48859682249136,7.742570157424997,4.5496909302763076,0.4526195691452873,-21.311727991777992,-1.0049738818906917e-12,121.1756337554603,0.1758746980006338,229.33617407869662,-22.24516895300289,3952817479000.3857,67.11802678328512,1.6787301217530255,TRUE,0.6666666666666666,0.5,0.3333333333333333,0.25,0.0,0.25,BCentered,VCentered,12.77599374852476,377.72660626536793
7372,41400997025.812515,91998788177.67352,0.45001676484973313,0.04011967625,0.6646880000000017,4,222.270380472,16.735092819,222.34709401525265,16.742230157915564,11.72658605291305,0.3776493839445523,42.18797906751501,-1.7763568394002505e-15,72.25832684828443,0.5838493763645268,623.5230423755589,-22.72945526697216,5204923520819.646,56.57600087913755,7.653995915908088,TRUE,0.6666666666666666,0.75,0.0,0.0,0.3333333333333333,0.25,BCentered,VMisfit,12.7720119027865,376.3290251215374
7386,39707413638.04313,89998080919.56915,0.4412028926875613,0.034762139750000004,0.26429100000000005,4,185.422974205,55.787170825,185.3421514407625,55.8410385335749,11.651463144766801,0.3628176516251475,14.525531081020818,-5.044853423896711e-13,122.54992782335347,0.1185274552095925,534.7093990955187,-22.70558312207255,9443130567577.709,104.92591032043215,3.870155172032207,TRUE,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,BCentered,VCentered,12.760253817435776,373.58800456991474
7407,43148767991.31861,71047891419.22449,0.6073194732369384,0.03104306525,1.231037999999998,4,256.864372058,31.247718405,256.8309867379419,31.232411453571288,8.806427591374966,0.22067758240845267,9.95198150075611,-5.044853423896711e-13,82.32218342820453,0.12089064072791529,359.92529815835303,-22.448877983329933,2538079412009.8394,35.72350088525039,3.878100970741249,TRUE,0.3333333333333333,0.25,0.0,0.25,0.6666666666666666,0.5,BCentered,VCentered,12.738609867005785,367.86871563241885
7422,48075432504.16391,61906128421.63867,0.7765859977016366,0.044385201,2.4330880000000015,4,166.994367083,63.92631973,166.9642718005747,63.915081668586836,7.003317936079323,0.1487211128375144,-38.840379840909094,-8.881784197001252e-16,131.75167835891565,0.29479988661017886,413.241276911129,-22.299334110755304,11914024926864.66,192.45307743554886,2.7820898920288193,TRUE,0.6666666666666666,0.5,0.3333333333333333,0.25,0.0,0.25,BCentered,VCentered,12.72259516345094,361.82611973425537
7425,47582800611.15216,60278300810.214745,0.789385234347694,0.02330883425,2.3123980000000017,4,184.161608369,33.560898792,184.1352708746002,33.53799337380013,8.768066194127135,0.2170925803240544,47.61797196685098,3.552713678800501e-15,109.87553113424077,0.4333810401214222,267.54182811822074,-22.270402503634173,6503364352692.714,107.88897937200406,2.1598039080323357,TRUE,1.0,0.75,0.0,0.0,0.0,0.25,BCentered,VCentered,12.71603943229168,362.4377834283144
7436,41103461762.16307,54627299894.73993,0.7524344392156371,0.0350894745,2.1678239999999995,4,255.006962225,38.816027972,255.0417305415733,38.9178128317607,9.854850637148813,0.6412471210004346,125.60232655983677,-5.009326287108706e-13,156.43122896447153,0.802923606694696,456.6269721536623,-22.163524337100338,17058045020438.537,312.26227643151475,2.5891768988933017,TRUE,0.6666666666666666,0.5,0.0,0.25,0.3333333333333333,0.25,BMisfit,VMisfit,12.70597981111822,358.30775419162745
7455,41151265940.663734,73882972518.22957,0.556979024233361,0.02291549125,0.5564540000000022,4,178.421858453,23.382206389,178.2368350720047,23.52774985628504,13.766567684137254,0.9744963020271984,-99.50627450295626,-4.440892098500626e-15,63.00606712479013,1.5793125812133877,412.85280908713776,-22.491360899997623,2682422469190.197,36.306369082921606,5.812145692810706,FALSE,0.0,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25,BMisfit,VMisfit,12.689397801018604,355.1459111568708
9394,80411247534.72842,100196866208.50644,0.8025325599245311,0.041945584,2.5414819999999985,4,167.919441761,4.668873548,167.88239831909587,4.674527981298945,4.8995092277415,0.45740326107706647,119.90511931527712,0.0,203.2985964077814,0.5897980676402136,272.73203898500344,-22.822135346501817,15046732827631.598,150.17169096206894,1.1899409186990269,TRUE,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,BCentered,VMisfit,13.400117772179804,609.0903255831846
9578,66500544304.20105,136733922082.56796,0.4863500095027196,0.04322716950000001,0.17951599999999956,4,214.514332371,28.866402214,214.4529919197691,28.903328799200647,11.980196901918397,0.3264317972267776,-73.79739997803722,-2.4868995751603507e-12,170.95441713774792,0.43167881364873933,687.8915065050859,-23.159690678257213,9569971106803.754,69.98973598537489,3.5691371798739193,FALSE,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.25,BCentered,VCentered,13.337016211386723,580.0545732425159
9765,56522530907.293846,128387939170.8909,0.44024798024103706,0.03932169875,0.026720000000000965,4,213.752623869,-0.796946989,213.67416768035017,-0.8259201851569782,10.223714133328624,0.4907863575389826,-1.382469263182425,-4.973799150320701e-13,252.82894794946864,0.005468002277406276,532.4921303716147,-23.09131056950441,40222484343988.52,313.2886515956171,1.8681425662302802,TRUE,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,BMisfit,VCentered,13.26907922286386,551.2745790713342
9774,76899656522.46783,107390998477.42178,0.7160717156255462,0.03340781375,1.653329000000003,4,245.837747666,37.258412755,245.86531506641313,37.27748089194721,6.966897101337704,0.25032954349526265,156.51904024538248,5.009326287108706e-13,133.23352548834873,1.1747721879435635,306.96461157835677,-22.897419700722175,8138364818167.742,75.78256030349488,2.043611842229703,TRUE,0.3333333333333333,0.25,0.6666666666666666,0.5,0.0,0.25,BCentered,VMisfit,13.266208557083916,551.1021547582158
