objid,specobjid,Group,RA,Dec,M_r,z,Lum,rank_M,RA_BGG,Dec_BGG,M_BGG,dist2BGG,lgm,sfr,sSFR,rank_dist,rank_M_parent
1237667537465704591,2743980315499325440,71,138.984582174,17.642551789,-20.261085,0.032104315,9471832295.470778,4,139.016329083,17.628364762,-23.004753,2.0995913704317104,10.35007,-1.771953,-12.122023,2,16
1237667430630096945,2576112924984633344,78,139.208372488,20.198497201,-23.032653,0.028624486,121635739547.38412,1,139.208372488,20.198497201,-23.032653,0.0,11.31101,-0.9900947,-12.3011047,1,1
1237667293189570761,2576107977182308352,78,139.301139046,20.153755587,-20.974284,0.031441978,18268950539.1869,2,139.208372488,20.198497201,-23.032653,6.151014219092432,10.29916,0.5082121,-9.7909479,3,11
1237667293189505241,2576105778159052800,78,139.267229911,20.093489956,-20.489146,0.029892251,11685798676.700825,3,139.208372488,20.198497201,-23.032653,7.455520679598958,10.38578,-1.731674,-12.117454,4,16
1237667293189505124,2576111825473005568,78,139.199653611,20.168355982,-20.233744,0.029343312,9236290842.425829,4,139.208372488,20.198497201,-23.032653,1.9623891112773857,10.13903,-1.200757,-11.339787,2,21
1237662197748006965,2047045261099821056,79,230.466041678,7.708815434,-22.967269,0.044723463,114526924933.97787,1,230.466041678,7.708815434,-22.967269,0.0,11.36224,-0.9482058,-12.3104458,1,1
1237662197748006964,5504708908533084160,79,230.459929899,7.735846928,-21.83903,0.04789751,40514641468.37464,2,230.466041678,7.708815434,-22.967269,1.740545591806747,,,,2,5
1237662197748006963,6181258209245458432,79,230.423028811,7.723539355,-21.644374,0.047880723,33864884598.66433,3,230.466041678,7.708815434,-22.967269,2.8333947586821457,,,,4,8
1237662264323539208,2047044986221914112,79,230.485173581,7.673539029,-21.272975,0.046631916,24054149176.251102,4,230.466041678,7.708815434,-22.967269,2.5163340061744512,10.80895,-1.311289,-12.120239,3,11
1237662303519899658,1190183721106434048,85,244.418911431,35.004215289,-22.734293,0.029953325,92409623324.85942,1,244.418911431,35.004215289,-22.734293,0.0,11.23959,-1.097412,-12.337002,1,1
1237662303519834305,5588977129624367104,85,244.411529191,35.060047978,-20.710764,0.032992967,14331960415.971169,2,244.418911431,35.004215289,-22.734293,3.5285715174284022,,,,3,14
1237662501081776441,5588982627182505984,85,244.382860053,34.945953656,-20.511647,0.029325851,11930504256.098265,3,244.418911431,35.004215289,-22.734293,4.104349463585625,,,,4,16
1237662303519834621,1190186195007596544,85,244.429555778,35.04113111,-20.042084,0.029780845,7741651194.809864,4,244.418911431,35.004215289,-22.734293,2.3832765085620693,10.16176,-1.665813,-11.827573,2,26
1237662262169174083,2055994993423706112,94,214.538450174,7.56454998,-23.068217,0.025410456,125685969646.65051,1,214.538450174,7.56454998,-23.068217,0.0,11.45737,-1.155042,-12.612412,1,1
1237662262169108543,2055992519522543616,94,214.471665058,7.558767071,-21.679015,0.026592412,34962783425.63714,2,214.538450174,7.56454998,-23.068217,4.175580490577707,10.90813,-1.21656,-12.12469,2,4
