Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,lMass_200,r_200_kpc
5200,53899358955.91302,122301286258.23817,0.4407096654903936,0.04258937033333333,0.4957000000000029,6,133.948594184,0.794284344,133.8903666155727,0.8251864154538715,6.220882410908268,0.6357402110065693,-27.63557187914805,1.3310833916572544e-12,88.26457507256936,0.313099245721491,351.76490419797904,-23.038577561477013,2190090615184.2168,17.907339180062735,3.5350022335356464,M,True,0.8,0.8333333333333334,0.0,0.0,0.2,0.16666666666666666,13.000947154465106,448.265114382556
5206,53323027597.700935,78660393045.82442,0.6778891578464026,0.02619062766666667,2.1116740000000007,6,213.158940975,39.310165484,213.16397751652528,39.272061698141876,4.154034750178938,0.5532353234103049,59.51683496486243,-1.1795009413617663e-12,156.10799349642122,0.3812542435005293,142.72858715013146,-22.55939028034343,2770371623604.943,35.21939716206394,0.8109786947269226,M,True,0.6,0.6666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666,12.99036599890376,446.9718086065152
5208,50763878969.454445,73767203283.25185,0.6881632583321742,0.03662452733333333,2.193783,6,149.570797514,68.102430297,149.52318546676543,68.08572480693736,4.690586120051765,0.31191717379634315,306.7602088791518,6.631732200427601e-13,133.43542044908935,2.298941374387108,227.10144573932524,-22.489658296192538,5296205149997.354,71.7962036551792,1.509636509502648,Q,True,0.2,0.16666666666666666,0.2,0.16666666666666666,0.6,0.6666666666666666,12.988233711829237,444.7621612123089
5210,48611743759.54781,103535414919.86304,0.46951802721004754,0.04155900266666666,0.5358289999999997,6,133.518347475,0.85323147,133.44038932757584,0.8043554090175309,5.866929208918608,0.9409264631617968,75.25654868449755,2.662166783314509e-12,179.06799516699616,0.4202680027456149,323.4833508011908,-22.857722320701566,13241189053050.844,127.89043307837801,1.6023507265665748,Q,True,0.6,0.5,0.2,0.16666666666666666,0.2,0.3333333333333333,12.987157355814183,443.6925926217048
5217,47863273733.75836,117797685152.81873,0.40631760863267746,0.04288845166666667,0.8746599999999987,6,162.896101015,3.66464865,162.87193544157068,3.639882185715715,7.780238548003206,0.26658714634243835,70.41688929691442,4.736951571734001e-15,175.75844291015335,0.400645841707366,443.12508599157644,-22.997841890490292,7763820835253.952,65.90809339913565,2.2363190340475088,Q,False,0.6,0.5,0.0,0.0,0.2,0.3333333333333333,12.97628978344865,439.8190547624721
5219,76985121584.10173,139268426916.41626,0.5527823016935873,0.03859922366666667,1.1854250000000022,6,251.141803192,38.920509143,251.1688870289682,38.949679482071126,3.9734760750091063,0.5433410581179305,214.30365923334276,-3.3158661002138007e-13,220.29610122897162,0.9727982385425873,203.04563107471256,-23.179631675299635,4269708699867.4233,30.6581239869245,0.8175427243538729,X,False,0.2,0.16666666666666666,0.4,0.3333333333333333,0.4,0.3333333333333333,12.974395006627091,439.78503657869334
5222,54715503497.81773,91748971449.87631,0.5963609469748611,0.04289419133333334,1.378733999999998,6,156.033831274,20.621230738,156.0288577879571,20.629000304776593,8.173676418796777,0.06648547926485927,-78.00607367670787,-1.3310833916572544e-12,91.96831107370275,0.8481842578819678,465.59765072190226,-22.72650301075318,6817434926146.277,74.30530084874829,4.490515389147072,Q,True,0.4,0.3333333333333333,0.2,0.16666666666666666,0.4,0.5,12.968403606593151,437.164123121478
5232,49081248327.80358,109118539969.76651,0.4497975169151139,0.040655832333333336,0.675694,6,222.489099895,0.558296006,222.54018732976942,0.5335012379433388,4.143783192140159,0.8222111585510935,-35.91794946312974,-9.983125437429408e-13,113.8945847596746,0.3153613452203902,223.36341184828223,-22.9147463659873,5058768707284.69,46.36030420390819,1.7395326277143044,Q,True,0.8,0.6666666666666666,0.0,0.0,0.2,0.3333333333333333,12.95265756008274,432.22333458542494
5238,50772342377.0208,116499683543.50764,0.43581528149009524,0.036764465,0.6322949999999992,6,188.925181064,63.973706263,188.90444036141008,63.957862750427,7.946150198412711,0.13797286640244924,-85.52908167489541,-6.679101716144942e-13,91.62118903473073,0.9335076588284981,386.23358601907546,-22.985811864145546,4468306537235.469,38.354666736641796,3.73919171327339,M,True,1.0,1.0,0.0,0.0,0.0,0.0,12.940886977527246,428.8704792555926
5240,45707219213.116295,89953604634.65056,0.5081199291430024,0.04398489016666666,0.9224089999999983,6,224.526016096,1.505716638,224.50509241172728,1.4834476609760041,3.785793391514636,0.48420646189599603,-110.78530215949378,2.3353171248648627e-12,256.50603034694836,0.4319013553390875,221.30786682267566,-22.705046427863508,12130209238312.717,134.8496181735012,0.7652844559100584,Q,True,0.0,0.0,0.4,0.3333333333333333,0.6,0.6666666666666666,12.93780184465688,426.8659068384851
