source_specobjid,source_objid,plate,mjd,fiberid,run2d,scienceprimary,extra_specobjid,source_sfr,source_specsfr,source_lgm,info_specobjid,sn_median,reliable,n_spectra_for_objid
345818974824458240,1237648705667137705,307,51663,610,26,1,345818974824458240,-1.097961,-12.23088,11.05283,345818974824458240,40.16312,1,2
345819799458179072,1237648705667072024,307,51663,613,26,1,345819799458179072,-0.182327,-9.805395,9.578831,345819799458179072,25.51425,1,1
346783246505240576,1237648704057573499,308,51662,22,26,1,346783246505240576,-1.088731,-12.10865,10.94819,346783246505240576,40.73542,1,1
346785995284310016,1237648704057573747,308,51662,32,26,1,346785995284310016,-0.1556452,-10.34161,10.1377,346785995284310016,24.06282,1,1
346786545040123904,1237648704057573731,308,51662,34,26,1,346786545040123904,-0.1229701,-9.838906,9.65169,346786545040123904,9.881937,1,1
346787094795937792,1237648704057573661,308,51662,36,26,1,346787094795937792,-0.8092076,-11.9561,11.09869,346787094795937792,33.51292,1,1
346809085028493312,1237648721249501332,308,51662,116,26,1,346809085028493312,-0.2493622,-10.73721,10.44216,346809085028493312,24.43595,1,1
346809909662214144,1237648721249435833,308,51662,119,26,1,346809909662214144,-0.3610175,-10.26207,9.855238,346809909662214144,16.96841,1,1
346931130819176448,1237648705131053137,308,51662,560,26,1,346931130819176448,-1.315105,-12.29091,10.88253,346931130819176448,46.2943,1,1
346937453011036160,1237648705131118796,308,51662,583,26,1,346937453011036160,0.3221888,-10.16487,10.44133,346937453011036160,21.89723,1,1
346939377156384768,1237648705131118779,308,51662,590,26,1,346939377156384768,-0.3649438,-10.43193,10.02839,346939377156384768,14.98981,1,1
346940476668012544,1237648704594313560,308,51662,594,26,1,346940476668012544,-1.574981,-11.98524,10.33992,346940476668012544,33.11034,1,1
347956980737927168,1237648721249763542,309,51994,196,26,1,347956980737927168,0.02892388,-9.74923,9.71757,347956980737927168,22.8844,1,2
347965501953042432,1237648704594575483,309,51994,227,26,1,347965501953042432,-1.705437,-12.65961,10.89773,347965501953042432,48.89918,1,2
347965776830949376,1237648704594575487,309,51994,228,26,1,347965776830949376,-1.803425,-11.50989,9.70014,347965776830949376,15.52256,1,2
347986667551877120,1237648721249435820,309,51994,304,26,1,347986667551877120,-0.7933003,-12.20494,11.35226,347986667551877120,54.91104,1,2
347987492185597952,1237648704594313302,309,51994,307,26,1,347987492185597952,-1.213605,-11.32925,10.05111,347987492185597952,16.28846,1,2
347996838034434048,1237648705131053204,309,51994,341,26,1,347996838034434048,-1.506484,-12.25306,10.68184,347996838034434048,51.62223,1,2
347998762179782656,1237648705131118799,309,51994,348,26,1,347998762179782656,-0.4729916,-9.65521,9.116517,347998762179782656,9.299533,1,3
348000411447224320,1237648704594313500,309,51994,354,26,1,348000411447224320,-1.614082,-12.42812,10.78954,348000411447224320,48.0034,1,2
348024050947221504,1237648704594641215,309,51994,440,26,1,348024050947221504,-1.574379,-12.27079,10.65442,348024050947221504,46.24092,1,2
349090577159055360,1237648673987232019,310,51990,224,26,1,349090577159055360,-0.80644,-10.41332,9.564772,349090577159055360,9.397457,1,2
349091401792776192,1237648704595492963,310,51990,227,26,1,349091401792776192,-1.370457,-12.50583,11.09604,349091401792776192,37.49359,1,2
349091676670683136,1237648704595493353,310,51990,228,26,1,349091676670683136,-0.3820747,-9.8775,9.446967,349091676670683136,3.871073,1,2
349101297397426176,1237648721250615590,310,51990,263,26,1,349101297397426176,-0.3082105,-9.531728,9.160706,349101297397426176,6.834758,1,2
349149675909048320,1237648704595558617,310,51990,439,26,1,349149675909048320,-0.3736108,-10.62857,10.20134,349149675909048320,10.18874,1,2
354754980701300736,1237648705135837483,315,51663,351,26,1,354754980701300736,-0.36374,-10.67848,10.25935,354754980701300736,12.91379,1,1
354755255579207680,1237648705135771804,315,51663,352,26,1,354755255579207680,-0.96501,-12.20051,11.19496,354755255579207680,45.36784,1,1
367192393302173696,1237650371552280661,326,52375,542,26,1,367192393302173696,-1.230665,-12.29157,11.0334,367192393302173696,37.38591,1,1
367193217935894528,1237650371552346120,326,52375,545,26,1,367193217935894528,1.125739,-9.827151,10.90268,367193217935894528,26.45372,1,1
367193767691708416,1237650371552215263,326,52375,547,26,1,367193767691708416,-0.9398491,-12.23884,11.22216,367193767691708416,34.5682,1,1
367195691837057024,1237650371552280809,326,52375,554,26,1,367195691837057024,-0.4517542,-9.964117,9.466909,367195691837057024,9.47266,1,1
