dr7objid,z,Sp,Scale,Rhlr,Rchl_r,e,ng,e_ng,rg2d,PpS
588010359615258698,0.03460000082850456,2.0,0.6880000233650208,4.579999923706055,4.590000152587891,0.019999999552965164,7.739999771118164,0.3100000023841858,16.149999618530273,0.3499999940395355
588010359615324383,0.0340999998152256,2.0,0.6800000071525574,5.170000076293945,4.869999885559082,0.11999999731779099,1.100000023841858,0.009999999776482582,15.319999694824219,0.0
588010359617028218,0.025299999862909317,2.0,0.5099999904632568,3.869999885559082,3.680000066757202,0.10000000149011612,5.340000152587891,0.07000000029802322,15.039999961853027,0.0
588010360687755375,0.028699999675154686,2.0,0.5759999752044678,1.75,1.4600000381469727,0.3400000035762787,3.7799999713897705,0.05000000074505806,15.789999961853027,0.1899999976158142
588010360687886499,0.02850000001490116,2.0,0.5709999799728394,6.900000095367432,4.329999923706055,0.7300000190734863,0.7200000286102295,0.009999999776482582,14.970000267028809,0.3400000035762787
588010877681139727,0.039400000125169754,2.0,0.7799999713897705,3.7300000190734863,3.490000009536743,0.14000000059604645,4.429999828338623,0.03999999910593033,14.220000267028809,0.6100000143051147
588010877681139783,0.039400000125169754,2.0,0.7799999713897705,6.239999771118164,4.440000057220459,0.5699999928474426,2.009999990463257,0.10000000149011612,16.510000228881836,0.4300000071525574
588010877692411975,0.03999999910593033,2.0,0.7910000085830688,3.549999952316284,2.5299999713897705,0.5799999833106995,4.039999961853027,0.019999999552965164,14.819999694824219,0.0
588010877692412030,0.041099999099969864,2.0,0.8119999766349792,6.079999923706055,5.510000228881836,0.1899999976158142,2.319999933242798,0.009999999776482582,14.369999885559082,0.0
588010877692412146,0.03999999910593033,2.0,0.7910000085830688,3.2699999809265137,2.390000104904175,0.5400000214576721,3.059999942779541,0.1899999976158142,16.81999969482422,0.1599999964237213
588010877692412160,0.04010000079870224,2.0,0.7929999828338623,3.069999933242798,3.069999933242798,0.019999999552965164,5.760000228881836,0.029999999329447746,15.220000267028809,0.0
588010878217224267,0.03830000013113022,2.0,0.7599999904632568,4.78000020980835,3.4100000858306885,0.5699999928474426,1.5399999618530273,0.019999999552965164,15.140000343322754,0.009999999776482582
