Id,objid,specobjid,Group,RA,Dec,M_r,z,zobs,Yang_z_CMB_group,BGG_ID,Yang_logM,logM_180,rmag,Lum,rank_M,RA_BGG,Dec_BGG,M_BGG,dist2BGG,lgm_tot_p50,sfr_tot_p50,sSFR,SFRexcess,SFRcategory,rank_dist
427129,1237667443511525379,2522147247106320384,1,194.142438333,27.538954775,-20.670707,0.024554498,0.023656478,0.02439,427152,10.543,14.660770306132937,14.567816,13812834236.150053,93,195.033861807,27.976940934,-23.504925,56.691395122032574,10.46553,-1.562559,-12.028089,-1.03843,Q,392
427130,1237667443511525488,2523204433341343744,1,194.170546059,27.447750743,-17.783722,0.025353654,0.024454862,0.02439,427152,9.267,14.660770306132937,17.462512,967138784.831703,472,195.033861807,27.976940934,-23.504925,58.408893291745784,9.092758,-1.663174,-10.755932,-0.17810459999999928,G,402
427131,1237667443511590950,2523188765300647936,1,194.39938792,27.493234743,-21.249829,0.02528353,0.024387201,0.02439,427152,10.81,14.660770306132937,13.980337,23546784003.292606,41,195.033861807,27.976940934,-23.504925,46.569292328188546,10.79118,-1.576422,-12.367602000000002,-1.280248000000002,Q,330
427132,1237667443511590952,2522059011298191360,1,194.351489483,27.49781561,-22.643007,0.025375126,0.024478436,0.02439,427152,11.486,14.660770306132937,12.584536,84957710456.44788,4,195.033861807,27.976940934,-23.504925,48.438639992710456,11.3907,-1.389942,-12.780642,-1.5134319999999999,Q,343
427133,1237667443511591123,2522059561054005248,1,194.294813552,27.404902367,-20.330885,0.021575908,0.020677704,0.02439,427152,10.209,14.660770306132937,14.900883,10100758787.382895,123,195.033861807,27.976940934,-23.504925,54.6118216787093,10.06512,-1.036473,-11.101593000000001,-0.23205700000000107,G,379
427134,1237667443511591237,2523186016521578496,1,194.461481758,27.49086441,-17.719342,0.025418319,0.024522498,0.02439,427152,9.325,14.660770306132937,17.523295,911458291.3953403,489,195.033861807,27.976940934,-23.504925,44.11382795369247,9.273787,-2.572001,-11.845788,-1.2136519000000003,Q,311
427135,1237667443511656621,2523186291399485440,1,194.548607372,27.54248251,-17.598569,0.024643493,0.023748994,0.02439,427152,9.256,14.660770306132937,17.6321,815506824.9728227,505,195.033861807,27.976940934,-23.504925,38.38104039290099,,,,,X,282
427142,1237667444048265307,2523239342835525632,1,193.829649141,27.92506332,-17.969979,0.022435168,0.021538818,0.02439,427152,9.222,14.660770306132937,17.256122,1148131414.4517727,449,195.033861807,27.976940934,-23.504925,66.91590155502949,9.120548,-2.243926,-11.364474,-0.7783096,Q,438
427143,1237667444048265337,2522133778088880128,1,193.867386294,27.949684707,-18.363682,0.021688654,0.020792898,0.02439,427152,9.383,14.660770306132937,16.86513,1649957660.716888,381,195.033861807,27.976940934,-23.504925,64.7572552183683,9.272448,-1.684366,-10.956814000000001,-0.32507960000000224,G,429
427144,1237667444048527371,2522152744664459264,1,194.514623549,27.814947925,-20.422051,0.024666361,0.023774598,0.02439,427152,10.433,14.660770306132937,14.778147,10985514458.133884,113,195.033861807,27.976940934,-23.504925,30.577385798335836,10.32169,-1.521656,-11.843346,-0.8968389999999999,Q,232
427145,1237667444048527574,2523259408922732544,1,194.591637319,27.892283289,-18.987063,0.025240753,0.024350516,0.02439,427152,9.826,14.660770306132937,16.231009,2929713821.9048805,279,195.033861807,27.976940934,-23.504925,25.117925262913896,9.766193,-1.81161,-11.577803,-0.7979450999999997,Q,189
427146,1237667444048527619,2522154668809807872,1,194.653129294,27.849482063,-18.093806,0.021449571,0.020559387,0.02439,427152,9.325,14.660770306132937,17.118929,1286833623.5018137,422,195.033861807,27.976940934,-23.504925,22.60511505286987,9.145781,-2.417149,-11.56293,-0.9691957000000002,Q,173
427147,1237667444048527840,2523257484777383936,1,194.650332408,27.87288817,-17.86458,0.024557709,0.023667762,0.02439,427152,9.246,14.660770306132937,17.339164,1041914303.2412274,464,195.033861807,27.976940934,-23.504925,22.27307910708689,9.024188,-2.397654,-11.421842000000002,-0.8645856000000016,Q,169
427148,1237667444048592965,2522167862949341184,1,194.727648472,27.79561683,-18.916358,0.022472202,0.021582063,0.02439,427152,9.691,14.660770306132937,16.286975,2745005380.1844435,296,195.033861807,27.976940934,-23.504925,20.469348512663384,9.654596,-1.626251,-11.280847,-0.534468200000001,Q,157
427149,1237667444048593146,2522165663926085632,1,194.834056852,27.885992107,-19.849523,0.022511789,0.02162358,0.02439,427152,10.047,14.660770306132937,15.355078,6483495294.722317,179,195.033861807,27.976940934,-23.504925,12.477192926426353,10.02721,-1.243364,-11.270574,-0.4124110000000005,Q,88
427150,1237667444048593192,2523262432579708928,1,194.669716842,27.826917228,-18.605985,0.021467222,0.02057693,0.02439,427152,9.504,14.660770306132937,16.59687,2062500203.1564066,345,195.033861807,27.976940934,-23.504925,22.309340869745053,9.435641,-2.048285,-11.483926,-0.8032336999999998,Q,170
427151,1237667444048658805,2522175834408642560,1,194.934218759,27.867678148,-18.929928,0.021696916,0.020809375,0.02439,427152,9.647,14.660770306132937,16.280375,2779528938.7128015,290,195.033861807,27.976940934,-23.504925,8.81661228880915,9.402966,-1.523674,-10.926639999999999,-0.2557501999999996,G,49
427152,1237667444048723983,2523290745004124160,1,195.033861807,27.976940934,-23.504925,0.022387201,0.021501748,0.02439,427152,11.635,14.660770306132937,11.692059,187918700268.03207,1,195.033861807,27.976940934,-23.504925,0.0,11.49787,-0.6327351,-12.1306051,-0.831244100000001,Q,1
427153,1237667444048724004,2523291569637844992,1,195.031143009,27.958069526,-17.746992,0.021602996,0.020717308,0.02439,427152,8.864,14.660770306132937,17.483383,934968113.9635676,478,195.033861807,27.976940934,-23.504925,1.1952861030011168,8.76993,-3.138195,-11.908125,-1.4271460000000005,Q,4
427154,1237667444048724247,2523283323300636672,1,195.026210131,27.775764129,-20.305006,0.021495631,0.020607872,0.02439,427152,10.265,14.660770306132937,14.897945,9862849360.281279,127,195.033861807,27.976940934,-23.504925,12.647453546958335,10.21522,-1.93169,-12.14691,-1.2323439999999994,Q,90
427155,1237667444048789764,2524361119305328640,1,195.323315704,27.809071051,-21.451162,0.025235216,0.02435044,0.02439,427152,10.88,14.660770306132937,13.795984,28344238913.019684,29,195.033861807,27.976940934,-23.504925,19.225632376957947,10.79659,-1.422417,-12.219007,-1.1300299999999996,Q,149
427156,1237667444048789843,2523303389387843584,1,195.228212912,27.842007879,-18.854114,0.0245109,0.02362565,0.02439,427152,9.712,14.660770306132937,16.354018,2592063281.4782815,313,195.033861807,27.976940934,-23.504925,13.723189174703851,9.589647,-1.805458,-11.395105,-0.6682109,Q,96
427157,1237667444049838231,2525497458549614592,3000,197.972110315,27.593736172,-17.901361,0.021388811,0.020526128,0.02206,568704,9.212,13.452770306132937,17.024242,1077815438.2840762,6,198.362288397,27.802372038,-22.425774,25.357636836487575,9.067676,-1.261787,-10.329463,0.24083979999999983,G,6
427287,1237667917027213475,2822645425134135296,313,175.908732019,20.831634509,-18.592561,0.023998108,0.022922158,0.02426,489133,9.621,13.708770306132935,16.520514,2037156528.2111948,11,176.550752073,20.391651809,-22.621881,46.795615536223934,9.458556,-1.495537,-10.954093,-0.26652620000000127,G,26
427288,1237667917027541019,2824983541710874624,313,176.563010822,21.024039075,-17.558306,0.023369782,0.022297755,0.02426,489133,9.154,13.708770306132935,17.560819,785818773.4006732,25,176.550752073,20.391651809,-22.621881,39.74059520363248,,,,,X,23
427473,1237665531723448714,2473667575918127104,3,240.752400954,16.121327695,-18.920688,0.034433355,0.03413924,0.03744,334722,9.198,14.416770306132936,17.164391,2755974532.4275637,146,240.58274434,16.345990189,-23.177717,17.43593622757786,9.105824,-0.366835,-9.472659,1.1090881999999986,M,69
427863,1237665442071838747,2476007886434625536,61,241.335742453,17.86959129,-18.967804,0.034808321,0.034533028,0.03493,419620,9.607,13.820770306132935,17.070457,2878204182.8267484,56,241.149144579,17.721559028,-22.646753,14.530340649507059,9.351036,-1.788659,-11.139695,-0.48438420000000093,Q,37
427864,1237665442071839090,2476007611556718592,61,241.356907229,17.966738817,-18.266494,0.033609984,0.03333552,0.03493,419620,9.256,13.820770306132935,17.715436,1508681621.9441774,63,241.149144579,17.721559028,-22.646753,19.792053674299524,9.119145,-0.9485112,-10.0676562,0.5180872999999995,M,49
427865,1237665442071904291,2477095858542241792,61,241.436193061,17.717030171,-22.195562,0.035135204,0.03486122,0.03493,419620,11.171,13.820770306132935,13.776371,56263248028.943855,3,241.149144579,17.721559028,-22.646753,17.182507733017854,10.87205,-0.1601018,-11.0321518,0.07946320000000107,G,45
427987,1237667211056382122,2652669722063038464,2485,159.377984664,27.20059055,-20.634817,0.043255651,0.04224793,0.04312,566800,10.462,13.308770306132937,15.871998,13363702533.874065,3,159.341079528,27.358733979,-22.350946,10.147921747048605,10.43438,-1.419673,-11.854053,-0.8737390000000005,Q,5
428008,1237667211593252953,2652674394987456512,2485,159.186408423,27.515273777,-19.320635,0.043240464,0.042237032,0.04312,566800,9.8,13.308770306132937,17.177848,3983400742.6612434,6,159.341079528,27.358733979,-22.350946,13.081807225807554,9.709227,-0.9710313,-10.6802583,0.08250979999999863,G,6
428025,1237667212130254979,2652748612022331392,5352,159.464395115,28.061522854,-19.524966,0.043318246,0.042320713,0.04262,428679,9.815,12.893770306132936,16.95748,4808242911.256747,3,159.507643875,28.154345176,-21.983215,6.305532006597937,9.825926,-0.4619353,-10.287861300000001,0.5099164999999992,M,5
