specobjid,d4000_n,d4000_n_err,lick_hd_a,lick_hd_a_err
612512126237435904,1.785601,0.06916006,1.626786,1.529294
612523121353713664,1.798282,0.01938925,-2.14569,0.545436
612524495743248384,1.808032,0.01153055,-2.150151,0.3602088
612565177673476096,1.515982,0.0166686,-0.5942528,0.5852803
612572874254870528,1.92116,0.01913802,-3.330022,0.508724
612576997423474688,1.813739,0.03238996,-2.028727,0.8300992
613665239073843200,1.263827,0.020264,0.04462963,0.8882664
613665513951750144,1.566322,0.01367737,0.9124535,0.4507106
613666338585470976,1.838542,0.01179562,-1.79492,0.3535649
613667438097098752,1.840549,0.01714565,-2.163594,0.4837172
613670461754075136,1.273232,0.03681349,3.917321,1.5164
613721589044766720,1.225521,0.008475065,2.892959,0.401291
613722963434301440,1.426804,0.01176389,0.9046127,0.4666728
613734508306393088,1.81139,0.01229539,-1.531569,0.3767141
613735058062206976,1.873115,0.01905249,-2.019782,0.5253839
618241402760882176,1.950145,0.02975824,-1.088886,0.7119606
619309852816074752,1.710106,0.01968282,0.183728,0.5684415
619310952327702528,1.174009,0.009975894,0.9753337,0.5237822
619321122810259456,2.125612,0.02082972,-2.580713,0.4760605
619343662798628864,2.025394,0.01362229,-2.212026,0.3659053
621507227357833216,1.79572,0.02242856,-0.5944712,0.5788017
621515198817134592,1.884547,0.009974979,-1.86432,0.2777894
621562202939222016,1.26501,0.009966221,2.842295,0.4233853
621590790241544192,1.926688,0.007325007,-2.146077,0.2158159
621595463165962240,1.747923,0.005778629,-0.1107248,0.1897639
621605908526426112,1.26105,0.007511907,2.894634,0.3353298
622648795422812160,1.595264,0.05325539,1.142483,1.516011
622658416149555200,1.432496,0.02240443,1.357773,0.7987804
622659790539089920,1.900477,0.0237089,-2.640317,0.5953676
622686178818156544,1.938465,0.01757289,-2.262474,0.4507667
622688102963505152,1.544542,0.05249118,0.679567,1.57691
622768642190239744,1.828459,0.02177525,-2.434368,0.6082824
622770566335588352,1.86993,0.03155649,-2.252481,0.822486
622771116091402240,1.666741,0.01596757,-0.4952076,0.4986336
626022371840518144,1.745555,0.03197673,-2.179754,0.864464
629467147222935552,1.464449,0.01452123,1.455463,0.516987
635024352324118528,1.317011,0.02004115,3.082601,0.7621273
635028475492722688,1.811291,0.01214755,-2.535179,0.3350063
635035622318303232,1.324623,0.008867647,2.224722,0.3549954
635036721829931008,1.147619,0.0150374,4.678404,0.6910067
635036996707837952,1.164435,0.01005849,2.868215,0.4739687
635037546463651840,1.88266,0.007513746,-2.51274,0.2176558
641878983394224128,1.91258,0.01954772,-1.559405,0.5210101
641880907539572736,1.309018,0.03377593,5.13291,1.256675
641891078022129664,1.300643,0.0193055,2.812324,0.8086362
641891902655850496,1.982806,0.009555004,-2.445419,0.2892846
642895757107554304,1.773046,0.03910622,0.08906513,0.9555554
644087902640302080,1.523549,0.01870452,-0.4168553,0.627764
644091476053092352,1.838197,0.02294759,-0.9291342,0.5641757
644091750930999296,1.884859,0.008512003,-1.991473,0.2588327
645200059255777280,1.424043,0.05609825,2.100605,1.968019
649755061756389376,1.992898,0.07869636,-3.000354,1.869942
649756985901737984,1.891039,0.04393994,-2.377291,1.188468
649766331750574080,2.0427,0.03480497,-1.643388,0.8475645
649767981018015744,2.140743,0.1127185,7.146625,2.536386
650941984088811520,1.818411,0.01271633,-1.87698,0.3756441
650943633356253184,1.463449,0.03421033,2.593019,1.142071
650944732867880960,1.383394,0.04778337,2.640188,1.665444
651930994781218816,1.247503,0.01119702,3.546663,0.4850641
651933193804474368,1.813385,0.01735253,-1.554542,0.4888789
651934293316102144,1.698063,0.01911251,0.1281621,0.5588033
651955733792843776,1.175024,0.01807262,2.320613,0.8462257
652002463037024256,1.588628,0.04850172,1.021354,1.479019
652005761571907584,1.906704,0.01790749,-2.744723,0.4883147
653028307889055744,1.591501,0.0386948,0.3436181,1.111127
653029682278590464,1.815354,0.01916124,-2.077054,0.5218791
653148704412297216,1.864229,0.01229927,-2.458396,0.3708702
653150078801831936,1.744949,0.01945924,-2.017019,0.5879259
653151178313459712,1.697036,0.02436626,-0.7979923,0.7206857
653154476848343040,1.198772,0.02508297,2.056969,1.173064
653194609022756864,1.865905,0.01679578,-2.392415,0.479134
653196808046012416,1.004136,0.0155345,1.740632,0.9869072
654155581984106496,1.577718,0.008950004,-1.188161,0.3183608
654157506129455104,1.339826,0.07305952,5.182974,2.560994
654160529786431488,1.465591,0.02752803,2.044038,0.8995377
654163003687593984,1.995018,0.01898014,-2.719346,0.4566573
654163553443407872,1.255739,0.01294151,1.705244,0.5733172
654164652955035648,1.024539,0.007243146,0.3811641,0.4649768
654167126856198144,1.920795,0.01246643,-2.393618,0.3313053
654167676612012032,1.280738,0.01179925,3.026213,0.487705
654168226367825920,1.235734,0.01721263,1.978987,0.7535297
654168501245732864,1.493517,0.02390404,0.1020355,0.789052
654169325879453696,1.774654,0.02265847,-2.45581,0.6082086
654169875635267584,1.897106,0.01291375,-3.009035,0.3419007
654176472705034240,1.662215,0.03287094,0.1985919,0.9598467
654178396850382848,1.599194,0.03293061,-0.1919421,0.9969673
654219903414331392,1.187082,0.004671745,3.417793,0.2284317
654231448286423040,1.487784,0.01237333,0.6259944,0.4426033
654231998042236928,1.037467,0.006805384,4.327631,0.391605
654246566571304960,1.821682,0.01970501,-2.394066,0.5432631
656457129649006592,2.001312,0.02521095,-3.312871,0.6346227
657686933304010752,1.758056,0.1170838,1.873008,3.257385
657696279152846848,1.604856,0.01138072,0.6621294,0.3935951
657697378664474624,1.683243,0.02288036,-0.8966419,0.7102501
658683365347584000,1.968187,0.01699302,-2.540241,0.447337
658694635341768704,1.132639,0.02660539,4.035869,1.258445
658754833603389440,2.002402,0.0117788,-2.924852,0.3363911
658757307504551936,1.466581,0.01127051,0.481466,0.4303441
659791398123366400,1.927292,0.01378342,-1.91524,0.379719
659793872024528896,1.928712,0.01834256,-2.180189,0.4892326
659800743972202496,1.749152,0.01568486,-3.056005,0.4778697
659875785640798208,1.586238,0.02936907,1.229775,0.9055941
659887055634982912,1.898338,0.02018463,-0.4005117,0.5145736
659887330512889856,1.288962,0.01121977,1.014489,0.5104603
660976396830533632,2.011932,0.02186271,-2.334044,0.5031269
660979970243323904,0.9792464,0.01956365,0.0,-1.0
662030828800337920,1.664162,0.05864218,-0.5660952,1.659298
662034127335221248,1.375773,0.09991005,-6.501348,4.17063
662051719521265664,1.836652,0.01382531,-3.113298,0.4023986
662063264393357312,1.972678,0.01435835,-2.563976,0.3894794
662064089027078144,1.786428,0.03224855,-1.009112,0.8133287
662066562928240640,1.910284,0.01982535,-2.102923,0.5141008
662067387561961472,1.826231,0.02410967,-2.281303,0.6557425
662085529503819776,1.794747,0.0273642,-1.963359,0.7471961
662087178771261440,1.947682,0.01229359,-1.992354,0.3457942
662142978986371072,1.807921,0.01224261,-1.101009,0.3787192
662143803620091904,1.282952,0.02708393,2.544811,1.14047
662155898247997440,1.685365,0.02781724,-0.1230774,0.7993671
662156173125904384,1.505528,0.02782458,1.520934,0.9239049
662162220439857152,1.897593,0.01000144,-1.492893,0.3052819
662162770195671040,1.471715,0.01828477,1.304881,0.6586472
662173765311948800,1.955403,0.01227874,-2.213432,0.3538066
662175139701483520,1.642956,0.03012454,-0.993251,0.9304773
662200153591015424,1.353983,0.01811871,3.75096,0.6890553
662202627492177920,1.507043,0.0409671,0.1043519,1.438824
663159752531929088,1.411733,0.01454075,0.3979051,0.550103
663166899357509632,1.906471,0.02382634,-3.044914,0.626242
663169373258672128,1.660626,0.03274252,-0.3280389,0.9644166
663170472770299904,1.917448,0.01655568,-2.731233,0.4894353
663170747648206848,1.892935,0.01994631,-2.372636,0.5341072
663171572281927680,1.851725,0.02631755,-2.150072,0.7079185
663181742764484608,1.842852,0.03186651,-1.424584,0.8001927
663238092735408128,1.995802,0.01996002,-3.577822,0.5120244
663239742002849792,1.440745,0.04872439,0.7315146,1.701894
663242215904012288,1.890166,0.01839599,-2.514594,0.5048618
663242765659826176,1.739611,0.02681227,-1.248103,0.7350459
663252936142383104,1.853409,0.01249303,-1.113993,0.3716265
663260907601684480,1.11603,0.0154246,3.193856,0.8046315
664404674606032896,1.997144,0.01627786,-2.441291,0.4298995
664427214594402304,1.368634,0.03593966,1.790074,1.374418
664437110199052288,1.957188,0.01869887,-2.681565,0.5011889
664446730925795328,1.946503,0.01823387,-2.521029,0.4907101
664447830437423104,1.929906,0.01834013,-2.434216,0.4888011
664448929949050880,1.524917,0.02016355,-0.7115634,0.7042106
664449754582771712,1.895045,0.01861969,-3.053015,0.5167564
664450304338585600,1.73049,0.05322842,0.4465283,1.389747
665464053472192512,1.890242,0.01207204,-2.32381,0.3395799
665470375664052224,1.676388,0.04394354,0.7180659,1.115212
665471750053586944,1.940253,0.01878387,-3.27509,0.4832526
665472299809400832,1.345885,0.01860196,1.387623,0.6987469
665479171757074432,1.076961,0.06058118,4.424264,3.015035
665483020047771648,1.78934,0.0212487,-2.50346,0.5847844
665530573925672960,1.949501,0.01125055,-2.683768,0.3171715
665535246850091008,1.920164,0.025507,-0.6163157,0.6065324
665558886350088192,1.86128,0.02645868,-1.108493,0.6689454
667726848469264384,1.791162,0.02351528,-1.169484,0.626436
667759009184376832,1.923114,0.01898545,-2.485386,0.4905473
667759833818097664,1.695128,0.01290521,-1.6157,0.4118296
667760108696004608,1.897873,0.03499712,-1.850154,0.8558211
667762582597167104,1.899397,0.02152302,-1.683304,0.5426542
667762857475074048,2.022571,0.01499235,-2.876229,0.3881444
669938241180297216,1.861315,0.02178166,-2.661969,0.5839923
669949511174481920,1.971066,0.01489894,-1.87473,0.4020927
669951160441923584,1.910762,0.01820868,-3.01832,0.4963594
669957757511690240,1.510692,0.02780024,1.749544,0.8745142
671074867147204608,1.459735,0.05362748,2.969429,1.704899
671081189339064320,1.341162,0.04770155,2.631831,1.771886
