objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,BGG_ID,rank_M,RA_BGG,Dec_BGG,M_BGG
1237648705135771804,354755255579207680,2355,233.241797746,0.440734784,-22.794096,97642389745.17822,0.037062529,0.0,11.19496,-0.96501,-12.15997,1,2861,1,233.241797746,0.440734784,-22.794096
1237648705116766267,326660539130341376,3126,189.843489571,0.460233319,-20.467777,11458052293.544643,0.024713899,8.157018662648303,10.3189,-0.9973779,-11.3162779,6,14194,2,189.754670505,0.365546508,-22.087241
1237648721790894241,4515077519011672064,2355,233.259640424,0.419928209,-21.013588,18942408583.00476,0.037626857,1.7221622471625926,,,,2,2861,3,233.241797746,0.440734784,-22.794096
1237648721249501332,346809085028493312,2454,222.80149453,-0.06085058,-20.660608,13684949527.667427,0.04418809,3.619226818340739,10.44216,-0.2493622,-10.6915222,3,18894,3,222.748835979,-0.03750439,-22.550685
1237648705667137705,345818974824458240,10121,220.598357453,0.907996398,-22.196804,56327645750.14541,0.033946782,0.0,11.05283,-1.097961,-12.150791,1,3641,1,220.598357453,0.907996398,-22.196804
1237648722857033814,343517971026569216,2892,215.867417143,1.102089816,-20.398267,10747483820.67296,0.04043816,17.656337666957057,10.35126,-1.164048,-11.515308,6,41798,4,216.138223157,1.177318646,-22.703339
1237648704600670569,385088582836054016,1719,237.231955898,0.094466464,-19.630913,5301090273.607365,0.032303705,18.033519459054705,9.965176,-1.396872,-11.362048,10,12188,3,237.498065558,0.201994357,-22.18449
1237648705667137570,345818425068644352,10121,220.641818045,0.978873142,-21.229369,23107214721.40958,0.034187089,5.223675505872168,10.70381,-1.59418,-12.29799,2,3641,2,220.598357453,0.907996398,-22.196804
1237648722284052878,526973965038544896,5210,133.413657876,0.758170118,-21.501024,29676289562.431965,0.042140596,8.884522483519223,10.75498,-1.203961,-11.958941,4,21851,2,133.518347475,0.85323147,-22.036853
1237648722289557692,299602652264687616,7327,145.969659075,0.83092803,-19.980889,7317379847.797608,0.037491948,6.913831327130082,10.14206,-1.686863,-11.828923,5,14159,3,146.020908347,0.733551682,-22.019332
1237648722834686048,311976011031930880,3025,164.824374774,1.153473532,-22.289086,61324554231.34843,0.040702657,0.0,11.00532,-0.9876607,-11.9929807,1,4916,1,164.824374774,1.153473532,-22.289086
1237648722834686003,572017115754686464,3025,164.774381703,1.182050667,-21.910845,43285057622.4135,0.040159431,3.61756634278784,10.6289,0.2988097,-10.3300903,2,4916,2,164.824374774,1.153473532,-22.289086
1237648722834751727,311985082002860032,3025,165.004379873,1.112231736,-21.485258,29248473173.266342,0.040128189,11.600954341476912,10.6867,0.53308,-10.15362,3,4916,3,164.824374774,1.153473532,-22.289086
1237648705131053137,346931130819176448,5232,222.489099895,0.558296006,-22.047289,49081248327.80358,0.040531152,0.0,10.88253,-1.315105,-12.197634999999998,1,6114,1,222.489099895,0.558296006,-22.047289
1237648705129349140,344688951312803840,3770,218.52437548,0.620087707,-22.566217,79156539532.24654,0.031165708,0.0,11.1686,-1.226143,-12.394743,1,6268,1,218.52437548,0.620087707,-22.566217
1237648704594575485,4525084724309979136,7163,223.396096989,0.010396721,-22.032088,48398867547.58315,0.04307272,0.0,,,,1,6855,1,223.396096989,0.010396721,-22.032088
