Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,Misfit_Bary,Vmisfit,lMass_200,r_200_kpc
1109,78258946994.92456,92434410329.47263,0.8466430057375697,0.02063382425,2.6165069999999986,4,161.06221584,22.371182601,161.00215157509498,22.247213641157252,8.98570571167934,0.9071300849194243,-51.81874259854976,5.089262344881718e-13,37.4429299713546,1.3839393081202183,242.23374250067658,-22.734584187634734,583675641750.5851,6.31448439677535,5.738368492061865,Q,False,0.3333333333333333,0.25,0.3333333333333333,0.25,0.0,0.25,BMisfit,VMisfit,13.495465112957492,659.833930590796
1110,80608938095.89757,94742829653.87471,0.850818351007536,0.03175309375,2.4161800000000007,4,242.808799312,26.923399779,242.76002831085637,26.94942667950058,8.206654979073914,0.3704876064733895,110.38903431143079,-5.044853423896711e-13,156.14451561353872,0.7069670931295896,343.2626497988841,-22.76136587880103,8830238896741.482,93.20218668791208,1.9499498216459317,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,BCentered,VMisfit,13.492525076156086,656.0330524465512
1118,74172684921.9791,116898436836.82472,0.6345053614832736,0.04197022425,1.5304140000000004,4,154.970076294,63.951515238,154.91678307658347,63.95761080123464,2.772201179347727,0.5233620068347801,-139.00963605529,5.329070518200751e-15,267.1254645906097,0.5203908068754619,154.40846337764577,-22.98952175956242,19464614766659.164,166.5087685802786,0.5127190222237854,Q,True,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,BMisfit,VMisfit,13.434187386739639,625.259247984625
1122,71107203652.63463,87354167076.88658,0.814010436274301,0.040233174499999996,2.257728,4,227.882383264,1.763884825,227.88671900786508,1.7677719627086235,2.6276910752554428,0.13292815667408373,4.369504322099368,1.0045297926808416e-12,230.9824641386232,0.01891703917175298,140.12570621507723,-22.673209067668626,11691958670505.975,133.84545994485936,0.5380992963092665,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,13.414176561799833,616.07304439596
1124,65765844308.09536,99971052960.62332,0.6578488708526383,0.028786699500000002,1.1426020000000001,4,223.574315519,4.283899398,223.47390673971842,4.406059044184296,13.141686835103725,0.7211233537945364,193.37402628452224,-7.531752999057062e-13,246.72996838124666,0.783747623173695,497.24474545348875,-22.819685666015896,40409553603444.26,404.21254359860353,1.7876064756581393,Q,True,0.6666666666666666,0.5,0.3333333333333333,0.25,0.0,0.25,BMisfit,VMisfit,13.389523074068979,606.7380921745065
1131,67367309042.92388,128001198949.09079,0.52630217213604,0.03563505075,0.8727750000000007,4,164.531664118,9.27611185,164.54619653724583,9.289901420886123,4.263631935453059,0.2799856516197659,-15.589707847163732,-1.7763568394002505e-15,29.926637125532427,0.5209308276693442,200.7079762007061,-23.088035093934817,348300611427.1177,2.7210730390552462,5.94881323094397,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VMisfit,13.329604143395812,578.2038664578855
1132,56272991101.34545,80800896052.66066,0.6964401863151425,0.04208434225,1.6629220000000018,4,164.738457832,1.436935072,164.75678957971624,1.429819187811368,2.4613822633337854,0.47921991267083447,178.37552470224028,5.044853423896711e-13,291.99711319354157,0.6108811239651156,137.48030612028208,-22.588540442424346,13457387573388.455,166.54997940391434,0.4176240997556116,X,False,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25,BMisfit,VMisfit,13.325774284877259,575.3160462007678
1133,67715610770.644684,81408127895.54991,0.8318040534911537,0.03785918525,2.8387330000000013,4,216.168863812,26.625137076,216.1731158052014,26.625751771876892,3.581714414095474,0.06450219606932256,-22.679935693562015,-5.098144129078719e-13,227.6512552559832,0.09962578799778185,179.42095366632702,-22.596669418978713,14956315157987.588,183.72017075711625,0.6990797644540963,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,13.306325894591152,567.5610155719976
1134,61557588764.05367,80889919058.6034,0.7610044549489069,0.0289355055,1.8032949999999985,4,125.190658598,56.490952175,125.14810924365636,56.48906882125199,2.484572004095839,0.5690990251776802,193.58206330383166,-3.552713678800501e-15,215.92489372168959,0.8965249905522422,94.50558726372147,-22.589736002114094,8826593146264.465,109.11858052262045,0.38822043377252613,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BMisfit,VMisfit,13.273249820165688,554.9105666122448
1142,58033344504.83722,109891576349.10197,0.5280963876655816,0.034914933,0.5517450000000004,4,240.533460708,15.696537741,240.50819791506646,15.69919937694837,3.0256731162458688,0.48516306809405596,-129.59108939226786,-4.973799150320701e-13,133.38072570544057,0.9715878265534236,139.48018932501859,-22.922411008007938,1221172445800.63,11.11252096267349,0.9275622641648666,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,BMisfit,VMisfit,13.084962811830799,479.3290937504007
