objid,specObjID,dr7objid,petroR50_r,petroR50Err_r,petroR90_r,petroR90Err_r,petroRad_r,psfWidth_r
1237663916268126422,2107712719963580416,587738195043221711,2.46313,0.03447709,6.757411,0.2942367,5.244914,1.271738
1237663916268257450,2107705023382185984,587738195043352725,2.756566,0.03268148,9.839251,0.1959926,7.310339,1.245143
1237663916268257468,2107704198748465152,587738195043352737,2.080014,0.02731608,6.501464,0.1971143,4.889329,1.245143
1237663916275269716,2115590464219408384,587738195050365020,2.236664,0.01481941,4.974604,0.08852305,4.78833,1.260764
1237663916275269775,2115592388364756992,587738195050365070,2.356737,0.01778259,5.63351,0.1480377,4.849092,1.260764
1237663916810109034,2113347460263864320,587738195585204296,3.857822,0.04934635,12.20681,0.335954,9.244878,1.351664
1237663916810109132,2113356256356886528,587738195585204379,3.150932,0.04070958,8.451573,0.2657788,7.376726,1.351664
1237663917339771027,2105495279837931520,587738196114866308,4.183464,0.06934702,11.85224,0.5475282,9.089937,1.231113
1237663917339771108,2105496929105373184,587738196114866373,2.724737,0.02635069,7.921984,0.162141,6.640249,1.231113
1237663917339771127,2105486758622816256,587738196114866387,8.110986,0.06549888,25.86099,0.4555267,18.7961,1.231113
1237663917339836556,2105497753739094016,587738196114931855,2.96862,0.03508507,7.631957,0.3245895,5.961699,1.196869
1237663917339836570,2105485384233281536,587738196114931872,1.641438,0.01181394,4.487867,0.0836316,3.744398,1.196869
1237664092898852896,2173056420470089728,588017978334969911,15.00793,0.7674924,41.50096,4.859902,35.72884,1.48363
1237664092898853038,2173058069737531392,588017978334970017,5.099539,0.03277497,16.76893,0.1886604,13.35904,1.48363
1237664092898853172,2173054221446834176,588017978334970146,2.29148,0.04449187,6.815633,0.3171022,5.368245,1.48363
1237664092898918570,2173040202673580032,588017978335035739,3.267659,0.02000253,7.804568,0.107839,7.547934,1.358056
1237664092898984197,2173039378039859200,588017978335101245,2.482475,0.03948546,6.120154,0.2151274,5.84522,1.240856
1237664092898984229,2173037453894510592,588017978335101282,3.851562,0.197161,9.548229,1.053497,8.801823,1.240856
1237664105781133373,1967034050262624256,587738410327801941,7.806059,0.0232838,15.85818,0.1117506,16.73005,1.100568
1237664131016360006,6015863622814945280,,15.74443,0.1154415,43.09899,0.9581689,34.37566,1.430253
1237664289399373970,1998507858437629952,587738568174469256,4.89994,0.02759776,16.48181,0.1772289,12.04736,1.14875
1237664289399636012,1998486692838795264,587738568174731329,6.57421,0.03076684,16.29927,0.2264799,14.10367,1.06732
1237664291011952678,2000878130796980224,587738569787048255,3.56503,0.07764944,7.292136,0.4175572,7.275694,0.9918241
1237664291011952787,2000877855919073280,587738569787048086,6.01399,0.3061246,20.93279,1.894018,14.84373,0.9918241
1237664291011952964,2000873457872562176,587738569787048235,1.52109,0.01680665,4.277417,0.1234312,3.461636,0.9918241
1237664291548823866,2000874007628376064,587738570323919112,3.961552,0.08214955,10.59169,0.6916988,8.419003,0.9993761
1237664291548889126,2000881429331863552,587738570323984428,4.670286,0.08033838,14.15708,0.592293,11.28724,1.030237
1237664291549085756,2000897097372559360,587738570324181104,2.449114,0.02232842,7.815722,0.1562604,5.63988,1.021577
1237664293684445268,2287955393424418816,587738572459540570,3.920016,0.01392692,7.84381,0.0942956,7.67548,1.329008
1237664296366047574,2235015551371995136,587738575141142831,6.352643,0.03043215,12.76015,0.1917951,12.69897,1.041401
1237664337175707794,2290213234696808448,587738615950803104,5.353249,0.06021892,14.03695,0.3692584,12.50117,1.51836
1237664337177477186,5199445995927392256,,7.898103,0.1327666,20.96175,0.8003352,18.69603,1.543129
1237664667901624475,2259682270828849152,587738946676719730,8.761964,0.1595827,30.8561,1.014153,22.16391,1.373037
1237664667901624645,2354373861027375104,587738946676719843,4.975561,0.08270159,13.61545,0.7605019,10.27034,1.373037
1237664667901689871,2259681721073035264,587738946676785159,5.982534,0.01844432,17.58209,0.1330718,13.19445,1.361463
1237664667901689961,2259683095462569984,587738946676785233,2.012415,0.01222059,5.959815,0.09171972,4.56449,1.361463
1237664668424405146,2173047899254974464,587738947199500416,5.156544,0.04064457,13.18311,0.289196,11.49825,1.447962
1237663916801654936,2103329515718600704,587738195576750256,7.284781,0.5581951,15.72565,3.711227,15.48891,1.147853
1237663917341016282,2106694847040612352,587738196116111595,7.734405,0.1370226,20.17234,0.9972183,16.91561,1.286698
1237663918414758008,6693625683510579200,,9.433037,0.1028031,32.95423,0.5806184,25.56476,1.300113
1237664105779495085,1963743761380960256,587738410326163592,4.703107,0.04826571,14.25605,0.305683,10.34086,1.084285
1237664130479554590,1966982373216118784,587738409254649985,8.095297,0.02418067,18.00316,0.1403829,17.09863,1.522936
1237664289399374060,1998531772815534080,587738568174469339,2.921209,0.1259056,7.527944,1.28928,5.934699,1.14875
1237664291548823599,2000875382017910784,587738570323918903,2.185479,2.700279,6.714061,-1000.0,4.593055,0.9993761
1237664291548823600,2001943283122595840,587738570323918904,6.586831,0.1468432,19.35125,0.9874232,15.58998,0.9993761
1237664093439852636,2179894557875922944,588017978875969642,11.20349,0.4229775,37.46539,2.662682,28.64077,1.242258
1237664093439852639,6534893589381795840,,28.75547,10.73357,67.08585,-1000.0,74.87814,1.242258
1237664093439852644,6534893039625981952,,4.542781,1.51044,10.82369,-1000.0,9.198139,1.242258
1237664093439983708,2179902529335224320,588017978876100712,8.222392,0.565324,26.48278,3.838658,18.16564,1.419482
1237664130481651748,1969224831912142848,587738409256747044,7.308858,0.2064488,23.02887,1.400432,17.05034,1.342807
1237664130481651887,1969225931423770624,587738409256747145,4.230522,0.09205941,12.00378,0.4581102,10.92478,1.342807
1237664130481651900,1969221808255166464,587738409256747162,2.338555,0.03426994,7.609801,0.2561774,5.423136,1.342807
1237664093439852641,2179882463248017408,588017978875969794,3.452062,0.01981919,8.585007,0.1020074,8.197878,1.242258
1237663918414889326,2106649492185966592,587738197189984580,7.875739,0.04256606,15.46404,0.1936309,15.77415,1.244192
1237663918414889018,2106647293162711040,587738197189984364,2.241124,0.01261551,6.300893,0.08033802,5.348682,1.244192
1237663918414823576,2106651691209222144,587738197189918875,3.295795,0.01849865,9.776595,0.1322674,7.636637,1.302111
1237663918414758364,2106651416331315200,587738197189853369,5.987156,0.05475937,11.95024,0.2728367,12.71465,1.300113
1237663918414758293,2106647018284804096,587738197189853526,2.743646,0.0412568,6.957332,0.2524531,6.241129,1.300113
1237663918414758193,2106651966087129088,587738197189853229,7.790797,0.05779559,24.67231,0.4040559,18.44491,1.300113
1237664667901624666,2259694640334661632,587738946676719862,2.597346,0.03386861,6.904281,0.2515323,5.812852,1.373037
1237664667900444798,2353222122865715200,587738946675540119,4.288113,0.01932342,9.743669,0.1602839,8.719543,1.33239
1237664337177477185,2379141460306978816,587738615952572488,5.028613,0.0619997,16.91548,0.2849633,14.81522,1.543129
1237664292076519438,1989608404426975232,587738570851614723,6.601264,0.3033761,21.73921,2.022589,16.00489,0.9633224
1237664292076454264,1989608679304882176,587738570851549338,3.249003,0.05594395,6.629985,0.2791491,6.985856,0.9709019
1237664292076454119,1989609778816509952,587738570851549375,5.381579,0.01839671,12.27715,0.1362499,10.74258,0.9709019
1237664292076454111,1989610878328137728,587738570851549362,5.37169,0.09745221,13.851,0.6402263,12.24217,0.9709019
1237664292076388510,1989590262485116928,587738570851483826,2.246123,0.03565935,6.11575,0.2713195,4.981837,0.9853928
1237664291548889274,2001953453605152768,587738570323984493,4.135618,0.04960224,11.03823,0.3260262,9.41979,1.030237
1237664291011952667,2001955652628408320,587738569787047969,5.689217,0.05379567,18.99553,0.3568176,13.86095,0.9918241
1237664291011887113,2001944657512130560,587738569786982415,11.47657,0.2369691,33.50189,1.445767,28.13293,0.9901329
1237664105781133467,1965854274067916800,587738410327801890,5.593047,0.165599,17.82323,1.139022,12.56158,1.100568
1237664094510907472,1787937073269860352,588016839637729502,8.041277,0.02986191,16.20865,0.1738371,15.90033,1.564426
1237664092903047228,2179906377625921536,588017978339164232,8.142289,0.161781,28.39883,0.9855871,20.55677,1.347877
1237663916268257523,2007570850173184000,587738195043352787,1.859042,0.0307517,4.853739,0.2272472,4.124234,1.245143
1237663916268257306,2007571125051090944,587738195043352609,5.978695,0.06616309,19.2814,0.440412,14.01582,1.245143
1237664667907588102,2373519657438046208,587738946682683414,1.91467,0.01213785,5.510475,0.09326962,4.311,1.340508
1237664667907457165,2224781296637339648,587738946682552386,5.905727,0.1377065,21.52816,0.7609743,15.51324,1.323967
1237664667887534208,2173045700231718912,587738946662629698,2.524836,0.01479917,7.565865,0.09437901,6.263417,1.468624
1237664667370651768,2373533951089207296,587738946145747047,6.067939,0.1158902,17.81703,0.8606968,14.0774,1.375809
1237664338253119520,2291310546798012416,587738617028214849,16.11418,6.904736,40.49909,-1000.0,44.69104,1.370416
1237664338253119518,2248450484136339456,587738617028214791,2.58055,0.1778099,7.360744,1.339528,6.009081,1.370416
1237664338253119517,2248454882182850560,587739098060488789,6.237379,0.06237134,19.97408,0.4296953,15.14917,1.370416
1237664336641720404,2265442062809720832,587738615416815709,3.16978,0.05840979,6.366591,0.3563234,6.513523,1.578945
1237664336632741928,2194381449933645824,587739408380264507,13.77694,0.03521273,41.08975,0.1949164,34.9229,1.894594
1237664336632741895,2194379800666204160,587739408380264453,2.671271,0.00539482,6.981937,0.03962943,5.964315,1.894594
1237664294761594907,2267577588715120640,587738573536690209,4.225214,0.02350948,14.88098,0.1408144,10.88551,1.059496
1237664294761529674,2267574290180237312,587738573536624900,2.488385,0.0259068,6.459635,0.1932335,5.463218,1.122911
1237664294761529586,2267576214325585920,587738573536624828,1.640236,0.01469933,4.917061,0.1118675,3.727961,1.122911
1237664289391968478,1989502026676987904,587738568167063728,2.876499,0.0237362,6.978396,0.1658766,6.1959,1.026862
1237664296366047287,2235015826249902080,587738575141142586,2.124109,0.01010427,5.917183,0.08238805,4.60768,1.041401
1237664296366047350,2235011153325484032,587738575141142658,7.175023,0.03551081,23.24761,0.235681,17.24113,1.041401
1237664296366047854,2235012802592925696,587738575141142743,4.099968,0.1051806,10.73494,0.8090394,9.03517,1.041401
1237664337175773190,2290219556888668160,587738615950868486,7.995365,0.07941682,22.96592,0.5263923,18.64845,1.545538
1237664337175773381,2290218457377040384,587738615950868640,4.319986,0.07048561,10.90226,0.4207992,10.03306,1.545538
1237664337177542740,2379138986405816320,587738615952638035,5.252884,0.0231796,11.60844,0.1529439,11.03717,1.529944
1237664337177542775,2379138161772095488,587738615952638054,2.070711,0.008439341,5.032191,0.05196844,4.674496,1.529944
1237664668424470655,2173039652917766144,587738947199565938,8.115207,0.08491691,27.27364,0.5422726,19.50863,1.397622
1237664668424536083,2173038278528231424,587738947199631380,6.061594,0.1141521,21.60936,0.6724806,15.7137,1.403004
1237664668424536173,2173038003650324480,587738947199631434,4.316407,0.07523747,14.69013,0.4569746,10.45846,1.403004
1237664105779560493,1963744311136774144,587738410326229032,6.229561,0.08664239,20.24146,0.5711796,15.49744,1.084692
1237664105779560609,1963740737723983872,587738410326229111,1.814947,0.01790972,4.894936,0.143902,3.950064,1.084692
1237664105779626180,1964768506318710784,587738410326294707,7.405782,0.4709425,23.51586,3.038215,16.92712,1.068987
1237663915730272677,2006437803390429184,587737810645287065,2.810851,0.03243462,7.676775,0.2110098,6.52892,1.337047
1237664093977182234,2182113373162858496,588017979413299280,3.85567,0.01941933,11.07272,0.1219148,9.127397,1.247497
1237664093977182233,2182111998773323776,588017979413299279,2.297734,0.08939406,7.462302,0.6358435,5.334128,1.247497
1237664093977182232,2182114747552393216,588017979413299278,8.407094,0.1753084,27.724,1.094186,20.842,1.247497
1237664093977116737,2182100728779139072,588017979413233753,4.07852,0.07708921,12.99594,0.4720088,10.26552,1.476994
1237664130481717277,1969214386551678976,587738409256812571,5.816449,0.02447857,14.11175,0.1468559,13.06504,1.36404
