objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,BGG_ID,rank_M,RA_BGG,Dec_BGG,M_BGG
1237664293684445268,2287955393424418816,10497,198.662516575,38.172416323,-20.496055,11760397470.519346,0.045515392,8.816231482187273,10.17756,-0.4063019,-10.5838619,3,573361,3,198.712612151,38.03775253,-21.960572
1237662697040183439,2086349761811605504,10913,244.603036644,20.890022112,-21.534332,30600801378.408913,0.032340154,11.87006689720465,10.89663,-1.448678,-12.345308,3,371568,2,244.530697995,21.066452965,-21.840742
1237662697040183695,2086328871090677760,10913,244.628512408,20.879236016,-19.221338,3635257674.773271,0.032542094,13.088361483818677,9.442821,-0.5720719,-10.0148929,4,371568,4,244.530697995,21.066452965,-21.840742
1237664668436398093,2359989616649463808,10843,158.387322947,36.706776575,-22.018287,47787553804.060005,0.045146712,0.0,10.98999,-1.317129,-12.307119,1,322815,1,158.387322947,36.706776575,-22.018287
1237664668436398189,2221443729611319296,10843,158.374655946,36.69567126,-19.120025,3311387461.4621387,0.045188767,0.9455535465173676,9.630564,-2.044834,-11.675398,2,322815,4,158.387322947,36.706776575,-22.018287
1237665531713814595,2404970638147086336,11108,218.618241851,23.303601654,-21.995011,46773988011.1046,0.03958649,0.0,10.97575,-1.28412,-12.25987,1,334713,1,218.618241851,23.303601654,-21.995011
1237661353244557397,1481789602451712000,10423,186.521245801,57.652213024,-19.588562,5098293107.435733,0.044126887,10.332298323055046,9.879648,-0.5672165,-10.4468645,4,116793,4,186.735739179,57.770167542,-22.153464
1237663788493635962,2106686050947590144,11198,121.45542012,55.311743629,-19.646368,5377088692.308583,0.034241565,12.778685146760736,9.675072,-0.263844,-9.938916,3,371647,3,121.664743249,55.147084358,-21.809984
1237665179521187864,2393673985838573568,9578,214.525794411,28.866258316,-19.900583,6795684376.658111,0.044154399,0.6307623292107698,10.08385,-1.350629,-11.434479,2,387365,4,214.514332371,28.866402214,-22.377063
1237663917340950801,2106689349482473472,11198,121.442698045,55.101523512,-18.865472,2619321453.292513,0.033888503,8.475520696218299,9.726141,-1.859447,-11.585588,2,371647,4,121.664743249,55.147084358,-21.809984
1237664853641461771,2288989203544958976,11021,208.296626641,35.579238184,-21.843218,40671220002.266525,0.040410912,0.0,10.76402,-0.6270924,-11.3911124,1,363001,1,208.296626641,35.579238184,-21.843218
1237665015240523906,2364461609797052416,9869,170.063057499,33.228256204,-20.344262,10225976727.150948,0.044000781,9.797773494856868,10.11195,-0.1786656,-10.2906156,2,523224,2,169.976403797,33.090220844,-22.48436
1237665015240589418,2372445714706884608,9869,170.269403133,33.227869081,-19.68897,5592268308.190503,0.043897967,17.672641963908855,9.967389,-0.8894741,-10.8568631,4,523224,4,169.976403797,33.090220844,-22.48436
1237664853641461874,2288979307940308992,11021,208.371287895,35.44825977,-20.612731,13094604926.893076,0.040615484,9.07232670729166,10.47519,-0.6624939,-11.1376839,4,363001,3,208.296626641,35.579238184,-21.843218
