product,control,degree,control_cv_rmse_linear,control_cv_rmse_quadratic,objid,sample,group_uid,role,lgm,z,ff_miles_lw_logz,predicted_control_logz,delta_logz,gallazzi_logz_solar
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237674371291414552,Control4C,Lim:106,BGG,11.09763,0.015831291,0.3003078152646575,0.1805202713972466,0.11978754386741089,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661139033784336,Control4C,Lim:112,BGG,11.46054,0.023917658,0.3003078152646575,0.2232537143495323,0.07705410091512518,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667734492086324,Control4C,Lim:120,BGG,11.51206,0.029075583,0.21946008747208545,0.2293203065649625,-0.009860219092877043,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661386003382291,Control4C,Lim:125,BGG,11.33993,0.033755466,0.24319337424724807,0.20905162414955117,0.034141750097696905,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237658300056666239,Control4C,Lim:129,BGG,11.35128,0.031963093,0.05898447772959352,0.2103881113709239,-0.15140363364133036,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665128538832901,Control4C,Lim:131,BGG,11.10472,0.036433037,0.12003830018504674,0.1813551343399368,-0.06131683415489006,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664132091871249,Control4C,Lim:143,BGG,11.41464,0.033732815,0.17741355266189243,0.21784888937499344,-0.04043533671310101,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661434849132659,Control4C,Lim:146,BGG,11.35297,0.029605784,0.3003078152646575,0.21058711255190365,0.08972070271275384,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665129099624455,Control4C,Lim:152,BGG,11.4028,0.035004658,0.24319337424724807,0.21645470358635407,0.026738670660894,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667441898881043,Control4C,Lim:153,BGG,11.38099,0.023158411,0.3003078152646575,0.21388652858211255,0.08642128668254495,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664093439852636,Control4C,Lim:154,BGG,11.21112,0.023365937,0.22979059425991835,0.19388396608919464,0.03590662817072371,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665567691374612,Control4C,Lim:157,BGG,11.5771,0.037333237,0.25779277210434204,0.23697890822823064,0.020813863876111394,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661381704548424,Control4C,Lim:174,BGG,11.37591,0.036311171,0.20887785021412927,0.21328834751739217,-0.0044104973032629,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661463842521123,Control4C,Lim:180,BGG,11.46346,0.034287175,0.3003078152646575,0.22359755070956827,0.07671026455508922,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667782827638815,Control4C,Lim:189,BGG,11.36214,0.032908084,0.3003078152646575,0.2116669000250306,0.08864091523962689,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237658800967188670,Control4C,Lim:191,BGG,11.22635,0.029951176,0.3003078152646575,0.19567733176157442,0.10463048350308307,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665023836815551,Control4C,Lim:200,BGG,11.20931,0.036836166,0.17548977917257252,0.19367083464684365,-0.018181055474271124,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665427567673462,Control4C,Lim:202,BGG,11.20673,0.03963577,0.210659559924703,0.19336703402735977,0.01729252589734323,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237668298739351591,Control4C,Lim:213,BGG,11.20034,0.024976961,0.18878060169439917,0.19261459760933575,-0.0038339959149365777,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237655348895416343,Control4C,Lim:214,BGG,11.28859,0.031446957,0.24319337424724807,0.20300622732617785,0.04018714692107023,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667322179616791,Control4C,Lim:224,BGG,11.381,0.031339034,0.29740527268129757,0.21388770610389346,0.08351756657740411,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661850399539298,Control4C,Lim:226,BGG,11.38594,0.036475203,0.12003830018504674,0.21446940186368035,-0.09443110167863361,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661064956280853,Control4C,Lim:227,BGG,11.18863,0.033486417,0.3003078152646575,0.19123571960384872,0.10907209566080878,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237671991875600387,Control4C,Lim:242,BGG,11.25106,0.023650214,0.3003078152646575,0.1985869880822903,0.10172082718236719,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665440998031492,Control4C,Lim:243,BGG,11.2686,0.034306492,0.3003078152646575,0.2006523612860682,0.0996554539785893,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667447802429573,Control4C,Lim:244,BGG,11.02581,0.023532871,0.3003078152646575,0.1720633099664974,0.1282445052981601,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664671645171756,Control4C,Lim:273,BGG,11.23639,0.02648693,0.2855971362609545,0.1968595636296435,0.08873757263131102,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237651822716584014,Control4C,Lim:286,BGG,11.43347,0.037376382,0.27037041250145794,0.22006616288851338,0.05030424961294455,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662198821683357,Control4C,Lim:288,BGG,11.40974,0.039574937,0.12003830018504674,0.21727190370233013,-0.09723360351728338,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662266463486279,Control4C,Lim:291,BGG,11.26915,0.038389701,0.09756027280667182,0.20071712498402025,-0.10315685217734843,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237668331491819553,Control4C,Lim:292,BGG,11.07018,0.031044866,0.09986115685840526,0.1772879741085518,-0.07742681725014654,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662238014373973,Control4C,Lim:293,BGG,11.0616,0.020568739,0.24319337424724807,0.1762776604205007,0.06691571382674738,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661950276468745,Control4C,Lim:307,BGG,11.45913,0.041543317,0.210659559924703,0.22308768377841903,-0.012428123853716028,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237654879130222725,Control4C,Lim:308,BGG,11.21834,0.027906063,0.27037041250145794,0.19473413681503715,0.07563627568642078,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667911138672682,Control4C,Lim:312,BGG,11.34827,0.031403747,0.17548977917257252,0.2100336773148594,-0.034543898142286866,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237668294449823785,Control4C,Lim:313,BGG,11.17396,0.024203681,0.3003078152646575,0.1895082951512019,0.11079952011345559,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661433772245009,Control4C,Lim:329,BGG,11.33384,0.039771718,0.09524713375865783,0.20833451338495546,-0.11308737962629763,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665231058895036,Control4C,Lim:335,BGG,10.5609,0.031764758,0.3003078152646575,0.11731914484856966,0.18298867041608785,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661069250789414,Control4C,Lim:336,BGG,11.29953,0.033590722,0.3003078152646575,0.2042944361545322,0.09601337911012531,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237659324412526601,Control4C,Lim:348,BGG,11.2559,0.038275532,0.17741355266189243,0.19915690862426783,-0.021743355962375394,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665442071969832,Control4C,Lim:350,BGG,11.23723,0.039296977,0.25779277210434204,0.19695847545924292,0.06083429664509912,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237655348355203084,Control4C,Lim:351,BGG,11.11448,0.019802654,0.17741355266189243,0.1825043955981394,-0.005090842936246981,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237654654179737747,Control4C,Lim:387,BGG,11.33946,0.03804803,0.18878060169439917,0.20899628062584674,-0.020215678931447573,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665567685804219,Control4C,Lim:402,BGG,11.386,0.042675681,0.0714113894018661,0.21447646699436598,-0.14306507759249987,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665548887195714,Control4C,Lim:403,BGG,11.33792,0.031832946,0.24319337424724807,0.20881494227158115,0.03437843197566692,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662198818930724,Control4C,Lim:407,BGG,11.21267,0.029713106,0.3003078152646575,0.19406648196524115,0.10624133329941635,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237658493355557008,Control4C,Lim:412,BGG,11.16293,0.02660044,0.09986115685840526,0.18820948862681924,-0.08834833176841399,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237651272424226981,Control4C,Lim:428,BGG,11.39764,0.04480081,0.061498469643979516,0.2158471023473865,-0.15434863270340698,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665442059714582,Control4C,Lim:436,BGG,11.29785,0.035596061,0.3003078152646575,0.20409661249533334,0.09621120276932416,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237671992947703853,Control4C,Lim:443,BGG,11.28958,0.023674215,0.09986115685840526,0.2031228019824916,-0.10326164512408635,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664667901624475,Control4C,Lim:444,BGG,11.14469,0.035967773,0.22979059425991835,0.1860616888983752,0.04372890536154314,
