product,role,control,subset,n,n_CG4,n_control,groups_CG4,groups_control,degree,control_cv_rmse_linear,control_cv_rmse_quadratic,beta,cluster_se,standardized_effect,ci68_lo,ci68_hi,ci95_lo,ci95_hi,n_boot,extras
FIREFLY ELODIE light-weighted,Satellite,Control4B,total,2152,176,1976,62,695,1,0.12417279591716222,0.12203489679170638,0.006790506804744351,0.009536901236549563,0.054887423129756654,-0.0020098074678335173,0.015703320698264127,-0.012124322112565374,0.023409633234942637,1000,none
FIREFLY ELODIE light-weighted,Satellite,RG4,total,342,176,166,62,56,1,0.12866297066231994,0.1290338459898429,0.016581668285717485,0.012398795683275805,0.12909036580554453,0.005063234561456211,0.029307766675281014,-0.007595469819711185,0.04049320257087357,1000,none
FIREFLY MILES mass-weighted,BGG,Control4C,total,705,57,648,57,648,1,0.1311067184680159,0.13763579129618977,-0.021187492657170588,0.02172184888866408,-0.1641704920687377,-0.04383284299279749,0.0006097644756938171,-0.06775554062594626,0.017544497495662028,1000,none
FIREFLY MILES mass-weighted,BGG,Control4B,total,701,57,644,57,644,1,0.13060165852018357,0.13923769003898676,-0.0212740141515038,0.021727355558132894,-0.16464271056623847,-0.04306906087000841,0.0010445032544025878,-0.06483032384313382,0.016225845772325064,1000,none
FIREFLY MILES mass-weighted,BGG,RG4,total,110,57,53,57,53,1,0.1278206508518148,0.1308532650756077,0.007772789925940678,0.03117910883855115,0.06141142292296663,-0.023988453043557057,0.03676283879651861,-0.053724576434649216,0.06899883637590067,1000,none
FIREFLY MILES mass-weighted,Satellite,Control4C,total,2154,176,1978,62,699,1,0.28389596731278344,0.28467461076187695,0.016748763196207012,0.02377288181824302,0.059039406066514186,-0.005934142385609347,0.04190010154823106,-0.029633240501437504,0.06240388770620327,1000,none
FIREFLY MILES mass-weighted,Satellite,Control4B,total,2152,176,1976,62,695,1,0.25771044933571846,0.2636046583840074,0.04762742253446902,0.0241700183831259,0.18506309473556629,0.02304355268021103,0.07008295540539496,-0.000779691211195447,0.09006802638350707,1000,none
FIREFLY MILES mass-weighted,Satellite,RG4,total,342,176,166,62,56,2,0.3134501949784497,0.30019571732926104,0.06235250868834832,0.03585796259325994,0.21061891046415798,0.024552444131239432,0.0943611781206561,-0.008799946291834415,0.1295576074761311,1000,none
FIREFLY ELODIE mass-weighted,BGG,Control4C,total,705,57,648,57,648,1,0.10663960898321982,0.10472875657719775,-0.022069800754899234,0.01562082587321746,-0.21045732006116238,-0.037199304769625206,-0.0066447557283318935,-0.051258790924651444,0.006744768895501607,1000,none
FIREFLY ELODIE mass-weighted,BGG,Control4B,total,701,57,644,57,644,1,0.10674581750043409,0.10660933205948028,-0.021664189902066904,0.01563720652008493,-0.2062349657959191,-0.03623805886330548,-0.005643559958339292,-0.051474572817349525,0.00854021325201763,1000,none
FIREFLY ELODIE mass-weighted,BGG,RG4,total,110,57,53,57,53,1,0.12718454784562358,0.48930926898727756,0.0092147675936052,0.02384692432962146,0.08935170289504817,-0.019306003294841115,0.027348828898484303,-0.04342102634633378,0.054650711865680136,1000,none
FIREFLY ELODIE mass-weighted,Satellite,Control4C,total,2154,176,1978,62,699,1,0.22105499441096285,0.22123832711111344,0.022987906722560486,0.014961320778720573,0.10405580144958457,0.009753645115146039,0.03746735681640576,-0.005527457838440349,0.05068432387543812,1000,none
FIREFLY ELODIE mass-weighted,Satellite,Control4B,total,2152,176,1976,62,695,1,0.20399288609007396,0.20710510421309625,0.0484459815671737,0.015848531732668994,0.23804340570990237,0.030526228457192897,0.06351448398498585,0.017365237862455838,0.07901341459398573,1000,none
FIREFLY ELODIE mass-weighted,Satellite,RG4,total,342,176,166,62,56,2,0.22939909621816895,0.22050499886185504,0.05454947978601942,0.020945275768644033,0.2507056711293171,0.034609358684221984,0.0727189715621345,0.015183651464252032,0.09439387292170554,1000,none
Gallazzi optical light-weighted,BGG,Control4C,total,310,27,283,27,283,1,0.12888260772666388,0.1824277880661179,-0.06739873767680223,0.038993642545658326,-0.5496191683716517,-0.10712287436670427,-0.02841236963226916,-0.14576705923073666,0.0036507002461314345,1000,none
Gallazzi optical light-weighted,BGG,Control4B,total,309,27,282,27,282,1,0.12667315906199822,0.17729340130351584,-0.06744132874176668,0.03899687242523906,-0.5489973873756762,-0.10751218449078671,-0.029607530625918112,-0.14550391761530038,-0.005156151456168617,1000,none
Gallazzi optical light-weighted,BGG,RG4,total,57,27,30,27,30,1,0.13335422414812173,0.13662940881738408,-0.0593166746220096,0.04700023563594425,-0.4426484088893594,-0.1053078799685803,-0.011531934279944304,-0.16113037494611634,0.02608367466094775,1000,none
Gallazzi optical light-weighted,Satellite,Control4C,total,616,63,553,32,291,1,0.2533848766493119,0.2534352553936589,0.013538300110880823,0.03200038169684075,0.05369518752830527,-0.014147847011748507,0.0471430442605192,-0.05159291227046048,0.07579628285180182,1000,none
Gallazzi optical light-weighted,Satellite,Control4B,total,699,63,636,32,302,1,0.23090711078102122,0.23144726176603314,0.020086830197815903,0.03287633122860167,0.08743178431890242,-0.012597486259208871,0.05344430124409193,-0.043701419333972404,0.0843954445208668,1000,none
Gallazzi optical light-weighted,Satellite,RG4,total,106,63,43,32,27,2,0.25496600155420446,0.2446096673220426,0.02541644030534599,0.046540680201108554,0.10875541710711818,-0.01837137686650309,0.07199550968017582,-0.06538283414370498,0.11964278342589096,1000,none
