control,index,specification,n,n_CG4,n_clusters,beta_CG4,cluster_se,ci68_lo,ci68_hi,ci95_lo,ci95_hi
Control4C,Mg2,"Claude-like, mass-complete",2023,163,755,0.003608488405501198,0.00314866726376567,0.0004598211417355283,0.006757155669266868,-0.0025628994314795144,0.009779876242481911
Control4C,Mg2,+ stellar mass,2023,163,755,0.002742266376514841,0.0029938069481250666,-0.0002515405716102255,0.005736073324639908,-0.003125595241810289,0.008610127994839971
Control4C,Dn4000,Claude-like,2067,168,762,0.007027257521123946,0.015193548344410168,-0.008166290823286222,0.022220805865534113,-0.02275209723391998,0.036806612276167876
Control4C,Dn4000,"Claude-like, mass-complete",2067,168,762,0.007027257521123946,0.015193548344410168,-0.008166290823286222,0.022220805865534113,-0.02275209723391998,0.036806612276167876
Control4C,Dn4000,+ stellar mass,2067,168,762,0.0032868690860618755,0.015117309967275441,-0.011830440881213565,0.018404179053337317,-0.02634305844979799,0.03291679662192174
Control4C,Hdelta_A,Claude-like,2067,168,762,-0.20294140707463654,0.17408206464732562,-0.37702347172196216,-0.02885934242731092,-0.5441422537833948,0.13825943963412168
Control4C,Hdelta_A,"Claude-like, mass-complete",2067,168,762,-0.20294140707463654,0.17408206464732562,-0.37702347172196216,-0.02885934242731092,-0.5441422537833948,0.13825943963412168
Control4C,Hdelta_A,+ stellar mass,2067,168,762,-0.1648302769781369,0.17174910076816924,-0.33657937774630614,0.006918823790032336,-0.5014585144837487,0.1717979605274748
Control4B,Mgb,Claude-like,2085,168,758,0.10501223695078328,0.05832951432923842,0.04668272262154486,0.1633417512800217,-0.009313611134524016,0.2193380850360906
Control4B,Mgb,"Claude-like, mass-complete",2084,168,758,0.10495053714310412,0.05835730053242885,0.04659323661067527,0.16330783767553297,-0.009429771900456421,0.21933084618666465
Control4B,Mgb,+ stellar mass,2084,168,758,0.12805026151881546,0.05671413739601035,0.07133612412280511,0.18476439891482582,0.016890552222635177,0.23920997081499573
Control4B,Fe5270,Claude-like,2085,168,758,0.00916857036733277,0.04868746993362688,-0.03951889956629411,0.05785604030095965,-0.08625887070257593,0.10459601143724145
Control4B,Fe5270,"Claude-like, mass-complete",2084,168,758,0.009130909393828102,0.048689025634828235,-0.039558116241000134,0.05781993502865634,-0.08629958085043524,0.10456139963809144
Control4B,Fe5270,+ stellar mass,2084,168,758,0.03099825742876753,0.048407187935502784,-0.017408930506735254,0.07940544536427031,-0.06387983092481792,0.125876345782353
Control4B,Fe5335,Claude-like,2085,168,758,0.0012427482896674887,0.06020827150506157,-0.05896552321539408,0.061451019794729056,-0.11676546386025319,0.11925096043958816
Control4B,Fe5335,"Claude-like, mass-complete",2084,168,758,0.0011776541389622527,0.0602176613437474,-0.059040007204785146,0.06139531548270965,-0.11684896209478264,0.11920427037270716
Control4B,Fe5335,+ stellar mass,2084,168,758,0.018778821282910214,0.06063857492746811,-0.04185975364455789,0.07941739621037833,-0.10007278557492728,0.13763042814074772
Control4B,[MgFe]',Claude-like,2079,168,758,0.04037545648591644,0.04513586323718354,-0.004760406751267099,0.08551131972309998,-0.0480908354589633,0.12884174843079618
Control4B,[MgFe]',"Claude-like, mass-complete",2078,168,758,0.040322548560657576,0.04515511670452979,-0.004832568143872215,0.08547766526518737,-0.04818148018022081,0.12882657730153596
Control4B,[MgFe]',+ stellar mass,2078,168,758,0.06427757452160746,0.0438329698147488,0.020444604706858653,0.10811054433635625,-0.021635046315300194,0.1501901953585151
Control4B,Mg2,Claude-like,2044,163,753,0.007368725012531505,0.0031812476746259817,0.004187477337905523,0.010549972687157487,0.001133479570264581,0.013603970454798428
Control4B,Mg2,"Claude-like, mass-complete",2043,163,753,0.007368113238670217,0.0031819128840060718,0.0041862003546641454,0.01055002612267629,0.0011315639860183168,0.013604662491322118
Control4B,Mg2,+ stellar mass,2043,163,753,0.00888898007838574,0.003042248288032563,0.005846731790353177,0.011931228366418304,0.002926173433841916,0.014851786722929564
Control4B,Dn4000,Claude-like,2085,168,758,0.029305824757346985,0.015289299660954101,0.014016525096392883,0.04459512441830109,-0.0006612025781230525,0.05927285209281702
Control4B,Dn4000,"Claude-like, mass-complete",2084,168,758,0.029288488357382708,0.015298073441886998,0.01399041491549571,0.0445865617992697,-0.0006957355887158082,0.059272712303481224
Control4B,Dn4000,+ stellar mass,2084,168,758,0.035218936746737595,0.015269354684214295,0.0199495820625233,0.05048829143095189,0.005291001565677578,0.06514687192779761
Control4B,Hdelta_A,Claude-like,2085,168,758,-0.46562247237206017,0.17480551792200194,-0.6404279902940622,-0.29081695445005823,-0.808241287499184,-0.12300365724493639
Control4B,Hdelta_A,"Claude-like, mass-complete",2084,168,758,-0.46556525300432544,0.17482349376068892,-0.6403887467650143,-0.29074175924363654,-0.8082193007752757,-0.12291120523337518
Control4B,Hdelta_A,+ stellar mass,2084,168,758,-0.5300494225582435,0.17235745250251508,-0.7024068750607586,-0.3576919700557284,-0.867870029463173,-0.19222881565331396
RG4,Mgb,Claude-like,327,168,118,0.12827749136544073,0.0922405181407927,0.03603697322464802,0.22051800950623343,-0.052513924190512984,0.30906890692139444
RG4,Mgb,"Claude-like, mass-complete",327,168,118,0.12827749136544073,0.0922405181407927,0.03603697322464802,0.22051800950623343,-0.052513924190512984,0.30906890692139444
RG4,Mgb,+ stellar mass,327,168,118,0.09876779202430837,0.08349697039587016,0.015270821628438208,0.18226476242017853,-0.06488626995159714,0.2624218540002139
